Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_38_4625_01A	16	0.993	7.94	49.625%	2.25	20.045%	0.34792	0.993
TCGA_38_4626_01A	3	0.788	2.601	86.7%	1.072	61.892%	1.42439	0.779
TCGA_38_4631_01A	14	0.969	7.16	51.143%	1.678	24.741%	0.53923	0.967
TCGA_38_7271_01A	1	0.061	1.964	196.4%	1.026	102.6%	4.01444	0.019
TCGA_44_2655_01A	2	1.0	0.063	3.15%	0.033	1.65%	0.01592	1.0
TCGA_44_2657_01A	8	0.986	2.526	31.575%	1.348	21.867%	0.36351	0.985
TCGA_44_2659_01A	15	0.97	8.576	57.173%	2.137	27.361%	0.47141	0.97
TCGA_44_3396_01A	1	1.0	0.032	3.2%	0.016	1.6%	0.01592	1.0
TCGA_44_3917_01A	6	0.923	5.127	85.45%	1.376	48.649%	0.67607	0.927
TCGA_44_3918_01A	28	0.995	8.6	30.714%	2.246	11.583%	0.29075	0.995
TCGA_44_4112_01A	1	0.08	1.953	195.3%	1.02	102.0%	3.74647	0.04
TCGA_44_5644_01A	14	0.915	10.23	73.071%	2.157	40.763%	0.72078	0.906
TCGA_44_6145_01A	7	0.988	4.014	57.343%	1.335	25.692%	0.37406	0.988
TCGA_44_6147_01A	2	1.0	0.063	3.15%	0.033	1.65%	0.01592	1.0
TCGA_44_6774_01A	6	0.89	3.849	64.15%	1.568	49.585%	1.00242	0.885
TCGA_44_6776_01A	3	1.0	0.095	3.167%	0.049	1.633%	0.01592	1.0
TCGA_44_6779_01A	2	0.707	1.999	99.95%	1.392	98.429%	3.61939	0.702
TCGA_44_7661_01A	3	0.647	3.396	113.2%	1.322	76.326%	1.6592	0.629
TCGA_44_7667_01A	10	0.882	7.021	70.21%	1.902	47.55%	0.8579	0.871
TCGA_44_7670_01A	15	0.992	6.53	43.533%	1.664	17.638%	0.289	0.992
TCGA_44_7672_01A	3	0.622	3.555	118.5%	1.358	78.404%	1.62569	0.602
TCGA_44_8117_01A	22	0.984	10.347	47.032%	2.488	24.166%	0.34793	0.985
TCGA_44_A4SU_01A	2	0.985	0.625	31.25%	0.303	21.425%	0.18388	0.985
