Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1*,1.0,1.0,YES,Most Stab Sigs,43.94%,100.93%,199.5%,56.04%,120.28,1.5163,5.968,0.267,0.995,0.723,-0.021
2,0.45,-0.06,NO,N/A,35.35%,91.36%,199.2%,51.07%,103.0,1.3822,5.5076,0.234,0.985,0.755,-0.037
3,0.39,-0.02,NO,N/A,33.33%,91.62%,198.9%,49.57%,102.7,1.2566,5.1751,0.207,0.977,0.784,-0.034
4,0.43,0.13,NO,N/A,31.53%,80.75%,198.9%,49.0%,103.1,1.1866,5.2418,0.185,0.981,0.808,-0.031
5,0.44,0.02,NO,N/A,29.69%,77.49%,198.3%,45.0%,101.7,1.0881,4.7564,0.168,0.962,0.824,-0.022
6,0.44,-0.07,NO,N/A,28.84%,69.8%,198.3%,42.99%,105.7,1.0144,4.7701,0.154,0.977,0.839,-0.013
7,0.47,0.04,NO,N/A,28.7%,66.93%,198.3%,41.11%,102.2,0.9681,4.7498,0.146,0.965,0.848,-0.019
8,0.47,0.07,NO,N/A,28.1%,66.87%,198.7%,42.05%,102.6,0.9593,5.0301,0.135,0.975,0.86,-0.027
9,0.45,-0.0,NO,N/A,28.26%,64.03%,197.7%,39.77%,103.5,0.9467,5.9776,0.126,0.961,0.87,-0.005
10,0.45,-0.09,NO,N/A,26.9%,61.82%,197.3%,38.65%,101.8,0.8269,4.3026,0.116,0.946,0.88,0.003
