Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_38_4625_01A	16	0.977	11.708	73.175%	3.753	33.434%	0.53605	0.979
TCGA_38_4626_01A	3	0.604	3.771	125.7%	1.457	84.12%	1.84998	0.586
TCGA_38_4631_01A	14	0.913	12.025	85.893%	2.897	42.714%	0.93184	0.908
TCGA_38_7271_01A	1	0.007	1.993	199.3%	1.117	111.7%	5.60166	-0.019
TCGA_44_2655_01A	2	0.97	2.043	102.15%	1.05	52.5%	0.71472	0.976
TCGA_44_2657_01A	8	0.965	7.137	89.212%	2.502	40.588%	0.77068	0.967
TCGA_44_2659_01A	15	0.939	10.318	68.787%	2.685	34.378%	0.70932	0.936
TCGA_44_3396_01A	1	0.97	1.021	102.1%	0.525	52.5%	0.71472	0.976
TCGA_44_3917_01A	6	0.781	6.378	106.3%	1.946	68.801%	1.02276	0.769
TCGA_44_3918_01A	28	0.977	21.719	77.568%	6.354	32.768%	0.63165	0.978
TCGA_44_4112_01A	1	0.01	1.989	198.9%	1.115	111.5%	5.24823	-0.015
TCGA_44_5644_01A	14	0.797	15.975	114.107%	4.278	80.847%	1.25328	0.785
TCGA_44_6145_01A	7	0.953	6.453	92.186%	2.123	40.857%	0.77128	0.954
TCGA_44_6147_01A	2	0.97	2.043	102.15%	1.05	52.5%	0.71472	0.976
TCGA_44_6774_01A	6	0.704	7.071	117.85%	2.384	75.389%	1.56505	0.689
TCGA_44_6776_01A	3	0.97	3.064	102.133%	1.575	52.5%	0.71472	0.976
TCGA_44_6779_01A	2	0.703	1.996	99.8%	1.006	71.135%	1.89013	0.693
TCGA_44_7661_01A	3	0.586	3.865	128.833%	1.489	85.967%	2.32837	0.567
TCGA_44_7667_01A	10	0.625	12.823	128.23%	4.026	100.65%	1.30101	0.601
TCGA_44_7670_01A	15	0.972	10.785	71.9%	2.75	29.15%	0.53347	0.971
TCGA_44_7672_01A	3	0.595	3.82	127.333%	1.474	85.101%	2.07084	0.576
TCGA_44_8117_01A	22	0.95	13.622	61.918%	3.469	33.694%	0.43601	0.947
TCGA_44_A4SU_01A	2	0.766	1.814	90.7%	0.912	64.488%	1.09517	0.759
TCGA_49_4487_01A	6	0.951	5.216	86.933%	1.659	39.103%	0.74781	0.951
TCGA_49_4488_01A	2	0.779	1.778	88.9%	0.891	63.003%	1.02151	0.773
TCGA_49_4505_01A	2	0.701	2.0	100.0%	1.008	71.276%	1.93224	0.692
TCGA_49_4506_01A	5	0.714	5.435	108.7%	2.135	71.167%	1.36341	0.702
TCGA_49_4507_01A	5	0.521	7.023	140.46%	2.342	104.737%	1.81534	0.492
TCGA_49_6744_01A	7	0.868	6.461	92.3%	1.835	50.894%	1.08324	0.861
TCGA_49_6761_01A	2	0.044	3.875	193.75%	1.701	120.279%	3.90175	0.008
TCGA_49_6767_01A	4	0.816	3.854	96.35%	1.417	57.849%	1.86459	0.809
TCGA_50_5051_01A	2	0.97	2.043	102.15%	1.05	52.5%	0.71472	0.976
TCGA_50_5941_01A	7	0.678	9.334	133.343%	2.663	88.767%	2.2536	0.659
TCGA_50_5942_01A	2	0.096	3.725	186.25%	1.656	117.097%	3.65315	0.063
TCGA_50_6590_01A	19	0.966	14.295	75.237%	3.257	28.676%	0.78318	0.965
TCGA_50_6592_01A	6	0.436	8.648	144.133%	3.287	103.944%	1.55287	0.408
TCGA_50_6593_01A	6	0.919	5.442	90.7%	2.072	46.331%	0.79394	0.918
TCGA_53_7624_01A	12	0.876	10.286	85.717%	2.997	49.95%	1.01861	0.87
TCGA_53_7813_01A	3	0.668	3.437	114.567%	1.338	77.249%	1.24113	0.653
TCGA_55_6970_01A	2	0.068	3.807	190.35%	1.68	118.794%	3.69413	0.033
TCGA_55_6979_01A	2	0.97	2.043	102.15%	1.05	52.5%	0.71472	0.976
TCGA_55_6985_01A	10	0.729	11.457	114.57%	3.539	79.134%	1.16578	0.713
TCGA_55_7281_01A	5	0.893	4.855	97.1%	1.557	46.945%	1.41966	0.89
TCGA_55_7573_01A	1	0.113	1.886	188.6%	1.068	106.8%	2.86192	0.091
TCGA_55_7574_01A	4	0.97	4.085	102.125%	2.1	52.5%	0.71472	0.976
TCGA_55_7725_01A	1	0.054	1.945	194.5%	1.095	109.5%	3.595	0.03
TCGA_55_7728_01A	2	0.749	1.863	93.15%	0.938	66.327%	1.2168	0.741
TCGA_55_7911_01A	4	0.559	5.408	135.2%	1.887	94.35%	1.92764	0.535
TCGA_55_7914_01A	4	0.848	3.538	88.45%	1.301	53.113%	1.1561	0.842
TCGA_55_7995_01A	3	0.888	2.929	97.633%	1.132	50.625%	1.10512	0.887
TCGA_55_8096_01A	7	0.942	5.572	79.6%	1.574	36.11%	0.72266	0.94
TCGA_55_8203_01A	7	0.886	6.012	85.886%	1.708	47.371%	0.9696	0.88
TCGA_55_8208_01A	4	0.614	4.963	124.075%	1.765	88.25%	1.18164	0.593
TCGA_55_8299_01A	5	0.776	5.436	108.72%	1.734	65.539%	1.43605	0.765
