NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	23.037	137.101	7.446	84.232	1.683	0.486	20000.0
2	23.007	136.025	7.463	82.898	1.648	0.508	20000.0
3	22.982	134.34	7.475	83.059	1.603	0.511	20000.0
4	22.85	136.201	7.274	83.416	1.638	0.498	20000.0
5	22.564	133.982	7.114	82.061	1.622	0.518	30000.0
6	22.811	135.505	7.238	84.105	1.644	0.492	20000.0
7	22.924	136.417	7.296	83.708	1.684	0.496	20000.0
8	23.014	137.039	7.374	83.671	1.697	0.492	20000.0
9	22.594	133.931	7.212	82.219	1.658	0.515	30000.0
10	22.929	136.549	7.213	83.436	1.655	0.503	20000.0
11	22.988	135.72	7.51	83.634	1.671	0.497	40000.0
12	22.583	134.676	7.388	82.595	1.62	0.514	20000.0
13	22.669	135.904	7.257	82.605	1.649	0.511	40000.0
14	23.228	137.273	7.421	84.22	1.709	0.487	20000.0
15	23.094	136.62	7.339	83.577	1.66	0.495	40000.0
16	22.92	136.245	7.33	84.084	1.663	0.485	30000.0
17	23.124	137.659	7.269	83.369	1.674	0.499	20000.0
18	23.089	137.126	7.432	84.962	1.67	0.471	30000.0
19	22.495	134.412	7.197	82.41	1.616	0.517	20000.0
20	23.259	137.602	7.423	84.021	1.687	0.486	30000.0
21	23.328	136.949	7.486	84.345	1.648	0.49	30000.0
22	23.053	136.036	7.331	83.872	1.656	0.495	20000.0
23	22.891	136.564	7.178	83.626	1.669	0.494	20000.0
24	23.397	137.754	7.456	84.533	1.691	0.481	40000.0
25	23.204	136.868	7.422	83.747	1.661	0.496	20000.0
26	23.125	136.867	7.25	83.626	1.661	0.492	20000.0
27	23.013	137.198	7.22	84.155	1.681	0.486	20000.0
28	22.876	135.515	7.384	83.292	1.629	0.503	20000.0
29	22.584	135.825	7.275	83.552	1.685	0.492	20000.0
30	23.016	137.434	7.267	84.244	1.701	0.489	20000.0
31	22.898	136.456	7.485	84.24	1.668	0.483	20000.0
32	23.123	135.676	7.487	83.752	1.682	0.495	20000.0
33	23.362	138.216	7.392	84.645	1.666	0.479	20000.0
34	23.032	137.057	7.514	84.64	1.651	0.484	20000.0
35	23.476	137.799	7.278	84.374	1.654	0.487	30000.0
36	22.827	134.7	7.342	82.991	1.627	0.509	20000.0
37	22.658	134.337	7.428	83.058	1.654	0.508	20000.0
38	22.971	136.032	7.347	83.356	1.665	0.496	30000.0
39	23.32	135.893	7.475	83.326	1.652	0.508	20000.0
40	23.342	136.917	7.517	84.208	1.7	0.486	40000.0
41	23.802	140.644	7.529	85.462	1.777	0.459	20000.0
42	22.932	135.535	7.251	83.257	1.647	0.502	20000.0
43	23.094	135.801	7.32	82.904	1.663	0.504	20000.0
44	23.301	138.707	7.45	84.967	1.686	0.474	20000.0
45	23.3	137.741	7.472	84.181	1.68	0.487	20000.0
46	22.905	136.529	7.274	83.544	1.662	0.5	20000.0
47	23.821	139.568	7.405	84.937	1.716	0.474	30000.0
48	23.041	136.633	7.55	84.214	1.664	0.489	20000.0
49	22.764	136.587	7.355	83.832	1.681	0.49	20000.0
50	23.345	138.045	7.398	84.74	1.683	0.481	20000.0
51	22.91	134.799	7.384	83.584	1.639	0.502	20000.0
52	22.941	135.568	7.441	84.069	1.631	0.493	40000.0
53	23.011	135.254	7.461	82.929	1.656	0.51	40000.0
54	23.058	136.914	7.374	84.062	1.682	0.49	20000.0
55	22.907	134.566	7.236	82.767	1.657	0.505	20000.0
56	22.896	134.997	7.283	82.975	1.664	0.509	20000.0
57	22.821	134.413	7.506	83.239	1.653	0.509	20000.0
58	22.849	135.548	7.209	82.886	1.646	0.509	20000.0
59	23.147	136.234	7.326	82.689	1.624	0.513	20000.0
60	22.857	136.881	7.332	84.218	1.697	0.482	20000.0
61	23.095	136.067	7.339	83.052	1.614	0.508	20000.0
62	23.243	137.805	7.283	83.905	1.7	0.485	20000.0
63	22.913	136.733	7.22	84.423	1.661	0.485	20000.0
64	23.764	139.447	7.588	85.241	1.728	0.473	20000.0
65	23.072	136.785	7.531	83.858	1.686	0.491	20000.0
66	23.05	135.897	7.318	82.702	1.651	0.507	30000.0
67	23.393	138.002	7.294	84.074	1.674	0.485	20000.0
68	23.301	136.435	7.41	83.715	1.655	0.499	20000.0
69	23.206	136.73	7.459	83.23	1.64	0.506	30000.0
70	23.07	137.547	7.376	84.465	1.662	0.484	30000.0
71	23.043	136.642	7.357	84.341	1.678	0.485	30000.0
72	23.121	136.806	7.192	83.862	1.674	0.491	20000.0
73	23.29	136.164	7.585	84.16	1.624	0.492	20000.0
74	23.187	138.306	7.288	84.126	1.687	0.485	20000.0
75	23.288	137.859	7.437	84.518	1.729	0.476	20000.0
76	23.299	136.365	7.473	83.845	1.627	0.5	30000.0
