Samples	ID83A	ID83B	ID83C
TCGA_38_4625_01A	3.44E-01	3.55E-01	8.84E-02
TCGA_38_4626_01A	3.19E-01	3.19E-01	0.00E+00
TCGA_38_4627_01A	1.35E-01	1.38E-01	4.82E-02
TCGA_38_4631_01A	7.31E-01	7.19E-01	1.49E-01
TCGA_38_7271_01A	1.29E-01	1.29E-01	0.00E+00
TCGA_44_2655_01A	3.14E-01	2.96E-01	1.66E-01
TCGA_44_2657_01A	1.73E-01	1.73E-01	0.00E+00
TCGA_44_2659_01A	7.20E-01	6.89E-01	1.55E-01
TCGA_44_3396_01A	2.80E-01	2.80E-01	0.00E+00
TCGA_44_3917_01A	7.91E-02	7.91E-02	0.00E+00
TCGA_44_3918_01A	9.59E-01	9.59E-01	0.00E+00
TCGA_44_4112_01A	5.08E-01	4.88E-01	1.54E-01
TCGA_44_5644_01A	7.04E-01	6.87E-01	1.98E-01
TCGA_44_6145_01A	2.08E-01	2.08E-01	1.00E-02
TCGA_44_6147_01A	2.02E-01	2.02E-01	0.00E+00
TCGA_44_6774_01A	2.55E-01	2.55E-01	0.00E+00
TCGA_44_6775_01A	1.20E-01	1.34E-01	1.51E-01
TCGA_44_6776_01A	2.98E-01	2.68E-01	1.43E-01
TCGA_44_6779_01A	1.73E-01	1.73E-01	0.00E+00
TCGA_44_7661_01A	2.64E-01	2.65E-01	5.07E-02
TCGA_44_7667_01A	3.51E-01	3.51E-01	2.00E-02
TCGA_44_7670_01A	7.91E-01	7.90E-01	0.00E+00
TCGA_44_7672_01A	3.71E-01	3.72E-01	1.16E-01
TCGA_44_8117_01A	4.53E-01	4.51E-01	0.00E+00
TCGA_44_A47G_01A	2.19E-01	2.42E-01	2.34E-01
TCGA_44_A4SU_01A	1.35E-01	1.32E-01	5.37E-02
TCGA_49_4487_01A	5.79E-01	5.81E-01	0.00E+00
TCGA_49_4488_01A	4.38E-01	4.33E-01	1.03E-01
TCGA_49_4490_01A	1.43E-01	1.43E-01	0.00E+00
TCGA_49_4505_01A	3.04E-01	2.86E-01	1.07E-01
TCGA_49_4506_01A	2.10E-01	1.66E-01	1.95E-01
TCGA_49_4507_01A	2.60E-01	2.53E-01	9.13E-02
TCGA_49_6744_01A	3.25E-01	3.24E-01	5.00E-02
TCGA_49_6761_01A	2.30E-01	2.24E-01	8.27E-02
TCGA_49_6767_01A	4.23E-01	4.17E-01	1.07E-01
TCGA_50_5051_01A	2.63E-01	2.67E-01	5.17E-02
TCGA_50_5941_01A	7.74E-01	7.73E-01	1.00E-01
TCGA_50_5942_01A	1.79E-01	1.53E-01	9.99E-02
TCGA_50_6590_01A	5.89E-01	5.89E-01	0.00E+00
TCGA_50_6592_01A	3.72E-01	3.68E-01	1.28E-01
TCGA_50_6593_01A	3.99E-01	3.65E-01	2.16E-01
TCGA_50_6595_01A	1.46E-01	1.46E-01	0.00E+00
TCGA_53_7624_01A	4.88E-01	4.88E-01	3.12E-02
TCGA_53_7813_01A	2.29E-01	2.29E-01	0.00E+00
TCGA_55_6543_01A	8.67E-02	8.67E-02	0.00E+00
TCGA_55_6970_01A	1.47E-01	1.47E-01	1.41E-02
TCGA_55_6971_01A	2.12E-01	2.13E-01	0.00E+00
TCGA_55_6979_01A	2.23E-01	2.24E-01	0.00E+00
TCGA_55_6981_01A	1.46E-01	1.43E-01	6.24E-02
TCGA_55_6985_01A	3.72E-01	3.71E-01	0.00E+00
TCGA_55_7281_01A	4.73E-01	4.73E-01	0.00E+00
TCGA_55_7573_01A	1.61E-01	1.62E-01	0.00E+00
TCGA_55_7574_01A	2.44E-01	2.35E-01	1.16E-01
TCGA_55_7725_01A	3.02E-01	3.01E-01	0.00E+00
TCGA_55_7726_01A	1.25E-01	1.30E-01	5.62E-02
TCGA_55_7728_01A	9.00E-02	9.14E-02	4.72E-02
TCGA_55_7911_01A	2.68E-01	2.68E-01	0.00E+00
TCGA_55_7914_01A	1.72E-01	1.72E-01	0.00E+00
TCGA_55_7995_01A	5.37E-01	5.42E-01	4.04E-02
TCGA_55_8096_01A	2.06E-01	1.82E-01	1.37E-01
TCGA_55_8097_01A	2.15E-01	1.97E-01	1.27E-01
TCGA_55_8203_01A	3.41E-01	3.38E-01	9.62E-02
TCGA_55_8208_01A	3.18E-01	3.18E-01	0.00E+00
TCGA_55_8299_01A	1.70E-01	1.66E-01	5.00E-02
TCGA_55_8506_01A	3.20E+00	3.20E+00	0.00E+00
TCGA_55_8510_01A	5.05E-01	5.06E-01	0.00E+00
TCGA_55_8511_01A	7.38E-01	7.42E-01	6.74E-02
TCGA_55_8616_01A	1.25E-01	0.00E+00	1.25E-01
TCGA_55_A48X_01A	3.24E-01	3.15E-01	3.06E-01
TCGA_55_A48Z_01A	4.85E-02	4.85E-02	0.00E+00
TCGA_55_A492_01A	4.99E-01	4.79E-01	4.83E-01
TCGA_55_A493_01A	3.67E-01	2.67E-01	4.05E-01
TCGA_55_A494_01A	2.73E-01	2.73E-01	0.00E+00
TCGA_62_A46O_01A	8.86E-01	8.50E-01	6.59E-01
TCGA_62_A46R_01A	3.46E-01	3.43E-01	1.20E-01
TCGA_64_1679_01A	5.96E-01	5.96E-01	0.00E+00
TCGA_64_1681_01A	1.18E-01	1.26E-01	3.12E-02
TCGA_64_5781_01A	1.05E+00	1.04E+00	6.62E-02
TCGA_67_3770_01A	2.48E-01	2.26E-01	1.27E-01
TCGA_67_3774_01A	2.55E-01	2.62E-01	7.48E-02
TCGA_67_6217_01A	2.46E-01	2.48E-01	1.35E-01
TCGA_69_7973_01A	4.20E-01	4.20E-01	0.00E+00
TCGA_69_7974_01A	4.71E-01	4.72E-01	0.00E+00
TCGA_69_7979_01A	6.56E-01	6.17E-01	3.08E-01
TCGA_69_7980_01A	5.80E-01	5.83E-01	1.21E-01
TCGA_73_4662_01A	3.55E-01	3.55E-01	0.00E+00
TCGA_73_4666_01A	3.45E-01	3.44E-01	0.00E+00
TCGA_73_4670_01A	7.49E-01	7.57E-01	1.31E-01
TCGA_73_7498_01A	2.15E-01	2.16E-01	0.00E+00
TCGA_78_7145_01A	1.83E-01	1.80E-01	0.00E+00
TCGA_78_7146_01A	3.09E-01	2.96E-01	9.99E-02
TCGA_78_7147_01A	4.25E-01	4.25E-01	0.00E+00
TCGA_78_7153_01A	3.11E-01	3.11E-01	0.00E+00
TCGA_78_7158_01A	2.99E-01	3.01E-01	0.00E+00
TCGA_78_7159_01A	4.92E-01	4.92E-01	0.00E+00
TCGA_78_7161_01A	2.78E-01	2.78E-01	0.00E+00
TCGA_78_7220_01A	4.83E-01	4.76E-01	1.38E-01
TCGA_83_5908_01A	1.79E-01	1.79E-01	0.00E+00
TCGA_86_6851_01A	7.46E-01	7.47E-01	0.00E+00
TCGA_86_7954_01A	2.19E-01	1.95E-01	9.93E-02
TCGA_86_8056_01A	2.26E-01	2.26E-01	0.00E+00
TCGA_86_8074_01A	1.68E-01	1.78E-01	1.26E-01
TCGA_91_6830_01A	2.73E-01	2.74E-01	0.00E+00
TCGA_91_6836_01A	3.80E-01	3.74E-01	6.00E-02
TCGA_91_6840_01A	2.00E-01	2.02E-01	2.00E-02
TCGA_91_6847_01A	2.19E-01	2.19E-01	0.00E+00
TCGA_95_7039_01A	1.46E+00	1.45E+00	1.70E-01
TCGA_95_7043_01A	1.47E+00	1.49E+00	1.22E-01
TCGA_95_7948_01A	2.41E-01	2.41E-01	0.00E+00
TCGA_95_A4VK_01A	1.91E-01	1.73E-01	9.95E-02
TCGA_95_A4VN_01A	5.83E-01	5.83E-01	0.00E+00
TCGA_95_A4VP_01A	1.30E-01	1.02E-01	1.07E-01
TCGA_97_7547_01A	2.71E-01	2.71E-01	2.00E-02
TCGA_97_7553_01A	3.02E-01	2.85E-01	1.47E-01
TCGA_97_7941_01A	2.07E-01	2.06E-01	1.09E-01
TCGA_97_8175_01A	9.57E-02	9.57E-02	0.00E+00
TCGA_97_A4M0_01A	5.07E-01	5.06E-01	0.00E+00
TCGA_97_A4M1_01A	4.85E-02	4.85E-02	0.00E+00
TCGA_97_A4M3_01A	1.94E-01	1.79E-01	1.23E-01
