MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	2.12E-07	2.39E-07	1.67E-08	1.73E-07	2.77E-07
1:Del:C:1	1.30E-02	1.45E-02	5.62E-04	3.73E-03	1.20E-02
1:Del:C:2	1.02E-02	1.49E-02	6.47E-04	4.34E-03	3.31E-03
1:Del:C:3	4.70E-03	7.91E-03	9.05E-09	5.80E-03	4.37E-03
1:Del:C:4	3.10E-03	4.81E-03	3.18E-04	8.07E-03	5.61E-03
1:Del:C:5	1.19E-03	3.20E-03	1.84E-08	4.73E-03	4.59E-04
1:Del:T:0	2.12E-07	2.39E-07	1.67E-08	1.73E-07	2.77E-07
1:Del:T:1	5.10E-03	8.20E-03	5.76E-04	2.58E-03	1.01E-02
1:Del:T:2	3.61E-03	2.93E-03	1.18E-08	1.47E-03	3.59E-03
1:Del:T:3	1.42E-03	2.10E-03	1.06E-08	3.07E-03	2.53E-03
1:Del:T:4	2.17E-03	1.16E-03	1.46E-04	2.02E-03	3.02E-03
1:Del:T:5	7.76E-07	1.52E-03	2.39E-04	2.60E-03	2.33E-04
1:Ins:C:0	8.00E-04	2.73E-03	8.53E-04	4.42E-04	1.72E-03
1:Ins:C:1	1.12E-03	1.23E-03	4.45E-04	1.26E-03	1.44E-03
1:Ins:C:2	1.01E-03	1.62E-03	9.59E-05	1.39E-03	9.71E-04
1:Ins:C:3	9.87E-04	1.58E-03	1.14E-08	1.07E-03	1.12E-03
1:Ins:C:4	1.19E-03	9.24E-04	2.74E-04	1.51E-03	8.65E-04
1:Ins:C:5	1.90E-03	1.34E-03	7.55E-05	2.91E-03	1.59E-03
1:Ins:T:0	2.61E-03	3.44E-03	9.30E-04	9.55E-04	2.90E-03
1:Ins:T:1	4.97E-03	6.22E-03	6.80E-04	1.63E-03	4.25E-03
1:Ins:T:2	3.26E-03	4.85E-03	3.55E-04	1.95E-03	4.58E-03
1:Ins:T:3	9.71E-04	1.21E-03	2.67E-04	1.13E-03	8.50E-04
1:Ins:T:4	8.62E-04	7.30E-04	1.21E-04	1.13E-03	1.34E-03
1:Ins:T:5	8.73E-04	1.71E-03	1.17E-08	3.45E-03	1.52E-03
2:Del:R:0	1.27E-03	1.69E-03	3.49E-04	2.57E-03	2.15E-03
2:Del:R:1	7.66E-04	8.27E-04	1.13E-08	1.11E-03	1.25E-03
2:Del:R:2	2.12E-07	2.39E-07	1.67E-08	1.73E-07	2.77E-07
2:Del:R:3	2.67E-07	7.56E-05	1.44E-08	2.64E-04	3.59E-07
2:Del:R:4	2.12E-07	2.39E-07	1.67E-08	1.73E-07	2.77E-07
2:Del:R:5	2.12E-07	2.39E-07	1.67E-08	1.73E-07	2.77E-07
3:Del:R:0	1.05E-03	1.41E-03	6.34E-05	2.23E-03	2.22E-03
3:Del:R:1	2.17E-04	2.54E-04	1.70E-08	1.34E-04	3.11E-04
3:Del:R:2	2.12E-07	2.39E-07	1.67E-08	1.73E-07	2.77E-07
3:Del:R:3	2.12E-07	2.39E-07	1.67E-08	1.73E-07	2.77E-07
3:Del:R:4	2.12E-07	2.39E-07	1.67E-08	1.73E-07	2.77E-07
3:Del:R:5	2.12E-07	2.39E-07	1.67E-08	1.73E-07	2.77E-07
4:Del:R:0	1.04E-03	1.06E-03	3.88E-04	2.03E-03	2.25E-03
4:Del:R:1	3.55E-04	2.25E-04	1.61E-08	1.81E-04	5.05E-04
4:Del:R:2	2.12E-07	2.39E-07	1.67E-08	1.73E-07	2.77E-07
4:Del:R:3	2.12E-07	2.39E-07	1.67E-08	1.73E-07	2.77E-07
4:Del:R:4	2.12E-07	2.39E-07	1.67E-08	1.73E-07	2.77E-07
4:Del:R:5	2.12E-07	2.39E-07	1.67E-08	1.73E-07	2.77E-07
5:Del:R:0	5.96E-03	5.83E-03	7.29E-04	4.15E-03	1.55E-02
5:Del:R:1	2.12E-07	2.39E-07	1.67E-08	1.73E-07	2.77E-07
