Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
TCGA_38_4625_01A	3.52E-01	8.15E-02	3.58E-01	1.77E-01	2.32E-01	2.31E-01
TCGA_38_4626_01A	2.53E-01	0.00E+00	3.06E-01	2.34E-01	8.12E-02	1.93E-01
TCGA_38_4627_01A	6.42E-02	0.00E+00	6.09E-02	1.35E-01	7.06E-02	1.28E-01
TCGA_38_4631_01A	7.25E-01	1.42E-01	8.00E-01	4.79E-01	1.97E-01	1.95E-01
TCGA_38_7271_01A	1.37E-01	0.00E+00	1.47E-01	0.00E+00	2.00E-02	1.09E-01
TCGA_44_2655_01A	2.10E-01	1.38E-01	2.62E-01	2.81E-01	1.62E-01	1.91E-01
TCGA_44_2657_01A	2.76E-01	0.00E+00	2.73E-01	1.53E-01	4.11E-02	1.42E-01
TCGA_44_2659_01A	3.29E-01	1.34E-01	6.27E-01	5.62E-01	3.67E-01	4.23E-01
TCGA_44_3396_01A	1.53E-01	0.00E+00	2.23E-01	1.72E-01	2.67E-01	1.17E-01
TCGA_44_3917_01A	1.52E-01	0.00E+00	1.50E-01	0.00E+00	0.00E+00	2.00E-02
TCGA_44_3918_01A	8.60E-01	0.00E+00	8.77E-01	6.32E-01	1.61E-01	2.91E-01
TCGA_44_4112_01A	3.65E-01	1.44E-01	4.33E-01	3.85E-01	2.70E-01	2.29E-01
TCGA_44_5644_01A	6.32E-01	1.89E-01	6.78E-01	6.35E-01	4.04E-01	4.35E-01
TCGA_44_6145_01A	3.13E-01	0.00E+00	2.63E-01	1.23E-01	1.41E-02	2.00E-01
TCGA_44_6147_01A	1.99E-01	0.00E+00	1.34E-01	1.62E-01	5.51E-02	1.90E-01
TCGA_44_6774_01A	2.64E-01	0.00E+00	2.13E-01	1.92E-01	1.86E-01	1.84E-01
TCGA_44_6775_01A	1.18E-01	1.37E-01	6.76E-02	1.45E-01	7.46E-02	9.53E-02
TCGA_44_6776_01A	3.11E-01	1.26E-01	3.26E-01	2.09E-01	1.59E-01	1.72E-01
TCGA_44_6779_01A	1.66E-01	0.00E+00	1.67E-01	9.37E-02	1.00E-02	8.07E-02
TCGA_44_7661_01A	3.15E-01	4.14E-02	3.18E-01	1.36E-01	3.15E-02	2.01E-01
TCGA_44_7667_01A	4.24E-01	0.00E+00	3.79E-01	3.06E-01	1.58E-01	2.72E-01
TCGA_44_7670_01A	7.82E-01	0.00E+00	6.74E-01	6.78E-01	5.15E-01	4.69E-01
TCGA_44_7672_01A	2.31E-01	9.95E-02	2.58E-01	2.72E-01	2.25E-01	3.04E-01
TCGA_44_8117_01A	4.95E-01	0.00E+00	4.93E-01	2.26E-01	2.76E-01	2.87E-01
TCGA_44_A47G_01A	7.50E-02	2.24E-01	1.18E-01	1.59E-01	1.55E-01	2.21E-01
TCGA_44_A4SU_01A	1.76E-01	3.00E-02	1.04E-01	1.20E-01	2.81E-02	1.26E-01
TCGA_49_4487_01A	4.48E-01	0.00E+00	3.68E-01	4.72E-01	1.65E-01	4.55E-01
