MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	1.86E-07	1.95E-08	1.85E-07	1.65E-07	3.13E-07	3.96E-07	3.17E-07
1:Del:C:1	1.71E-02	5.55E-04	1.55E-02	2.32E-03	1.12E-02	1.06E-02	9.74E-03
1:Del:C:2	9.55E-03	5.75E-04	1.80E-02	4.58E-03	4.01E-03	5.59E-03	5.78E-03
1:Del:C:3	5.28E-03	7.15E-09	1.05E-02	4.67E-03	1.31E-02	1.07E-02	5.56E-03
1:Del:C:4	4.72E-03	2.89E-04	3.74E-03	9.61E-03	1.13E-02	1.43E-02	7.28E-03
1:Del:C:5	1.22E-03	1.92E-08	2.65E-03	6.20E-03	2.87E-03	2.51E-03	1.58E-03
1:Del:T:0	1.86E-07	1.95E-08	1.85E-07	1.65E-07	3.13E-07	3.96E-07	3.17E-07
1:Del:T:1	4.37E-03	5.80E-04	5.40E-03	3.04E-03	1.76E-02	6.83E-03	9.64E-03
1:Del:T:2	2.89E-03	9.05E-09	2.37E-03	2.14E-03	5.79E-03	5.99E-03	4.34E-03
1:Del:T:3	1.42E-03	8.84E-09	2.47E-03	3.41E-03	3.64E-03	5.25E-03	3.81E-03
1:Del:T:4	2.86E-03	1.10E-04	1.73E-03	1.55E-03	3.38E-03	4.67E-03	3.70E-03
1:Del:T:5	6.79E-07	2.37E-04	1.35E-03	3.02E-03	3.20E-04	1.49E-03	9.35E-04
1:Ins:C:0	4.80E-04	8.44E-04	1.07E-03	5.49E-04	2.07E-03	2.32E-03	1.76E-03
1:Ins:C:1	1.07E-03	4.60E-04	1.05E-03	1.07E-03	2.38E-03	3.60E-03	1.49E-03
1:Ins:C:2	1.15E-03	4.16E-05	1.53E-03	1.05E-03	2.85E-03	2.90E-03	1.02E-03
1:Ins:C:3	1.02E-03	1.07E-08	1.86E-03	1.06E-03	1.90E-03	2.40E-03	1.57E-03
1:Ins:C:4	1.51E-03	2.15E-04	1.28E-03	1.81E-03	1.16E-03	1.90E-03	1.11E-03
1:Ins:C:5	1.34E-03	3.42E-05	1.92E-03	4.15E-03	3.31E-03	5.51E-03	2.78E-03
1:Ins:T:0	2.82E-03	1.07E-03	2.91E-03	2.07E-03	6.93E-03	5.71E-03	3.29E-03
1:Ins:T:1	5.78E-03	7.59E-04	9.63E-03	9.46E-04	1.08E-02	1.23E-02	5.58E-03
1:Ins:T:2	3.85E-03	3.69E-04	4.27E-03	1.79E-03	8.47E-03	5.60E-03	4.02E-03
1:Ins:T:3	1.78E-03	2.86E-04	1.31E-03	1.58E-03	1.57E-03	1.82E-03	5.41E-04
