MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
1:Del:C:1	4.37E-04	1.92E-02	1.40E-02	9.06E-04	1.01E-02	1.08E-02	1.02E-02	1.44E-02
1:Del:C:2	5.62E-04	8.13E-03	1.88E-02	4.51E-03	7.71E-03	4.60E-03	3.28E-03	4.06E-03
1:Del:C:3	1.13E-08	4.85E-03	1.04E-02	3.39E-03	2.00E-02	9.18E-03	5.95E-04	1.82E-03
1:Del:C:4	2.58E-04	3.61E-03	3.46E-03	1.27E-02	1.29E-02	9.02E-03	7.28E-03	1.43E-02
1:Del:C:5	1.84E-08	1.11E-03	2.43E-03	7.74E-03	4.75E-03	6.04E-03	2.25E-04	1.09E-03
1:Del:T:0	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
1:Del:T:1	5.84E-04	3.94E-03	3.03E-03	2.61E-03	3.64E-03	1.99E-02	1.12E-02	5.09E-03
1:Del:T:2	6.97E-09	2.28E-03	3.50E-03	1.22E-03	6.05E-03	5.38E-03	4.29E-03	7.16E-03
1:Del:T:3	9.75E-09	1.76E-03	2.51E-03	4.09E-03	5.31E-03	5.50E-03	2.79E-03	4.43E-03
1:Del:T:4	1.45E-04	2.12E-03	2.89E-03	2.48E-03	2.05E-03	2.58E-03	3.86E-03	5.85E-03
1:Del:T:5	2.34E-04	3.31E-04	2.57E-03	4.37E-03	1.83E-03	3.57E-03	1.68E-03	1.10E-03
1:Ins:C:0	9.18E-04	7.70E-04	1.29E-03	7.79E-04	2.86E-03	2.91E-03	2.19E-03	3.24E-03
1:Ins:C:1	4.66E-04	1.73E-03	1.62E-03	1.22E-03	3.23E-03	2.73E-03	2.16E-03	2.54E-03
1:Ins:C:2	5.40E-05	1.32E-03	1.57E-03	1.86E-03	2.82E-03	1.96E-03	7.56E-04	2.95E-03
1:Ins:C:3	7.77E-09	9.44E-04	1.77E-03	1.07E-03	3.06E-03	2.60E-03	5.96E-04	3.04E-03
1:Ins:C:4	2.31E-04	7.43E-04	8.25E-04	2.04E-03	2.03E-03	2.42E-03	1.43E-03	2.47E-03
1:Ins:C:5	1.96E-05	1.33E-03	2.84E-03	5.17E-03	4.53E-03	5.25E-03	3.11E-03	4.99E-03
1:Ins:T:0	1.34E-03	3.50E-03	2.76E-03	7.33E-04	8.81E-03	7.65E-03	5.16E-03	7.95E-03
1:Ins:T:1	7.53E-04	7.29E-03	1.04E-02	2.56E-03	1.64E-02	8.88E-03	5.58E-03	7.28E-03
1:Ins:T:2	4.04E-04	3.56E-03	4.90E-03	1.65E-03	1.07E-02	7.82E-03	4.95E-03	1.13E-02
1:Ins:T:3	2.62E-04	1.65E-03	1.34E-03	1.42E-03	3.28E-03	2.23E-03	6.62E-04	2.31E-03
1:Ins:T:4	9.35E-05	7.13E-04	1.19E-03	1.40E-03	1.96E-03	1.61E-03	1.70E-03	2.07E-03
1:Ins:T:5	1.02E-08	4.14E-04	3.18E-03	5.39E-03	3.48E-03	2.92E-03	9.58E-04	2.32E-03
2:Del:R:0	3.84E-04	1.85E-03	2.62E-03	3.19E-03	4.34E-03	4.30E-03	3.65E-03	6.37E-03
2:Del:R:1	8.37E-09	8.08E-04	5.55E-04	1.34E-03	1.47E-03	1.12E-03	1.53E-03	3.17E-03
2:Del:R:2	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
2:Del:R:3	1.54E-08	2.44E-07	5.90E-07	3.58E-04	3.70E-05	1.71E-04	5.60E-05	3.88E-07
2:Del:R:4	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
2:Del:R:5	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
3:Del:R:0	9.01E-06	1.12E-03	2.44E-03	2.56E-03	3.33E-03	3.99E-03	2.92E-03	3.53E-03
3:Del:R:1	1.38E-08	2.47E-04	3.54E-04	4.67E-04	2.88E-04	2.90E-04	2.50E-04	5.73E-04
3:Del:R:2	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
3:Del:R:3	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
3:Del:R:4	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
3:Del:R:5	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
4:Del:R:0	3.49E-04	1.80E-07	1.79E-04	2.34E-03	3.28E-03	3.13E-03	2.84E-03	4.63E-03
4:Del:R:1	1.34E-08	2.02E-04	5.44E-05	8.59E-05	5.85E-04	2.74E-04	9.36E-04	7.75E-04
4:Del:R:2	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
4:Del:R:3	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
4:Del:R:4	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
4:Del:R:5	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
5:Del:R:0	9.59E-04	3.30E-03	1.22E-03	1.52E-03	1.34E-03	4.44E-03	1.77E-02	6.21E-03
5:Del:R:1	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
5:Del:R:2	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
5:Del:R:3	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
5:Del:R:4	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
5:Del:R:5	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
2:Ins:R:0	1.28E-03	2.66E-03	7.75E-04	1.40E-03	5.38E-03	5.09E-03	3.72E-03	3.30E-03
2:Ins:R:1	1.88E-04	5.35E-04	5.90E-04	6.25E-04	1.09E-03	6.09E-04	5.64E-04	1.58E-03
2:Ins:R:2	1.66E-08	7.02E-05	8.88E-05	1.39E-04	3.65E-04	4.35E-04	1.02E-04	2.88E-04
2:Ins:R:3	1.49E-08	1.37E-04	5.41E-05	1.62E-07	3.01E-04	1.78E-04	4.08E-04	4.33E-04
2:Ins:R:4	1.44E-08	2.20E-07	3.84E-07	3.69E-04	3.17E-07	1.14E-04	1.12E-04	9.57E-07
2:Ins:R:5	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
3:Ins:R:0	1.15E-03	1.28E-04	9.92E-04	1.04E-07	9.22E-04	6.17E-04	1.31E-04	9.47E-04
3:Ins:R:1	9.51E-09	3.14E-04	3.25E-04	2.13E-04	7.74E-04	7.02E-04	8.07E-04	7.49E-04
3:Ins:R:2	1.43E-08	1.32E-04	3.08E-05	1.42E-04	1.38E-04	2.34E-04	1.57E-04	5.33E-04
3:Ins:R:3	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
3:Ins:R:4	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
3:Ins:R:5	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
4:Ins:R:0	1.12E-03	7.32E-05	1.11E-03	1.09E-07	5.78E-04	4.33E-04	6.55E-07	1.04E-03
4:Ins:R:1	7.97E-05	6.68E-05	2.51E-04	2.34E-04	3.97E-04	6.23E-04	6.35E-04	4.65E-04
4:Ins:R:2	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
4:Ins:R:3	1.61E-08	1.09E-04	1.87E-04	1.34E-04	3.56E-04	3.39E-04	2.34E-04	1.91E-04
4:Ins:R:4	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
4:Ins:R:5	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
5:Ins:R:0	2.86E-03	2.10E-07	4.63E-03	4.18E-08	4.80E-07	5.55E-03	5.35E-07	8.66E-03
5:Ins:R:1	7.82E-09	1.54E-03	2.25E-03	2.47E-03	2.68E-03	4.05E-03	4.81E-03	7.13E-03
5:Ins:R:2	1.37E-08	5.92E-05	2.13E-04	1.66E-04	2.60E-04	2.39E-04	3.50E-04	5.12E-04
5:Ins:R:3	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
5:Ins:R:4	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
5:Ins:R:5	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
2:Del:M:1	6.27E-04	3.37E-03	3.56E-03	2.31E-03	7.13E-03	5.06E-03	3.29E-03	6.45E-03
3:Del:M:1	2.43E-04	4.90E-04	7.48E-04	2.35E-04	1.26E-03	1.00E-03	6.53E-04	1.23E-03
3:Del:M:2	2.54E-04	5.93E-05	6.59E-05	7.37E-04	5.43E-04	3.43E-04	1.69E-04	1.84E-04
4:Del:M:1	7.19E-05	6.82E-04	7.73E-04	1.01E-03	1.47E-03	1.74E-03	2.29E-03	3.13E-03
4:Del:M:2	1.14E-08	2.28E-04	2.04E-04	6.04E-04	4.60E-04	5.24E-04	4.52E-04	7.18E-04
4:Del:M:3	1.66E-08	7.50E-05	1.07E-04	1.52E-07	1.69E-04	1.75E-04	2.96E-04	2.87E-04
5:Del:M:1	1.98E-07	2.63E-03	1.35E-03	2.55E-07	7.46E-07	8.73E-03	1.30E-02	2.28E-02
5:Del:M:2	3.09E-04	3.70E-04	7.14E-04	5.71E-04	1.59E-03	1.87E-03	2.84E-03	3.72E-03
5:Del:M:3	8.34E-09	3.69E-04	8.12E-04	9.58E-08	1.42E-03	9.26E-04	1.96E-03	2.62E-03
5:Del:M:4	1.66E-08	6.43E-05	1.40E-04	1.88E-04	2.37E-04	3.09E-04	2.49E-04	3.73E-04
5:Del:M:5	1.75E-08	1.78E-07	1.74E-07	1.53E-07	3.34E-07	3.87E-07	3.29E-07	4.03E-07
