MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
1:Del:C:1	4.29E-04	2.00E-02	1.63E-02	1.54E-03	1.16E-02	7.89E-03	9.63E-03	9.59E-03	1.08E-02
1:Del:C:2	5.75E-04	6.53E-03	2.14E-02	4.37E-03	1.05E-02	2.59E-03	6.75E-03	4.45E-03	6.76E-03
1:Del:C:3	1.06E-08	1.96E-03	7.11E-03	3.12E-03	2.01E-02	2.61E-03	3.45E-03	3.59E-03	2.58E-03
1:Del:C:4	2.83E-04	3.93E-03	3.61E-03	1.21E-02	1.30E-02	1.07E-02	2.25E-02	4.94E-03	1.14E-02
1:Del:C:5	1.90E-08	1.07E-03	1.49E-03	7.80E-03	5.48E-03	3.42E-03	3.00E-03	4.33E-07	3.28E-03
1:Del:T:0	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
1:Del:T:1	5.11E-04	2.28E-03	3.40E-03	2.07E-03	7.21E-03	2.18E-02	4.50E-03	1.13E-02	5.45E-03
1:Del:T:2	5.23E-09	2.79E-03	5.49E-03	1.83E-03	5.24E-03	6.66E-03	7.54E-03	3.78E-03	5.72E-03
1:Del:T:3	1.08E-08	1.97E-03	1.46E-03	5.02E-03	6.34E-03	5.76E-03	5.82E-03	2.38E-03	5.39E-03
1:Del:T:4	1.20E-04	2.11E-03	3.39E-03	1.90E-03	3.96E-03	3.18E-03	4.36E-03	4.31E-03	3.54E-03
1:Del:T:5	2.49E-04	3.37E-04	6.64E-04	4.81E-03	3.40E-03	1.47E-04	2.89E-03	2.73E-03	2.77E-03
1:Ins:C:0	9.64E-04	2.17E-04	1.29E-03	8.95E-04	3.59E-03	4.01E-03	4.96E-03	1.58E-03	3.75E-03
1:Ins:C:1	4.37E-04	8.26E-04	1.71E-03	1.75E-03	2.66E-03	2.93E-03	4.25E-03	2.00E-03	2.67E-03
1:Ins:C:2	4.45E-05	1.32E-03	2.67E-03	2.03E-03	2.32E-03	3.45E-03	2.43E-03	7.74E-04	3.38E-03
1:Ins:C:3	6.29E-09	1.02E-03	1.71E-03	5.16E-04	3.26E-03	1.79E-03	2.90E-03	1.77E-03	2.13E-03
1:Ins:C:4	2.47E-04	1.23E-03	1.30E-03	2.31E-03	1.47E-03	1.47E-03	2.82E-03	1.34E-03	1.71E-03
1:Ins:C:5	3.96E-07	2.16E-03	3.94E-03	5.76E-03	3.99E-03	3.92E-03	7.37E-03	2.63E-03	4.73E-03
1:Ins:T:0	1.71E-03	2.88E-03	2.06E-03	1.96E-03	5.90E-03	7.02E-03	1.80E-02	2.31E-03	3.27E-03
1:Ins:T:1	7.72E-04	6.52E-03	1.29E-02	1.11E-03	7.78E-03	1.23E-02	9.44E-03	7.89E-03	2.11E-02
1:Ins:T:2	4.16E-04	4.68E-03	5.79E-03	3.54E-03	9.60E-03	1.03E-02	7.34E-03	3.57E-03	1.07E-02
1:Ins:T:3	2.69E-04	1.16E-03	1.75E-03	1.50E-03	2.51E-03	3.25E-03	2.66E-03	1.36E-04	2.32E-03
1:Ins:T:4	9.30E-05	7.37E-04	5.81E-04	1.62E-03	2.98E-03	1.17E-03	2.52E-03	1.72E-03	2.19E-03
1:Ins:T:5	1.47E-08	3.81E-03	9.52E-05	6.28E-03	1.37E-03	1.84E-03	4.88E-03	7.30E-04	3.79E-03
2:Del:R:0	3.85E-04	4.39E-05	1.50E-03	3.33E-03	5.55E-03	4.69E-03	5.15E-03	2.18E-03	5.29E-03
2:Del:R:1	1.04E-08	5.61E-04	7.51E-04	1.59E-03	3.53E-03	1.80E-03	2.58E-03	1.59E-03	2.41E-03
2:Del:R:2	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
2:Del:R:3	1.46E-08	2.76E-07	2.03E-07	3.90E-04	3.44E-05	4.34E-07	5.77E-05	3.12E-07	1.53E-04
2:Del:R:4	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
2:Del:R:5	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
3:Del:R:0	2.79E-05	1.98E-03	1.16E-03	2.72E-03	3.42E-03	3.06E-03	5.18E-03	2.76E-03	3.17E-03
3:Del:R:1	1.29E-08	2.03E-04	4.24E-04	2.05E-04	2.28E-04	5.76E-04	3.29E-04	3.58E-04	6.74E-04
3:Del:R:2	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
3:Del:R:3	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
3:Del:R:4	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
3:Del:R:5	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
4:Del:R:0	3.53E-04	6.38E-04	1.24E-04	2.57E-03	4.46E-03	4.20E-03	5.05E-03	2.75E-03	2.84E-03
4:Del:R:1	1.12E-08	1.74E-04	8.16E-05	3.77E-04	3.96E-04	6.11E-04	6.39E-04	7.28E-04	6.97E-04
4:Del:R:2	1.66E-08	1.90E-07	2.32E-07	1.70E-07	3.61E-07	3.88E-07	4.16E-07	2.80E-07	4.89E-07
