Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA_38_4625_01A	357	0	82	68	138	22	0	0	5	0
TCGA_38_4626_01A	26	71	109	0	11	0	52	0	0	0
TCGA_38_4627_01A	0	0	0	13	3	0	0	0	12	0
TCGA_38_4631_01A	176	0	267	126	8	262	10	0	0	0
TCGA_38_7271_01A	0	0	39	0	25	0	0	0	0	0
TCGA_44_2655_01A	29	79	56	0	12	0	2	0	0	4
TCGA_44_2657_01A	212	0	45	37	38	0	100	2	31	0
TCGA_44_2659_01A	214	75	68	0	12	0	0	9	33	52
TCGA_44_3396_01A	0	4	22	0	89	30	0	0	29	45
TCGA_44_3917_01A	35	43	27	20	17	0	32	68	7	5
TCGA_44_3918_01A	697	0	0	0	92	143	103	30	22	0
TCGA_44_4112_01A	125	0	127	145	95	0	0	16	0	0
TCGA_44_5644_01A	231	0	198	186	33	258	75	0	43	20
TCGA_44_6145_01A	247	0	2	0	2	0	0	12	12	71
TCGA_44_6147_01A	2	15	64	0	1	46	0	2	0	0
TCGA_44_6774_01A	61	144	32	0	0	48	40	0	1	0
TCGA_44_6775_01A	0	0	0	0	5	20	0	0	9	38
TCGA_44_6776_01A	75	73	1	0	9	0	0	47	10	0
TCGA_44_6779_01A	19	0	0	0	2	28	0	30	28	0
TCGA_44_7661_01A	32	0	35	103	48	34	0	24	9	4
TCGA_44_7667_01A	0	68	302	0	14	6	59	19	53	18
TCGA_44_7670_01A	395	380	91	0	160	0	49	138	18	0
TCGA_44_7672_01A	15	0	36	56	3	45	29	0	4	0
TCGA_44_8117_01A	413	71	106	70	22	0	124	16	45	0
TCGA_44_A47G_01A	0	1	0	0	13	11	0	54	5	0
TCGA_44_A4SU_01A	0	50	2	28	0	0	47	26	18	0
TCGA_49_4487_01A	54	63	43	0	47	0	177	0	4	0
TCGA_49_4488_01A	72	34	84	91	24	0	0	0	1	10
TCGA_49_4490_01A	0	0	0	0	18	0	15	0	21	0
TCGA_49_4505_01A	17	0	149	0	22	0	5	0	40	12
TCGA_49_4506_01A	36	0	0	31	3	3	3	0	17	28
TCGA_49_4507_01A	6	21	39	0	50	62	0	28	24	0
TCGA_49_6744_01A	0	115	50	11	3	15	22	24	0	0
TCGA_49_6761_01A	21	0	0	34	68	0	0	10	14	58
TCGA_49_6767_01A	45	271	0	70	36	52	26	0	28	8
TCGA_50_5051_01A	31	0	28	0	6	36	0	0	15	4
TCGA_50_5941_01A	66	96	82	66	20	0	34	46	10	0
TCGA_50_5942_01A	0	0	22	0	0	0	4	15	3	21
TCGA_50_6590_01A	209	0	73	316	174	0	209	0	0	0
TCGA_50_6592_01A	0	0	62	52	50	0	58	68	8	27
TCGA_50_6593_01A	112	22	1	47	7	4	127	15	13	0
TCGA_50_6595_01A	0	2	0	0	20	0	7	62	2	0
TCGA_53_7624_01A	174	77	0	168	151	105	129	82	17	0
TCGA_53_7813_01A	0	50	0	71	0	0	38	0	18	0
TCGA_55_6543_01A	0	0	0	0	0	0	1	5	15	0
TCGA_55_6970_01A	25	10	29	1	6	27	28	3	11	48
TCGA_55_6971_01A	0	7	0	25	3	0	39	5	0	13
TCGA_55_6979_01A	5	14	38	0	41	0	21	0	6	0
TCGA_55_6981_01A	0	0	0	0	5	0	0	26	24	0
TCGA_55_6985_01A	264	0	0	44	0	37	20	28	12	104
TCGA_55_7281_01A	0	272	22	0	32	0	36	123	12	0
