Samples	SBS96A
TCGA_38_4625_01A	672
TCGA_38_4626_01A	269
TCGA_38_4627_01A	28
TCGA_38_4631_01A	849
TCGA_38_7271_01A	64
TCGA_44_2655_01A	182
TCGA_44_2657_01A	465
TCGA_44_2659_01A	463
TCGA_44_3396_01A	219
TCGA_44_3917_01A	254
TCGA_44_3918_01A	1087
TCGA_44_4112_01A	508
TCGA_44_5644_01A	1044
TCGA_44_6145_01A	346
TCGA_44_6147_01A	130
TCGA_44_6774_01A	326
TCGA_44_6775_01A	72
TCGA_44_6776_01A	215
TCGA_44_6779_01A	107
TCGA_44_7661_01A	289
TCGA_44_7667_01A	539
TCGA_44_7670_01A	1231
TCGA_44_7672_01A	188
TCGA_44_8117_01A	867
TCGA_44_A47G_01A	84
TCGA_44_A4SU_01A	171
TCGA_49_4487_01A	388
TCGA_49_4488_01A	316
TCGA_49_4490_01A	54
TCGA_49_4505_01A	245
TCGA_49_4506_01A	121
TCGA_49_4507_01A	230
TCGA_49_6744_01A	240
TCGA_49_6761_01A	205
TCGA_49_6767_01A	536
TCGA_50_5051_01A	120
TCGA_50_5941_01A	420
TCGA_50_5942_01A	65
TCGA_50_6590_01A	981
TCGA_50_6592_01A	325
TCGA_50_6593_01A	348
TCGA_50_6595_01A	93
TCGA_53_7624_01A	903
TCGA_53_7813_01A	177
TCGA_55_6543_01A	21
TCGA_55_6970_01A	188
TCGA_55_6971_01A	92
TCGA_55_6979_01A	125
TCGA_55_6981_01A	55
TCGA_55_6985_01A	509
TCGA_55_7281_01A	497
TCGA_55_7573_01A	57
TCGA_55_7574_01A	284
TCGA_55_7725_01A	157
TCGA_55_7726_01A	122
TCGA_55_7728_01A	108
TCGA_55_7911_01A	261
TCGA_55_7914_01A	204
TCGA_55_7995_01A	754
TCGA_55_8096_01A	167
TCGA_55_8097_01A	122
TCGA_55_8203_01A	480
TCGA_55_8208_01A	387
TCGA_55_8299_01A	235
TCGA_55_8506_01A	1897
TCGA_55_8510_01A	359
TCGA_55_8511_01A	641
TCGA_55_8616_01A	628
TCGA_55_A48X_01A	458
TCGA_55_A48Z_01A	64
TCGA_55_A492_01A	332
TCGA_55_A493_01A	346
TCGA_55_A494_01A	272
TCGA_62_A46O_01A	1039
TCGA_62_A46R_01A	189
TCGA_64_1679_01A	566
TCGA_64_1681_01A	84
TCGA_64_5781_01A	1233
TCGA_67_3770_01A	241
TCGA_67_3774_01A	122
TCGA_67_6217_01A	212
TCGA_69_7973_01A	278
TCGA_69_7974_01A	572
TCGA_69_7979_01A	1677
TCGA_69_7980_01A	941
TCGA_73_4662_01A	232
TCGA_73_4666_01A	410
TCGA_73_4670_01A	391
TCGA_73_7498_01A	130
TCGA_78_7145_01A	219
TCGA_78_7146_01A	420
TCGA_78_7147_01A	387
TCGA_78_7153_01A	126
TCGA_78_7158_01A	266
TCGA_78_7159_01A	330
TCGA_78_7161_01A	209
TCGA_78_7220_01A	962
TCGA_83_5908_01A	272
TCGA_86_6851_01A	965
TCGA_86_7954_01A	243
TCGA_86_8056_01A	297
TCGA_86_8074_01A	72
TCGA_91_6830_01A	252
TCGA_91_6836_01A	499
TCGA_91_6840_01A	144
TCGA_91_6847_01A	92
TCGA_95_7039_01A	1392
TCGA_95_7043_01A	1155
TCGA_95_7948_01A	162
TCGA_95_A4VK_01A	309
TCGA_95_A4VN_01A	571
TCGA_95_A4VP_01A	148
TCGA_97_7547_01A	198
TCGA_97_7553_01A	47
TCGA_97_7941_01A	97
TCGA_97_8175_01A	30
TCGA_97_A4M0_01A	466
TCGA_97_A4M1_01A	47
TCGA_97_A4M3_01A	241
TCGA_99_7458_01A	516
TCGA_J2_8194_01A	166
TCGA_J2_A4AD_01A	381
TCGA_J2_A4AG_01A	96
TCGA_L4_A4E5_01A	396
TCGA_L9_A443_01A	292
TCGA_L9_A444_01A	643
TCGA_MP_A4T4_01A	443
TCGA_MP_A4T9_01A	42
TCGA_MP_A4TF_01A	497
TCGA_MP_A4TH_01A	131
TCGA_NJ_A4YQ_01A	1298
TCGA_NJ_A55O_01A	163
TCGA_O1_A52J_01A	199
