Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_38_4625_01A	672	0.949	251.617	37.443%	40.314	34.04%	0.11935	0.934
TCGA_38_4626_01A	269	0.914	125.369	46.606%	19.115	40.818%	0.24324	0.867
TCGA_38_4627_01A	28	0.459	38.271	136.682%	6.579	89.529%	1.41573	0.289
TCGA_38_4631_01A	849	0.972	224.647	26.46%	31.673	23.705%	0.07584	0.95
TCGA_38_7271_01A	64	0.834	54.397	84.995%	8.043	56.312%	0.63002	0.79
TCGA_44_2655_01A	182	0.909	98.433	54.084%	14.254	42.592%	0.30145	0.87
TCGA_44_2657_01A	465	0.965	146.104	31.42%	20.497	26.986%	0.11128	0.945
TCGA_44_2659_01A	463	0.966	148.943	32.169%	20.837	26.612%	0.12931	0.948
TCGA_44_3396_01A	219	0.929	103.968	47.474%	15.87	36.907%	0.22436	0.902
TCGA_44_3917_01A	254	0.896	123.98	48.811%	18.204	44.44%	0.23106	0.819
TCGA_44_3918_01A	1087	0.97	307.56	28.294%	49.471	26.475%	0.07435	0.96
TCGA_44_4112_01A	508	0.948	182.564	35.938%	25.999	32.061%	0.12966	0.912
TCGA_44_5644_01A	1044	0.979	227.388	21.78%	32.199	20.162%	0.05473	0.963
TCGA_44_6145_01A	346	0.914	167.26	48.341%	26.085	41.131%	0.2087	0.876
TCGA_44_6147_01A	130	0.868	80.774	62.134%	11.335	49.707%	0.41415	0.792
TCGA_44_6774_01A	326	0.936	129.426	39.701%	19.413	35.174%	0.15129	0.898
TCGA_44_6775_01A	72	0.668	63.556	88.272%	9.232	78.025%	0.69584	0.423
TCGA_44_6776_01A	215	0.909	107.052	49.792%	15.423	41.837%	0.2194	0.856
TCGA_44_6779_01A	107	0.725	85.415	79.827%	13.219	69.574%	0.61694	0.551
TCGA_44_7661_01A	289	0.921	113.525	39.282%	17.245	39.224%	0.16036	0.852
TCGA_44_7667_01A	539	0.942	182.212	33.806%	27.338	34.533%	0.12251	0.889
TCGA_44_7670_01A	1231	0.971	331.745	26.949%	50.009	25.032%	0.06359	0.955
TCGA_44_7672_01A	188	0.9	88.197	46.913%	13.079	43.841%	0.2539	0.824
TCGA_44_8117_01A	867	0.987	168.271	19.408%	24.013	16.925%	0.0421	0.98
TCGA_44_A47G_01A	84	0.762	64.76	77.095%	9.305	68.228%	0.56829	0.601
TCGA_44_A4SU_01A	171	0.86	93.932	54.931%	13.805	51.919%	0.32136	0.746
TCGA_49_4487_01A	388	0.941	145.235	37.432%	19.822	33.915%	0.16022	0.888
TCGA_49_4488_01A	316	0.954	108.758	34.417%	15.769	30.426%	0.13452	0.925
TCGA_49_4490_01A	54	0.716	54.382	100.707%	8.501	73.437%	0.81978	0.627
TCGA_49_4505_01A	245	0.907	118.204	48.247%	16.547	42.179%	0.21587	0.837
TCGA_49_4506_01A	121	0.791	86.558	71.536%	12.239	62.214%	0.48316	0.636
TCGA_49_4507_01A	230	0.916	102.97	44.77%	14.448	40.606%	0.23306	0.848
TCGA_49_6744_01A	240	0.937	98.268	40.945%	13.703	34.828%	0.19575	0.896
TCGA_49_6761_01A	205	0.923	106.24	51.824%	15.305	38.787%	0.264	0.891
TCGA_49_6767_01A	536	0.966	152.728	28.494%	21.243	25.945%	0.10045	0.937
TCGA_50_5051_01A	120	0.847	76.501	63.751%	10.579	53.432%	0.44238	0.739
TCGA_50_5941_01A	420	0.955	140.531	33.46%	18.618	30.452%	0.12416	0.914
TCGA_50_5942_01A	65	0.744	53.157	81.78%	7.073	69.692%	0.66115	0.534
TCGA_50_6590_01A	981	0.967	237.972	24.258%	38.751	25.47%	0.06088	0.943
TCGA_50_6592_01A	325	0.923	133.65	41.123%	18.601	40.408%	0.16453	0.85
TCGA_50_6593_01A	348	0.932	133.731	38.428%	19.536	36.594%	0.15919	0.876
TCGA_50_6595_01A	93	0.812	68.735	73.909%	10.263	59.155%	0.48388	0.721
TCGA_53_7624_01A	903	0.981	196.017	21.707%	26.064	19.382%	0.05465	0.964
TCGA_53_7813_01A	177	0.855	97.751	55.227%	15.236	52.413%	0.2805	0.755
TCGA_55_6543_01A	21	0.292	33.929	161.567%	6.114	97.902%	1.97481	0.085
TCGA_55_6970_01A	188	0.915	86.102	45.799%	12.078	40.35%	0.21805	0.851
TCGA_55_6971_01A	92	0.709	78.999	85.868%	11.183	72.186%	0.62847	0.501
TCGA_55_6979_01A	125	0.852	84.581	67.665%	12.067	52.366%	0.4468	0.778
