Samples	SBS96A	SBS96B	SBS96C
TCGA_38_4625_01A	506	164	2
TCGA_38_4626_01A	241	27	1
TCGA_38_4627_01A	3	3	22
TCGA_38_4631_01A	755	50	44
TCGA_38_7271_01A	33	31	0
TCGA_44_2655_01A	163	19	0
TCGA_44_2657_01A	352	57	56
TCGA_44_2659_01A	383	25	55
TCGA_44_3396_01A	51	115	53
TCGA_44_3917_01A	175	40	39
TCGA_44_3918_01A	917	129	41
TCGA_44_4112_01A	370	134	4
TCGA_44_5644_01A	825	86	133
TCGA_44_6145_01A	302	15	29
TCGA_44_6147_01A	120	9	1
TCGA_44_6774_01A	302	13	11
TCGA_44_6775_01A	26	16	30
TCGA_44_6776_01A	169	17	29
TCGA_44_6779_01A	44	6	57
TCGA_44_7661_01A	175	76	38
TCGA_44_7667_01A	389	38	112
TCGA_44_7670_01A	954	226	51
TCGA_44_7672_01A	147	16	25
TCGA_44_8117_01A	734	47	86
TCGA_44_A47G_01A	26	28	30
TCGA_44_A4SU_01A	108	11	52
TCGA_49_4487_01A	275	85	28
TCGA_49_4488_01A	262	41	13
TCGA_49_4490_01A	0	20	34
TCGA_49_4505_01A	149	31	65
TCGA_49_4506_01A	73	9	39
TCGA_49_4507_01A	107	71	52
TCGA_49_6744_01A	207	16	17
TCGA_49_6761_01A	69	97	39
TCGA_49_6767_01A	409	59	68
TCGA_50_5051_01A	82	10	28
TCGA_50_5941_01A	333	45	42
TCGA_50_5942_01A	42	5	18
TCGA_50_6590_01A	678	275	28
TCGA_50_6592_01A	171	96	58
TCGA_50_6593_01A	271	29	48
TCGA_50_6595_01A	28	40	25
TCGA_53_7624_01A	576	235	92
TCGA_53_7813_01A	124	3	50
TCGA_55_6543_01A	0	0	21
TCGA_55_6970_01A	127	22	39
TCGA_55_6971_01A	61	15	16
TCGA_55_6979_01A	63	54	8
TCGA_55_6981_01A	0	8	47
TCGA_55_6985_01A	428	25	56
TCGA_55_7281_01A	362	69	66
TCGA_55_7573_01A	34	13	10
TCGA_55_7574_01A	103	170	11
TCGA_55_7725_01A	118	7	32
TCGA_55_7726_01A	3	90	29
TCGA_55_7728_01A	79	4	25
TCGA_55_7911_01A	182	38	41
TCGA_55_7914_01A	92	34	78
TCGA_55_7995_01A	537	161	56
TCGA_55_8096_01A	112	15	40
TCGA_55_8097_01A	42	13	67
TCGA_55_8203_01A	377	9	94
TCGA_55_8208_01A	106	256	25
TCGA_55_8299_01A	179	22	34
TCGA_55_8506_01A	917	0	980
TCGA_55_8510_01A	283	44	32
TCGA_55_8511_01A	448	107	86
TCGA_55_8616_01A	513	42	73
TCGA_55_A48X_01A	387	45	26
TCGA_55_A48Z_01A	19	8	37
TCGA_55_A492_01A	247	27	58
TCGA_55_A493_01A	194	109	43
TCGA_55_A494_01A	175	12	85
TCGA_62_A46O_01A	718	230	91
TCGA_62_A46R_01A	86	42	61
TCGA_64_1679_01A	469	65	32
TCGA_64_1681_01A	20	37	27
TCGA_64_5781_01A	921	208	104
TCGA_67_3770_01A	181	11	49
TCGA_67_3774_01A	77	12	33
TCGA_67_6217_01A	161	15	36
TCGA_69_7973_01A	219	13	46
TCGA_69_7974_01A	440	50	82
TCGA_69_7979_01A	1447	122	108
TCGA_69_7980_01A	626	256	59
TCGA_73_4662_01A	177	28	27
TCGA_73_4666_01A	312	44	54
TCGA_73_4670_01A	269	38	84
TCGA_73_7498_01A	81	6	43
TCGA_78_7145_01A	157	21	41
TCGA_78_7146_01A	210	137	73
TCGA_78_7147_01A	217	92	78
TCGA_78_7153_01A	33	43	50
TCGA_78_7158_01A	170	56	40
TCGA_78_7159_01A	242	18	70
TCGA_78_7161_01A	152	19	38
TCGA_78_7220_01A	667	216	79
TCGA_83_5908_01A	131	129	12
TCGA_86_6851_01A	747	181	37
TCGA_86_7954_01A	98	68	77
TCGA_86_8056_01A	62	193	42
TCGA_86_8074_01A	26	13	33
TCGA_91_6830_01A	17	235	0
TCGA_91_6836_01A	383	45	71
TCGA_91_6840_01A	5	105	34
TCGA_91_6847_01A	10	23	59
TCGA_95_7039_01A	1133	120	139
TCGA_95_7043_01A	967	98	90
TCGA_95_7948_01A	0	162	0
TCGA_95_A4VK_01A	235	14	60
TCGA_95_A4VN_01A	451	61	59
TCGA_95_A4VP_01A	111	6	31
TCGA_97_7547_01A	99	64	35
TCGA_97_7553_01A	12	3	32
TCGA_97_7941_01A	59	22	16
TCGA_97_8175_01A	11	6	13
TCGA_97_A4M0_01A	327	120	19
TCGA_97_A4M1_01A	4	15	28
TCGA_97_A4M3_01A	171	44	26
TCGA_99_7458_01A	437	30	49
TCGA_J2_8194_01A	84	18	64
TCGA_J2_A4AD_01A	119	226	36
TCGA_J2_A4AG_01A	47	9	40
TCGA_L4_A4E5_01A	329	24	43
TCGA_L9_A443_01A	226	30	36
TCGA_L9_A444_01A	560	32	51
TCGA_MP_A4T4_01A	340	48	55
TCGA_MP_A4T9_01A	21	14	7
TCGA_MP_A4TF_01A	401	45	51
TCGA_MP_A4TH_01A	73	6	52
TCGA_NJ_A4YQ_01A	1153	52	93
TCGA_NJ_A55O_01A	134	13	16
TCGA_O1_A52J_01A	146	15	38
