Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA_38_4625_01A	497	0	162	13
TCGA_38_4626_01A	186	64	19	0
TCGA_38_4627_01A	4	0	4	20
TCGA_38_4631_01A	587	212	30	20
TCGA_38_7271_01A	29	6	29	0
TCGA_44_2655_01A	158	6	18	0
TCGA_44_2657_01A	327	31	54	53
TCGA_44_2659_01A	378	0	26	59
TCGA_44_3396_01A	40	23	111	45
TCGA_44_3917_01A	114	89	30	21
TCGA_44_3918_01A	901	0	129	57
TCGA_44_4112_01A	321	61	123	3
TCGA_44_5644_01A	629	264	62	89
TCGA_44_6145_01A	298	0	16	32
TCGA_44_6147_01A	89	36	5	0
TCGA_44_6774_01A	273	32	10	11
TCGA_44_6775_01A	2	43	10	17
TCGA_44_6776_01A	163	8	17	27
TCGA_44_6779_01A	46	1	7	53
TCGA_44_7661_01A	117	88	62	22
TCGA_44_7667_01A	294	136	27	82
TCGA_44_7670_01A	883	81	214	53
TCGA_44_7672_01A	93	74	9	12
TCGA_44_8117_01A	674	70	42	81
TCGA_44_A47G_01A	1	48	20	15
TCGA_44_A4SU_01A	60	75	5	31
TCGA_49_4487_01A	170	149	64	5
TCGA_49_4488_01A	215	59	34	8
TCGA_49_4490_01A	0	2	21	31
TCGA_49_4505_01A	135	22	30	58
TCGA_49_4506_01A	53	32	7	29
TCGA_49_4507_01A	86	37	65	42
TCGA_49_6744_01A	152	71	10	7
TCGA_49_6761_01A	47	40	89	29
TCGA_49_6767_01A	330	106	49	51
TCGA_50_5051_01A	81	1	10	28
TCGA_50_5941_01A	255	105	34	26
TCGA_50_5942_01A	14	43	1	7
TCGA_50_6590_01A	457	302	222	0
TCGA_50_6592_01A	69	162	70	24
TCGA_50_6593_01A	180	126	17	25
TCGA_50_6595_01A	0	53	29	11
TCGA_53_7624_01A	401	258	195	49
TCGA_53_7813_01A	71	76	0	30
TCGA_55_6543_01A	0	0	0	21
TCGA_55_6970_01A	80	70	15	23
TCGA_55_6971_01A	14	70	6	2
TCGA_55_6979_01A	62	0	53	10
TCGA_55_6981_01A	1	1	9	44
TCGA_55_6985_01A	357	93	18	41
TCGA_55_7281_01A	266	136	54	41
TCGA_55_7573_01A	13	32	9	3
TCGA_55_7574_01A	69	59	152	4
TCGA_55_7725_01A	73	63	2	19
TCGA_55_7726_01A	5	0	89	28
TCGA_55_7728_01A	69	14	3	22
TCGA_55_7911_01A	124	85	29	23
TCGA_55_7914_01A	65	47	30	62
TCGA_55_7995_01A	358	254	125	17
TCGA_55_8096_01A	92	31	12	32
TCGA_55_8097_01A	41	6	14	61
TCGA_55_8203_01A	311	89	4	76
TCGA_55_8208_01A	46	111	222	8
TCGA_55_8299_01A	116	89	13	17
TCGA_55_8506_01A	950	0	1	946
TCGA_55_8510_01A	220	84	35	20
TCGA_55_8511_01A	405	61	100	75
TCGA_55_8616_01A	439	95	34	60
TCGA_55_A48X_01A	338	61	39	20
TCGA_55_A48Z_01A	6	24	6	28
TCGA_55_A492_01A	182	91	19	40
TCGA_55_A493_01A	129	100	92	25
TCGA_55_A494_01A	176	0	14	82
TCGA_62_A46O_01A	571	205	201	62
TCGA_62_A46R_01A	53	56	35	45
TCGA_64_1679_01A	416	63	58	29
TCGA_64_1681_01A	0	46	26	12
TCGA_64_5781_01A	733	256	177	67
TCGA_67_3770_01A	138	61	6	36
TCGA_67_3774_01A	29	73	5	15
TCGA_67_6217_01A	147	20	14	31
TCGA_69_7973_01A	217	0	14	47
TCGA_69_7974_01A	393	64	44	71
TCGA_69_7979_01A	1424	0	124	129
TCGA_69_7980_01A	536	122	235	48
TCGA_73_4662_01A	129	66	21	16
TCGA_73_4666_01A	221	127	31	31
TCGA_73_4670_01A	169	150	24	48
TCGA_73_7498_01A	53	43	3	31
TCGA_78_7145_01A	130	39	18	32
TCGA_78_7146_01A	178	51	128	63
TCGA_78_7147_01A	98	185	66	38
TCGA_78_7153_01A	6	52	35	33
TCGA_78_7158_01A	137	49	50	30
TCGA_78_7159_01A	190	72	13	55
TCGA_78_7161_01A	111	60	13	25
TCGA_78_7220_01A	395	393	159	15
TCGA_83_5908_01A	129	0	128	15
TCGA_86_6851_01A	502	327	136	0
TCGA_86_7954_01A	62	64	60	57
TCGA_86_8056_01A	66	0	190	41
TCGA_86_8074_01A	5	38	9	20
TCGA_91_6830_01A	20	0	230	2
TCGA_91_6836_01A	307	104	36	52
TCGA_91_6840_01A	7	0	105	32
TCGA_91_6847_01A	8	8	23	53
TCGA_95_7039_01A	824	415	79	74
TCGA_95_7043_01A	901	75	91	88
TCGA_95_7948_01A	0	0	158	4
TCGA_95_A4VK_01A	222	17	14	56
TCGA_95_A4VN_01A	389	80	54	48
TCGA_95_A4VP_01A	69	60	1	18
TCGA_97_7547_01A	81	29	59	29
TCGA_97_7553_01A	13	0	3	31
TCGA_97_7941_01A	60	0	22	15
TCGA_97_8175_01A	3	15	4	8
TCGA_97_A4M0_01A	250	107	102	7
TCGA_97_A4M1_01A	5	0	15	27
TCGA_97_A4M3_01A	169	0	44	28
TCGA_99_7458_01A	321	154	16	25
TCGA_J2_8194_01A	39	74	11	42
TCGA_J2_A4AD_01A	77	77	204	23
TCGA_J2_A4AG_01A	47	1	10	38
TCGA_L4_A4E5_01A	274	72	18	32
TCGA_L9_A443_01A	150	106	19	17
TCGA_L9_A444_01A	474	106	24	39
TCGA_MP_A4T4_01A	250	123	36	34
TCGA_MP_A4T9_01A	0	34	8	0
TCGA_MP_A4TF_01A	314	118	34	31
TCGA_MP_A4TH_01A	29	69	1	32
TCGA_NJ_A4YQ_01A	961	239	33	65
TCGA_NJ_A55O_01A	132	0	13	18
TCGA_O1_A52J_01A	129	24	13	33
