Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA_38_4625_01A	472	0	35	154	0	11
TCGA_38_4626_01A	42	214	0	13	0	0
TCGA_38_4627_01A	0	0	9	3	0	16
TCGA_38_4631_01A	295	296	235	18	0	5
TCGA_38_7271_01A	0	39	0	25	0	0
TCGA_44_2655_01A	77	92	0	13	0	0
TCGA_44_2657_01A	240	90	29	46	18	42
TCGA_44_2659_01A	333	23	0	18	45	44
TCGA_44_3396_01A	24	0	45	103	10	37
TCGA_44_3917_01A	61	80	8	22	70	13
TCGA_44_3918_01A	855	0	27	116	45	44
TCGA_44_4112_01A	172	156	73	107	0	0
TCGA_44_5644_01A	364	200	367	51	0	62
TCGA_44_6145_01A	281	0	0	11	31	23
TCGA_44_6147_01A	11	116	0	3	0	0
TCGA_44_6774_01A	189	104	5	5	17	6
TCGA_44_6775_01A	0	0	37	10	11	14
TCGA_44_6776_01A	135	0	0	10	55	15
TCGA_44_6779_01A	34	0	0	4	32	37
TCGA_44_7661_01A	80	0	109	56	30	14
TCGA_44_7667_01A	0	455	0	16	5	63
TCGA_44_7670_01A	717	142	0	179	164	29
TCGA_44_7672_01A	44	23	107	7	0	7
TCGA_44_8117_01A	489	208	68	33	6	63
TCGA_44_A47G_01A	2	0	0	15	58	9
TCGA_44_A4SU_01A	0	90	33	2	21	25
TCGA_49_4487_01A	15	267	0	54	49	3
TCGA_49_4488_01A	123	92	69	29	0	3
TCGA_49_4490_01A	0	0	0	19	9	26
TCGA_49_4505_01A	22	155	0	23	0	45
TCGA_49_4506_01A	34	0	59	6	0	22
TCGA_49_4507_01A	44	57	0	56	41	32
TCGA_49_6744_01A	31	178	17	5	5	4
TCGA_49_6761_01A	36	0	26	79	44	20
TCGA_49_6767_01A	263	35	106	41	54	37
TCGA_50_5051_01A	47	42	1	8	0	22
TCGA_50_5941_01A	107	204	46	27	17	19
TCGA_50_5942_01A	0	26	2	0	33	4
TCGA_50_6590_01A	267	91	420	203	0	0
TCGA_50_6592_01A	0	112	37	58	105	13
TCGA_50_6593_01A	143	14	98	11	67	15
TCGA_50_6595_01A	0	0	0	22	67	4
TCGA_53_7624_01A	302	20	261	175	116	29
TCGA_53_7813_01A	2	81	70	0	0	24
TCGA_55_6543_01A	0	0	0	0	3	18
TCGA_55_6970_01A	12	94	39	12	13	18
TCGA_55_6971_01A	0	9	50	4	29	0
TCGA_55_6979_01A	17	55	0	46	0	7
TCGA_55_6981_01A	0	0	0	7	16	32
TCGA_55_6985_01A	297	0	136	12	38	26
TCGA_55_7281_01A	175	97	0	35	171	19
TCGA_55_7573_01A	13	0	8	7	29	0
TCGA_55_7574_01A	0	112	0	138	31	3
TCGA_55_7725_01A	0	100	43	0	0	14
TCGA_55_7726_01A	0	0	17	82	0	23
TCGA_55_7728_01A	55	0	32	3	1	17
TCGA_55_7911_01A	0	189	0	20	37	15
TCGA_55_7914_01A	0	97	22	26	9	50
TCGA_55_7995_01A	194	234	43	102	178	3
TCGA_55_8096_01A	73	12	0	7	53	22
TCGA_55_8097_01A	32	0	0	10	34	46
TCGA_55_8203_01A	193	86	143	0	0	58
TCGA_55_8208_01A	7	67	24	205	79	5
TCGA_55_8299_01A	62	60	64	10	28	11
TCGA_55_8506_01A	853	0	234	4	0	806
TCGA_55_8510_01A	119	114	81	31	0	14
TCGA_55_8511_01A	362	0	28	83	117	51
TCGA_55_8616_01A	178	367	13	23	0	47
TCGA_55_A48X_01A	279	49	15	29	77	9
TCGA_55_A48Z_01A	1	0	20	5	17	21
TCGA_55_A492_01A	143	0	120	16	24	29
TCGA_55_A493_01A	73	23	124	83	27	16
TCGA_55_A494_01A	53	150	0	7	0	62
TCGA_62_A46O_01A	518	0	109	175	199	38
TCGA_62_A46R_01A	19	26	64	32	12	36
TCGA_64_1679_01A	169	334	0	45	0	18
TCGA_64_1681_01A	0	0	0	21	57	6
TCGA_64_5781_01A	193	765	0	137	102	36
TCGA_67_3770_01A	71	88	8	1	48	25
TCGA_67_3774_01A	0	24	79	5	3	11
TCGA_67_6217_01A	125	0	0	7	63	17
TCGA_69_7973_01A	178	0	54	11	0	35
TCGA_69_7974_01A	203	257	20	36	0	56
TCGA_69_7979_01A	1127	335	0	103	10	102
TCGA_69_7980_01A	454	0	201	217	34	35
TCGA_73_4662_01A	2	201	0	16	0	13
TCGA_73_4666_01A	162	0	159	25	46	18
TCGA_73_4670_01A	152	0	14	10	190	25
TCGA_73_7498_01A	25	38	0	0	46	21
TCGA_78_7145_01A	15	167	1	12	0	24
TCGA_78_7146_01A	144	7	74	118	26	51
TCGA_78_7147_01A	41	0	216	59	47	24
TCGA_78_7153_01A	3	0	30	31	36	26
TCGA_78_7158_01A	122	2	10	42	70	20
TCGA_78_7159_01A	125	0	156	9	0	40
TCGA_78_7161_01A	75	44	41	11	18	20
TCGA_78_7220_01A	50	515	92	130	175	0
TCGA_83_5908_01A	88	0	62	113	0	9
TCGA_86_6851_01A	41	618	193	113	0	0
TCGA_86_7954_01A	0	97	14	53	35	44
TCGA_86_8056_01A	0	89	0	170	6	32
TCGA_86_8074_01A	2	0	0	4	56	10
TCGA_91_6830_01A	14	0	0	211	26	1
TCGA_91_6836_01A	234	78	23	24	106	34
TCGA_91_6840_01A	0	0	19	97	0	28
TCGA_91_6847_01A	5	0	0	19	28	40
TCGA_95_7039_01A	643	0	577	69	56	47
TCGA_95_7043_01A	743	95	82	70	108	57
TCGA_95_7948_01A	0	0	0	154	0	8
TCGA_95_A4VK_01A	196	0	0	6	69	38
TCGA_95_A4VN_01A	160	284	53	41	0	33
TCGA_95_A4VP_01A	42	0	92	1	0	13
TCGA_97_7547_01A	43	0	83	52	0	20
TCGA_97_7553_01A	11	0	0	2	10	24
TCGA_97_7941_01A	52	0	0	19	15	11
TCGA_97_8175_01A	0	0	9	3	13	5
TCGA_97_A4M0_01A	163	56	150	94	0	3
TCGA_97_A4M1_01A	2	7	1	15	0	22
TCGA_97_A4M3_01A	153	0	25	40	0	23
TCGA_99_7458_01A	198	143	87	8	66	14
TCGA_J2_8194_01A	0	46	64	10	12	34
TCGA_J2_A4AD_01A	3	104	59	192	0	23
TCGA_J2_A4AG_01A	0	56	0	6	7	27
TCGA_L4_A4E5_01A	234	0	87	12	43	20
TCGA_L9_A443_01A	56	137	26	12	51	10
TCGA_L9_A444_01A	126	483	0	10	0	24
TCGA_MP_A4T4_01A	52	269	70	28	0	24
TCGA_MP_A4T9_01A	0	1	11	6	24	0
TCGA_MP_A4TF_01A	274	0	59	22	128	14
TCGA_MP_A4TH_01A	0	38	37	0	32	24
TCGA_NJ_A4YQ_01A	678	206	353	21	0	40
TCGA_NJ_A55O_01A	110	0	29	11	0	13
TCGA_O1_A52J_01A	68	84	10	11	0	26
