Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA_38_4625_01A	9.98E+00	1.02E+01	7.12E+00	1.82E+00	2.31E+00	8.46E-01
TCGA_38_4626_01A	5.78E+00	6.63E+00	3.34E+00	7.96E-01	2.29E+00	4.26E-01
TCGA_38_4627_01A	2.22E-01	3.86E-01	4.96E-01	2.14E-01	3.95E-01	5.40E-01
TCGA_38_4631_01A	1.16E+01	1.26E+01	8.73E+00	9.51E-01	5.16E+00	9.69E-01
TCGA_38_7271_01A	1.34E+00	1.47E+00	7.73E-01	5.10E-01	6.16E-01	0.00E+00
TCGA_44_2655_01A	4.18E+00	4.56E+00	2.02E+00	5.37E-01	1.39E+00	1.00E-02
TCGA_44_2657_01A	7.94E+00	8.39E+00	5.45E+00	1.14E+00	3.11E+00	1.66E+00
TCGA_44_2659_01A	8.91E+00	9.31E+00	3.72E+00	9.91E-01	3.11E+00	1.39E+00
TCGA_44_3396_01A	1.75E+00	2.14E+00	2.25E+00	1.36E+00	1.79E+00	1.30E+00
TCGA_44_3917_01A	5.24E+00	5.23E+00	3.49E+00	8.83E-01	3.03E+00	1.02E+00
TCGA_44_3918_01A	1.40E+01	1.51E+01	9.36E+00	1.77E+00	4.02E+00	1.95E+00
TCGA_44_4112_01A	7.66E+00	8.99E+00	6.02E+00	1.46E+00	2.95E+00	4.71E-01
TCGA_44_5644_01A	1.07E+01	1.37E+01	1.05E+01	1.57E+00	5.56E+00	1.99E+00
TCGA_44_6145_01A	7.84E+00	8.24E+00	4.27E+00	6.48E-01	2.49E+00	1.10E+00
TCGA_44_6147_01A	2.92E+00	3.24E+00	2.32E+00	3.76E-01	1.79E+00	1.21E-01
TCGA_44_6774_01A	5.15E+00	5.36E+00	3.53E+00	4.67E-01	2.47E+00	5.18E-01
TCGA_44_6775_01A	6.25E-01	1.08E+00	1.56E+00	5.53E-01	1.39E+00	1.07E+00
TCGA_44_6776_01A	3.94E+00	4.60E+00	2.43E+00	6.88E-01	2.39E+00	1.31E+00
TCGA_44_6779_01A	1.61E+00	1.88E+00	1.61E+00	4.12E-01	2.04E+00	1.16E+00
TCGA_44_7661_01A	3.98E+00	4.14E+00	3.15E+00	1.16E+00	2.54E+00	9.19E-01
TCGA_44_7667_01A	8.24E+00	9.82E+00	5.52E+00	1.02E+00	4.76E+00	1.76E+00
TCGA_44_7670_01A	1.44E+01	1.49E+01	8.15E+00	2.17E+00	5.03E+00	2.08E+00
TCGA_44_7672_01A	3.40E+00	3.69E+00	3.28E+00	6.13E-01	2.16E+00	8.63E-01
TCGA_44_8117_01A	9.49E+00	9.79E+00	5.74E+00	1.31E+00	4.34E+00	1.70E+00
TCGA_44_A47G_01A	5.16E-01	1.24E+00	1.15E+00	7.35E-01	1.92E+00	1.13E+00
TCGA_44_A4SU_01A	2.82E+00	2.95E+00	2.44E+00	4.82E-01	2.24E+00	1.40E+00
TCGA_49_4487_01A	5.30E+00	6.38E+00	3.84E+00	1.26E+00	4.15E+00	8.77E-01
TCGA_49_4488_01A	4.82E+00	5.18E+00	4.12E+00	8.75E-01	2.46E+00	7.42E-01
TCGA_49_4490_01A	0.00E+00	3.09E-01	6.33E-01	5.83E-01	8.47E-01	9.66E-01
TCGA_49_4505_01A	4.10E+00	4.35E+00	2.55E+00	6.91E-01	2.01E+00	1.16E+00
TCGA_49_4506_01A	1.82E+00	2.17E+00	2.45E+00	3.02E-01	1.98E+00	1.20E+00
TCGA_49_4507_01A	2.86E+00	3.16E+00	2.65E+00	1.13E+00	2.27E+00	1.24E+00
TCGA_49_6744_01A	4.15E+00	4.79E+00	2.90E+00	6.54E-01	2.17E+00	6.69E-01
TCGA_49_6761_01A	2.14E+00	2.59E+00	2.52E+00	1.22E+00	2.28E+00	1.02E+00
TCGA_49_6767_01A	6.17E+00	6.90E+00	6.12E+00	1.14E+00	3.81E+00	1.50E+00
TCGA_50_5051_01A	2.44E+00	2.72E+00	2.29E+00	4.67E-01	1.37E+00	9.59E-01
TCGA_50_5941_01A	5.99E+00	5.84E+00	4.74E+00	1.13E+00	3.82E+00	9.08E-01
TCGA_50_5942_01A	7.84E-01	1.40E+00	1.26E+00	2.71E-01	1.33E+00	5.16E-01
TCGA_50_6590_01A	9.09E+00	1.06E+01	8.56E+00	2.17E+00	5.98E+00	7.73E-01
TCGA_50_6592_01A	3.27E+00	3.98E+00	3.61E+00	1.26E+00	3.49E+00	1.22E+00
TCGA_50_6593_01A	4.90E+00	5.97E+00	5.01E+00	8.64E-01	3.29E+00	1.08E+00
