NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	159.232	59.603	23.599	47.886	0.385	0.788	60000.0
2	158.052	59.705	23.467	47.806	0.386	0.788	60000.0
3	157.248	58.349	23.524	47.611	0.371	0.787	70000.0
4	156.77	59.025	23.22	47.117	0.38	0.795	40000.0
5	156.85	59.621	23.325	47.591	0.383	0.788	60000.0
6	157.948	59.064	23.406	47.346	0.374	0.794	30000.0
7	158.437	59.858	23.533	48.075	0.387	0.784	30000.0
8	156.754	59.828	23.17	47.563	0.392	0.787	50000.0
9	156.153	59.116	23.265	47.709	0.382	0.786	50000.0
10	156.428	58.536	23.358	47.255	0.373	0.793	60000.0
11	157.215	59.389	23.503	47.698	0.386	0.788	60000.0
12	157.656	59.681	23.457	47.942	0.387	0.785	50000.0
13	157.598	59.013	23.425	47.332	0.379	0.793	120000.0
14	157.338	59.727	23.282	47.428	0.39	0.786	50000.0
15	157.155	59.251	23.384	47.448	0.378	0.791	40000.0
16	157.206	59.189	23.339	47.58	0.381	0.787	50000.0
17	157.004	59.571	23.489	47.598	0.381	0.791	60000.0
18	156.973	58.929	23.394	47.413	0.376	0.793	50000.0
19	156.393	58.541	23.596	47.467	0.374	0.793	60000.0
20	158.465	59.12	23.598	47.498	0.382	0.793	50000.0
21	156.573	58.952	23.268	47.259	0.38	0.791	60000.0
22	156.083	59.083	23.264	47.209	0.383	0.792	50000.0
23	157.153	59.047	23.441	47.372	0.377	0.792	60000.0
24	157.498	58.838	23.576	47.594	0.382	0.79	30000.0
25	157.601	58.813	23.424	47.348	0.377	0.792	120000.0
26	158.962	59.366	23.579	47.83	0.384	0.786	80000.0
27	156.335	58.84	23.215	47.281	0.375	0.793	70000.0
28	157.123	58.366	23.198	47.003	0.375	0.797	40000.0
29	158.983	59.879	23.666	47.994	0.385	0.783	60000.0
30	157.806	59.335	23.503	47.679	0.381	0.788	70000.0
31	157.219	58.922	23.517	47.257	0.375	0.792	40000.0
