Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA_38_4625_01A	431	0	0	142	46	48	0	5
TCGA_38_4626_01A	0	97	161	11	0	0	0	0
TCGA_38_4627_01A	0	0	0	3	12	0	0	13
TCGA_38_4631_01A	275	0	300	5	146	123	0	0
TCGA_38_7271_01A	0	0	41	23	0	0	0	0
TCGA_44_2655_01A	82	36	34	11	0	8	11	0
TCGA_44_2657_01A	213	0	101	41	46	19	10	35
TCGA_44_2659_01A	312	8	0	14	0	48	45	36
TCGA_44_3396_01A	13	0	0	93	0	84	0	29
TCGA_44_3917_01A	0	75	89	18	0	0	62	10
TCGA_44_3918_01A	723	85	0	103	0	126	20	30
TCGA_44_4112_01A	188	0	91	98	131	0	0	0
TCGA_44_5644_01A	359	0	177	34	235	193	0	46
TCGA_44_6145_01A	269	0	0	8	0	0	52	17
TCGA_44_6147_01A	0	24	105	1	0	0	0	0
TCGA_44_6774_01A	65	187	55	3	0	13	0	3
TCGA_44_6775_01A	0	0	0	8	17	34	1	12
TCGA_44_6776_01A	130	0	0	8	0	0	67	10
TCGA_44_6779_01A	35	0	0	3	0	0	36	33
TCGA_44_7661_01A	75	0	16	50	111	0	25	12
TCGA_44_7667_01A	34	0	311	8	0	137	0	49
TCGA_44_7670_01A	425	286	208	161	0	0	131	20
TCGA_44_7672_01A	43	0	25	3	70	43	0	4
TCGA_44_8117_01A	387	131	188	25	61	0	23	52
TCGA_44_A47G_01A	0	6	0	13	0	0	59	6
TCGA_44_A4SU_01A	0	55	34	1	26	0	35	20
TCGA_49_4487_01A	0	121	152	50	0	3	60	2
TCGA_49_4488_01A	114	11	84	24	81	0	0	2
TCGA_49_4490_01A	0	0	0	19	0	0	13	22
TCGA_49_4505_01A	13	0	171	20	0	0	0	41
TCGA_49_4506_01A	38	0	0	5	59	0	0	19
TCGA_49_4507_01A	40	11	14	52	0	77	11	25
TCGA_49_6744_01A	0	129	85	3	0	0	21	2
TCGA_49_6761_01A	31	0	0	75	54	0	27	18
TCGA_49_6767_01A	63	347	0	39	28	0	27	32
TCGA_50_5051_01A	37	0	47	6	0	12	0	18
TCGA_50_5941_01A	48	109	169	21	33	0	26	14
TCGA_50_5942_01A	0	0	27	0	5	8	22	3
TCGA_50_6590_01A	201	0	247	181	352	0	0	0
TCGA_50_6592_01A	0	0	105	53	68	0	89	10
TCGA_50_6593_01A	7	147	97	10	55	0	16	16
TCGA_50_6595_01A	0	1	0	20	0	0	70	2
TCGA_53_7624_01A	142	233	64	161	176	0	103	24
TCGA_53_7813_01A	0	81	0	0	58	17	0	21
TCGA_55_6543_01A	0	0	0	0	0	0	5	16
TCGA_55_6970_01A	30	13	26	8	9	81	9	12
TCGA_55_6971_01A	0	16	0	3	40	11	22	0
TCGA_55_6979_01A	0	14	63	42	0	0	0	6
TCGA_55_6981_01A	0	0	0	6	0	0	22	27
TCGA_55_6985_01A	294	0	0	5	122	0	69	19
TCGA_55_7281_01A	50	250	0	30	0	0	156	11
TCGA_55_7573_01A	4	4	0	6	0	30	13	0
TCGA_55_7574_01A	0	49	45	127	0	0	63	0
TCGA_55_7725_01A	0	0	110	0	34	0	0	13
TCGA_55_7726_01A	0	0	0	77	24	0	0	21
TCGA_55_7728_01A	0	85	0	2	7	0	0	14
TCGA_55_7911_01A	0	69	77	15	0	44	48	8
TCGA_55_7914_01A	0	20	69	23	34	0	15	43
TCGA_55_7995_01A	157	0	266	91	111	0	129	0
TCGA_55_8096_01A	51	0	48	6	0	0	43	19
TCGA_55_8097_01A	31	0	0	9	0	0	43	39
TCGA_55_8203_01A	181	4	95	0	150	0	0	50
TCGA_55_8208_01A	0	0	80	194	39	0	69	5
TCGA_55_8299_01A	0	134	0	7	0	74	13	7
TCGA_55_8506_01A	518	489	0	3	171	0	0	716
TCGA_55_8510_01A	22	200	53	27	46	0	0	11
TCGA_55_8511_01A	308	56	0	76	47	0	114	40
TCGA_55_8616_01A	24	346	199	19	0	0	0	40
TCGA_55_A48X_01A	153	135	72	24	11	0	57	6
TCGA_55_A48Z_01A	3	0	0	4	17	6	16	18
TCGA_55_A492_01A	77	83	0	11	25	115	0	21
TCGA_55_A493_01A	83	0	0	76	76	91	8	12
TCGA_55_A494_01A	45	0	164	6	0	0	0	57
TCGA_62_A46O_01A	395	154	0	164	116	28	152	30
TCGA_62_A46R_01A	0	59	0	29	50	6	14	31
TCGA_64_1679_01A	189	0	218	35	0	114	0	10
TCGA_64_1681_01A	0	0	0	19	0	0	61	4
TCGA_64_5781_01A	309	0	416	116	0	276	99	17
TCGA_67_3770_01A	76	0	65	0	27	14	40	19
TCGA_67_3774_01A	0	6	9	2	47	51	0	7
TCGA_67_6217_01A	92	34	0	4	0	0	70	12
