Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA_38_4625_01A	9.13E+00	8.81E+00	8.60E+00	1.77E+00	4.14E+00	4.95E+00	1.89E+00	7.42E-01
TCGA_38_4626_01A	5.58E+00	5.65E+00	5.95E+00	7.93E-01	2.65E+00	2.22E+00	1.76E+00	3.80E-01
TCGA_38_4627_01A	1.97E-01	4.10E-01	2.14E-01	2.17E-01	4.86E-01	3.82E-01	2.84E-01	5.44E-01
TCGA_38_4631_01A	1.01E+01	1.03E+01	1.06E+01	8.67E-01	6.69E+00	7.93E+00	3.85E+00	6.36E-01
TCGA_38_7271_01A	1.08E+00	9.66E-01	1.45E+00	5.60E-01	7.61E-01	7.18E-01	2.97E-01	0.00E+00
TCGA_44_2655_01A	4.34E+00	4.21E+00	3.79E+00	5.43E-01	1.16E+00	1.91E+00	1.07E+00	0.00E+00
TCGA_44_2657_01A	7.12E+00	6.31E+00	5.85E+00	1.06E+00	2.89E+00	4.11E+00	2.52E+00	1.50E+00
TCGA_44_2659_01A	7.65E+00	7.06E+00	6.84E+00	9.54E-01	2.73E+00	3.44E+00	2.53E+00	1.21E+00
TCGA_44_3396_01A	1.52E+00	1.88E+00	1.66E+00	1.37E+00	1.81E+00	2.02E+00	1.89E+00	1.21E+00
TCGA_44_3917_01A	4.18E+00	4.54E+00	4.89E+00	9.36E-01	2.99E+00	2.59E+00	3.24E+00	8.91E-01
TCGA_44_3918_01A	1.32E+01	1.36E+01	1.22E+01	1.62E+00	6.17E+00	6.83E+00	3.69E+00	1.59E+00
TCGA_44_4112_01A	6.96E+00	7.00E+00	6.36E+00	1.43E+00	5.01E+00	3.93E+00	3.03E+00	3.41E-01
TCGA_44_5644_01A	9.81E+00	1.14E+01	1.05E+01	1.72E+00	7.39E+00	7.89E+00	4.04E+00	1.85E+00
TCGA_44_6145_01A	6.59E+00	4.72E+00	6.34E+00	6.25E-01	3.07E+00	3.39E+00	2.25E+00	9.92E-01
TCGA_44_6147_01A	2.57E+00	2.80E+00	3.01E+00	2.88E-01	2.06E+00	1.95E+00	1.48E+00	5.52E-02
TCGA_44_6774_01A	5.59E+00	5.61E+00	4.73E+00	4.35E-01	2.75E+00	3.11E+00	1.73E+00	4.51E-01
TCGA_44_6775_01A	6.96E-01	1.05E+00	8.57E-01	5.21E-01	1.56E+00	1.58E+00	1.21E+00	9.52E-01
TCGA_44_6776_01A	3.84E+00	4.02E+00	3.23E+00	6.92E-01	1.40E+00	2.29E+00	2.29E+00	1.07E+00
TCGA_44_6779_01A	1.59E+00	1.71E+00	1.30E+00	3.82E-01	1.05E+00	1.72E+00	1.72E+00	1.10E+00
TCGA_44_7661_01A	3.84E+00	3.63E+00	3.29E+00	1.05E+00	2.91E+00	2.75E+00	2.33E+00	7.97E-01
TCGA_44_7667_01A	7.42E+00	7.99E+00	7.79E+00	8.55E-01	3.96E+00	6.08E+00	4.11E+00	1.42E+00
TCGA_44_7670_01A	1.45E+01	1.38E+01	1.45E+01	2.25E+00	5.82E+00	6.00E+00	5.44E+00	1.94E+00
TCGA_44_7672_01A	3.06E+00	3.05E+00	2.68E+00	5.87E-01	2.69E+00	2.54E+00	1.18E+00	7.46E-01
TCGA_44_8117_01A	9.62E+00	9.48E+00	8.72E+00	1.32E+00	4.67E+00	4.17E+00	3.62E+00	1.60E+00
TCGA_44_A47G_01A	6.14E-01	7.81E-01	8.97E-01	7.12E-01	1.05E+00	1.61E+00	1.60E+00	8.50E-01
TCGA_44_A4SU_01A	2.64E+00	2.55E+00	2.61E+00	4.39E-01	2.10E+00	2.01E+00	2.00E+00	1.19E+00
TCGA_49_4487_01A	5.33E+00	5.28E+00	4.98E+00	1.21E+00	3.31E+00	3.80E+00	4.04E+00	6.03E-01
TCGA_49_4488_01A	4.41E+00	4.76E+00	4.43E+00	8.54E-01	3.63E+00	2.80E+00	2.04E+00	5.41E-01
TCGA_49_4490_01A	0.00E+00	1.38E-01	2.99E-01	6.14E-01	5.54E-01	5.36E-01	9.72E-01	7.89E-01
TCGA_49_4505_01A	3.93E+00	3.82E+00	4.10E+00	7.81E-01	1.92E+00	2.54E+00	2.19E+00	1.11E+00
TCGA_49_4506_01A	1.71E+00	1.83E+00	1.62E+00	2.88E-01	2.47E+00	2.00E+00	1.42E+00	1.21E+00
TCGA_49_4507_01A	2.32E+00	2.51E+00	2.75E+00	1.18E+00	2.19E+00	2.31E+00	2.05E+00	1.09E+00
TCGA_49_6744_01A	3.92E+00	4.37E+00	3.45E+00	6.44E-01	2.16E+00	2.71E+00	1.96E+00	5.46E-01
TCGA_49_6761_01A	1.86E+00	1.85E+00	1.94E+00	1.17E+00	2.58E+00	1.81E+00	2.40E+00	1.01E+00
TCGA_49_6767_01A	6.29E+00	7.32E+00	5.71E+00	1.26E+00	4.29E+00	4.88E+00	3.85E+00	1.38E+00
TCGA_50_5051_01A	2.33E+00	2.53E+00	2.38E+00	4.47E-01	1.33E+00	1.94E+00	9.06E-01	9.06E-01
TCGA_50_5941_01A	5.08E+00	5.33E+00	5.87E+00	1.19E+00	4.37E+00	3.64E+00	3.37E+00	8.17E-01
TCGA_50_5942_01A	7.26E-01	7.76E-01	1.12E+00	1.92E-01	1.19E+00	1.20E+00	1.43E+00	3.85E-01
TCGA_50_6590_01A	9.64E+00	1.09E+01	8.76E+00	2.16E+00	7.42E+00	5.56E+00	4.16E+00	5.05E-01
TCGA_50_6592_01A	2.19E+00	3.30E+00	3.76E+00	1.16E+00	3.15E+00	3.06E+00	3.02E+00	1.07E+00
TCGA_50_6593_01A	4.78E+00	5.38E+00	5.42E+00	8.73E-01	3.65E+00	3.30E+00	2.98E+00	1.01E+00
TCGA_50_6595_01A	6.31E-01	8.56E-01	8.29E-01	8.36E-01	1.16E+00	1.38E+00	1.94E+00	6.65E-01
TCGA_53_7624_01A	7.02E+00	7.60E+00	6.97E+00	2.10E+00	6.07E+00	5.79E+00	4.72E+00	1.63E+00
TCGA_53_7813_01A	2.45E+00	3.35E+00	2.68E+00	1.16E-01	3.01E+00	2.72E+00	1.36E+00	9.78E-01
TCGA_55_6543_01A	4.64E-02	7.30E-02	2.11E-01	5.84E-02	3.68E-01	4.13E-01	4.47E-01	4.70E-01
TCGA_55_6970_01A	2.87E+00	2.70E+00	2.63E+00	5.96E-01	2.13E+00	2.35E+00	1.66E+00	9.16E-01
TCGA_55_6971_01A	1.03E+00	1.89E+00	1.13E+00	4.05E-01	1.82E+00	1.81E+00	1.50E+00	3.06E-01
TCGA_55_6979_01A	2.01E+00	1.95E+00	2.36E+00	8.83E-01	9.10E-01	1.46E+00	8.98E-01	5.17E-01
TCGA_55_6981_01A	1.81E-01	1.67E-01	3.77E-01	4.26E-01	4.15E-01	4.35E-01	1.26E+00	1.16E+00
TCGA_55_6985_01A	7.57E+00	6.84E+00	5.77E+00	6.91E-01	5.15E+00	3.68E+00	3.37E+00	1.16E+00
TCGA_55_7281_01A	7.71E+00	8.62E+00	6.53E+00	1.27E+00	3.46E+00	5.34E+00	4.65E+00	1.21E+00
TCGA_55_7573_01A	8.85E-01	9.58E-01	9.01E-01	4.74E-01	9.65E-01	1.19E+00	1.15E+00	2.11E-01
TCGA_55_7574_01A	3.29E+00	3.05E+00	3.26E+00	1.57E+00	1.54E+00	2.37E+00	2.28E+00	5.94E-01
TCGA_55_7725_01A	2.70E+00	2.87E+00	3.21E+00	2.44E-01	2.55E+00	2.23E+00	1.50E+00	5.92E-01
TCGA_55_7726_01A	2.51E-01	3.96E-01	6.06E-01	9.58E-01	1.24E+00	1.08E+00	4.20E-01	7.96E-01
TCGA_55_7728_01A	2.21E+00	2.10E+00	1.69E+00	3.35E-01	1.21E+00	1.36E+00	9.17E-01	8.10E-01
TCGA_55_7911_01A	3.55E+00	4.31E+00	3.88E+00	8.26E-01	1.68E+00	2.98E+00	2.64E+00	9.04E-01
TCGA_55_7914_01A	1.97E+00	2.30E+00	2.86E+00	8.86E-01	2.51E+00	2.27E+00	2.54E+00	1.65E+00
TCGA_55_7995_01A	7.67E+00	6.93E+00	7.74E+00	2.07E+00	5.98E+00	6.03E+00	5.08E+00	7.27E-01
TCGA_55_8096_01A	2.46E+00	2.22E+00	2.51E+00	5.97E-01	1.53E+00	1.80E+00	1.64E+00	8.42E-01
TCGA_55_8097_01A	1.42E+00	1.64E+00	1.44E+00	6.26E-01	1.58E+00	1.81E+00	1.87E+00	1.20E+00
TCGA_55_8203_01A	7.36E+00	6.44E+00	6.21E+00	4.07E-01	3.93E+00	4.16E+00	2.78E+00	1.28E+00
TCGA_55_8208_01A	2.04E+00	2.70E+00	2.70E+00	1.65E+00	3.45E+00	3.21E+00	3.25E+00	7.41E-01
TCGA_55_8299_01A	3.49E+00	3.84E+00	3.07E+00	5.80E-01	2.89E+00	2.89E+00	2.34E+00	6.92E-01
TCGA_55_8506_01A	1.75E+01	1.76E+01	1.45E+01	7.76E-01	9.60E+00	9.48E+00	7.09E+00	6.38E+00
TCGA_55_8510_01A	5.42E+00	4.89E+00	4.95E+00	1.02E+00	3.04E+00	3.02E+00	1.75E+00	8.52E-01
TCGA_55_8511_01A	6.38E+00	6.66E+00	5.94E+00	1.51E+00	4.23E+00	4.19E+00	4.28E+00	1.72E+00
TCGA_55_8616_01A	9.18E+00	8.97E+00	8.26E+00	1.11E+00	3.86E+00	4.53E+00	3.64E+00	1.28E+00
TCGA_55_A48X_01A	7.38E+00	8.07E+00	6.96E+00	1.09E+00	3.67E+00	4.43E+00	3.02E+00	7.72E-01
TCGA_55_A48Z_01A	7.59E-01	6.34E-01	8.37E-01	3.80E-01	1.17E+00	8.91E-01	1.12E+00	8.51E-01
TCGA_55_A492_01A	4.67E+00	5.02E+00	3.69E+00	7.60E-01	3.13E+00	4.14E+00	2.55E+00	1.11E+00
TCGA_55_A493_01A	3.99E+00	4.31E+00	4.45E+00	1.40E+00	3.53E+00	3.32E+00	2.68E+00	9.93E-01
TCGA_55_A494_01A	4.25E+00	3.60E+00	4.27E+00	5.97E-01	1.91E+00	2.32E+00	2.07E+00	1.35E+00
TCGA_62_A46O_01A	8.44E+00	8.64E+00	8.42E+00	2.09E+00	6.27E+00	6.43E+00	5.40E+00	1.60E+00
TCGA_62_A46R_01A	1.84E+00	2.57E+00	1.88E+00	9.97E-01	2.40E+00	2.43E+00	2.12E+00	1.27E+00
TCGA_64_1679_01A	8.29E+00	7.24E+00	8.16E+00	1.22E+00	3.08E+00	4.68E+00	3.03E+00	9.14E-01
TCGA_64_1681_01A	1.86E-01	4.00E-01	1.02E+00	7.36E-01	1.27E+00	1.36E+00	1.88E+00	6.36E-01
TCGA_64_5781_01A	1.41E+01	1.36E+01	1.36E+01	2.06E+00	6.64E+00	9.02E+00	5.07E+00	1.61E+00
TCGA_67_3770_01A	3.51E+00	3.20E+00	3.58E+00	3.32E-01	2.46E+00	2.82E+00	2.91E+00	1.25E+00
TCGA_67_3774_01A	1.46E+00	1.98E+00	1.66E+00	3.31E-01	2.30E+00	2.21E+00	1.43E+00	8.40E-01
TCGA_67_6217_01A	3.84E+00	4.19E+00	3.26E+00	5.70E-01	2.06E+00	2.56E+00	2.75E+00	9.43E-01
TCGA_69_7973_01A	4.51E+00	4.13E+00	4.01E+00	5.38E-01	2.27E+00	2.30E+00	1.12E+00	1.21E+00
TCGA_69_7974_01A	7.78E+00	7.14E+00	6.67E+00	1.24E+00	3.73E+00	3.91E+00	2.81E+00	1.47E+00
TCGA_69_7979_01A	2.52E+01	2.22E+01	2.14E+01	2.32E+00	7.57E+00	1.01E+01	3.56E+00	2.70E+00
TCGA_69_7980_01A	9.54E+00	9.29E+00	8.56E+00	2.12E+00	7.03E+00	6.89E+00	4.35E+00	1.61E+00
TCGA_73_4662_01A	3.64E+00	3.77E+00	3.73E+00	7.83E-01	2.16E+00	2.98E+00	2.27E+00	9.33E-01
TCGA_73_4666_01A	4.59E+00	4.53E+00	4.47E+00	9.41E-01	4.31E+00	3.04E+00	2.96E+00	9.77E-01
TCGA_73_4670_01A	4.60E+00	5.34E+00	4.29E+00	7.78E-01	3.64E+00	4.97E+00	3.77E+00	1.52E+00
TCGA_73_7498_01A	2.20E+00	2.72E+00	2.20E+00	2.87E-01	1.42E+00	1.62E+00	1.85E+00	9.47E-01
TCGA_78_7145_01A	3.98E+00	3.30E+00	4.36E+00	6.92E-01	2.69E+00	2.71E+00	1.95E+00	9.28E-01
TCGA_78_7146_01A	4.84E+00	5.19E+00	3.54E+00	1.41E+00	3.11E+00	3.68E+00	2.16E+00	1.39E+00
TCGA_78_7147_01A	3.61E+00	4.86E+00	4.56E+00	1.48E+00	4.09E+00	3.04E+00	3.36E+00	1.30E+00
TCGA_78_7153_01A	6.89E-01	1.01E+00	1.10E+00	8.88E-01	1.49E+00	2.06E+00	2.02E+00	1.24E+00
TCGA_78_7158_01A	3.68E+00	3.94E+00	3.35E+00	1.08E+00	2.11E+00	4.05E+00	2.42E+00	1.06E+00
TCGA_78_7159_01A	4.55E+00	4.09E+00	3.83E+00	6.22E-01	3.21E+00	2.89E+00	2.12E+00	1.12E+00
TCGA_78_7161_01A	2.96E+00	3.83E+00	3.08E+00	5.50E-01	2.78E+00	2.33E+00	2.14E+00	8.30E-01
TCGA_78_7220_01A	9.68E+00	1.09E+01	9.45E+00	1.78E+00	6.96E+00	7.28E+00	5.51E+00	7.95E-01
TCGA_83_5908_01A	3.24E+00	3.04E+00	3.94E+00	1.07E+00	2.37E+00	2.69E+00	1.23E+00	7.06E-01
TCGA_86_6851_01A	1.00E+01	1.07E+01	1.02E+01	2.03E+00	6.10E+00	8.10E+00	5.06E+00	4.08E-01
TCGA_86_7954_01A	2.21E+00	2.70E+00	2.63E+00	1.22E+00	3.20E+00	3.24E+00	2.39E+00	1.51E+00
TCGA_86_8056_01A	2.30E+00	2.90E+00	2.97E+00	1.42E+00	1.01E+00	2.24E+00	2.38E+00	1.27E+00
TCGA_86_8074_01A	2.93E-01	5.48E-01	1.23E+00	4.07E-01	1.08E+00	1.50E+00	2.19E+00	1.02E+00
TCGA_91_6830_01A	8.20E-01	1.21E+00	1.32E+00	1.39E+00	1.45E+00	1.14E+00	1.33E+00	4.00E-01
TCGA_91_6836_01A	5.99E+00	6.56E+00	5.59E+00	9.81E-01	4.37E+00	4.30E+00	2.97E+00	1.27E+00
TCGA_91_6840_01A	4.59E-01	5.60E-01	5.42E-01	1.27E+00	7.17E-01	1.28E+00	8.74E-01	1.04E+00
TCGA_91_6847_01A	3.72E-01	4.43E-01	1.31E+00	6.60E-01	1.23E+00	1.17E+00	1.58E+00	1.22E+00
TCGA_95_7039_01A	1.50E+01	1.49E+01	1.20E+01	1.75E+00	9.13E+00	8.48E+00	5.56E+00	1.66E+00
TCGA_95_7043_01A	1.29E+01	1.36E+01	1.24E+01	1.71E+00	6.77E+00	7.70E+00	4.48E+00	1.70E+00
TCGA_95_7948_01A	0.00E+00	4.00E-02	0.00E+00	5.59E-01	0.00E+00	2.51E-01	2.09E-01	5.16E-01
TCGA_95_A4VK_01A	5.04E+00	4.88E+00	4.42E+00	4.02E-01	2.52E+00	2.89E+00	2.77E+00	1.33E+00
TCGA_95_A4VN_01A	6.67E+00	6.05E+00	7.25E+00	1.12E+00	5.18E+00	5.32E+00	2.51E+00	1.17E+00
TCGA_95_A4VP_01A	1.98E+00	2.87E+00	2.03E+00	3.08E-01	2.59E+00	2.30E+00	1.35E+00	7.33E-01
TCGA_97_7547_01A	2.84E+00	3.07E+00	3.31E+00	1.03E+00	2.85E+00	1.99E+00	1.64E+00	9.79E-01
TCGA_97_7553_01A	5.56E-01	7.14E-01	5.62E-01	2.52E-01	6.29E-01	8.35E-01	7.12E-01	8.11E-01
TCGA_97_7941_01A	1.82E+00	1.99E+00	1.39E+00	5.14E-01	8.18E-01	1.10E+00	1.08E+00	6.13E-01
TCGA_97_8175_01A	4.18E-01	6.44E-01	4.60E-01	3.17E-01	7.43E-01	9.79E-01	7.08E-01	5.09E-01
TCGA_97_A4M0_01A	5.47E+00	6.40E+00	4.98E+00	1.37E+00	4.62E+00	3.73E+00	2.62E+00	6.27E-01
TCGA_97_A4M1_01A	3.74E-01	3.56E-01	6.43E-01	4.98E-01	4.38E-01	5.84E-01	6.95E-01	6.76E-01
TCGA_97_A4M3_01A	3.91E+00	3.44E+00	2.85E+00	1.02E+00	2.30E+00	2.02E+00	1.56E+00	8.84E-01
TCGA_99_7458_01A	6.75E+00	6.46E+00	5.94E+00	9.39E-01	4.36E+00	4.67E+00	3.27E+00	8.94E-01
TCGA_J2_8194_01A	1.49E+00	2.33E+00	2.05E+00	5.64E-01	2.22E+00	2.52E+00	1.42E+00	1.05E+00
TCGA_J2_A4AD_01A	2.16E+00	2.79E+00	2.74E+00	1.97E+00	3.71E+00	3.52E+00	3.22E+00	1.04E+00
TCGA_J2_A4AG_01A	1.66E+00	1.63E+00	2.02E+00	4.79E-01	6.51E-01	1.58E+00	1.49E+00	8.46E-01
TCGA_L4_A4E5_01A	5.74E+00	5.30E+00	4.73E+00	6.74E-01	3.83E+00	3.79E+00	2.62E+00	1.10E+00
TCGA_L9_A443_01A	4.23E+00	4.05E+00	4.19E+00	6.79E-01	2.85E+00	3.84E+00	2.82E+00	7.62E-01
TCGA_L9_A444_01A	9.81E+00	8.64E+00	9.03E+00	1.01E+00	4.87E+00	5.38E+00	3.12E+00	1.50E+00
TCGA_MP_A4T4_01A	6.31E+00	7.20E+00	6.58E+00	1.05E+00	4.66E+00	3.89E+00	2.95E+00	1.27E+00
TCGA_MP_A4T9_01A	3.44E-01	1.00E+00	7.30E-01	4.08E-01	9.77E-01	7.13E-01	1.15E+00	2.16E-01
TCGA_MP_A4TF_01A	5.96E+00	6.70E+00	6.44E+00	9.87E-01	4.28E+00	3.33E+00	3.64E+00	1.09E+00
TCGA_MP_A4TH_01A	1.52E+00	2.07E+00	2.00E+00	1.28E-01	1.79E+00	1.90E+00	1.90E+00	8.52E-01
TCGA_NJ_A4YQ_01A	1.07E+01	1.07E+01	1.09E+01	1.27E+00	7.83E+00	7.84E+00	4.79E+00	1.69E+00
TCGA_NJ_A55O_01A	3.72E+00	3.63E+00	2.31E+00	5.55E-01	1.63E+00	1.94E+00	1.05E+00	6.32E-01
TCGA_O1_A52J_01A	3.04E+00	3.33E+00	2.78E+00	5.75E-01	1.65E+00	1.94E+00	1.59E+00	9.29E-01
