Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,YES,1.42e-06,37.33%,48.2%,165.24%,44.27%,98.53,0.3636,2.0068,0.167,0.725,0.733,0.052
2*,0.99,0.99,YES,8.73e-02,30.56%,43.05%,161.57%,39.22%,97.9,0.3037,1.9748,0.118,0.708,0.811,0.085
3,0.97,0.94,YES,5.34e-01,25.02%,42.11%,130.5%,37.92%,84.03,0.2703,1.2868,0.097,0.457,0.844,0.384
4,0.8,0.3,YES,Most Stab Sigs,23.35%,40.95%,131.98%,36.06%,83.51,0.2635,1.2976,0.092,0.449,0.85,0.397
5,0.54,-0.21,NO,N/A,22.85%,40.65%,132.91%,36.15%,83.24,0.2608,1.3093,0.09,0.444,0.854,0.409
6,0.41,-0.27,NO,N/A,22.09%,40.4%,131.76%,34.97%,82.67,0.257,1.2912,0.087,0.435,0.859,0.425
7,0.33,-0.26,NO,N/A,21.65%,39.54%,130.45%,34.21%,81.57,0.2539,1.2767,0.085,0.418,0.863,0.454
8,0.26,-0.22,NO,N/A,21.33%,38.83%,132.28%,33.94%,80.76,0.2509,1.2766,0.083,0.405,0.867,0.485
9,0.22,-0.21,NO,N/A,20.98%,38.4%,131.29%,33.44%,81.81,0.2486,1.2822,0.081,0.421,0.87,0.455
10,0.19,-0.17,NO,N/A,20.55%,38.15%,129.02%,33.05%,79.08,0.2458,1.2758,0.079,0.381,0.873,0.522
