Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_38_4625_01A	672	0.944	261.933	38.978%	39.395	33.264%	0.14393	0.916
TCGA_38_4626_01A	269	0.889	143.179	53.226%	21.607	46.14%	0.28556	0.827
TCGA_38_4627_01A	28	0.63	35.344	126.229%	5.76	78.384%	1.3319	0.543
TCGA_38_4631_01A	849	0.95	285.681	33.649%	42.646	31.917%	0.11082	0.916
TCGA_38_7271_01A	64	0.861	47.014	73.459%	7.326	51.292%	0.58549	0.821
TCGA_44_2655_01A	182	0.902	94.041	51.671%	14.462	43.213%	0.29689	0.855
TCGA_44_2657_01A	465	0.948	175.585	37.76%	24.25	31.927%	0.18059	0.913
TCGA_44_2659_01A	463	0.948	177.137	38.259%	25.148	32.117%	0.17565	0.917
TCGA_44_3396_01A	219	0.891	127.593	58.262%	22.154	51.521%	0.41532	0.861
TCGA_44_3917_01A	254	0.86	149.56	58.882%	20.889	50.994%	0.32982	0.753
TCGA_44_3918_01A	1087	0.944	398.149	36.628%	61.664	33.0%	0.14653	0.912
TCGA_44_4112_01A	508	0.941	196.541	38.689%	30.181	37.218%	0.16282	0.91
TCGA_44_5644_01A	1044	0.948	376.639	36.077%	51.21	32.066%	0.11192	0.905
TCGA_44_6145_01A	346	0.897	177.093	51.183%	28.049	44.228%	0.2409	0.847
TCGA_44_6147_01A	130	0.84	83.281	64.062%	12.496	54.799%	0.43226	0.749
TCGA_44_6774_01A	326	0.914	135.496	41.563%	22.479	40.73%	0.18573	0.862
TCGA_44_6775_01A	72	0.628	66.932	92.961%	9.428	79.681%	0.71905	0.295
TCGA_44_6776_01A	215	0.864	128.381	59.712%	18.545	50.306%	0.2947	0.78
TCGA_44_6779_01A	107	0.795	84.453	78.928%	11.597	61.037%	0.61526	0.675
TCGA_44_7661_01A	289	0.873	158.252	54.758%	25.031	56.933%	0.29462	0.804
TCGA_44_7667_01A	539	0.898	250.013	46.385%	35.868	45.308%	0.18383	0.803
TCGA_44_7670_01A	1231	0.964	400.637	32.546%	57.492	28.778%	0.13355	0.945
TCGA_44_7672_01A	188	0.865	106.787	56.802%	15.15	50.783%	0.32824	0.76
TCGA_44_8117_01A	867	0.975	220.642	25.449%	31.352	22.098%	0.07546	0.959
TCGA_44_A47G_01A	84	0.745	69.105	82.268%	9.383	68.799%	0.6577	0.554
TCGA_44_A4SU_01A	171	0.86	94.846	55.465%	13.584	51.088%	0.33864	0.736
TCGA_49_4487_01A	388	0.921	169.299	43.634%	22.974	39.308%	0.20075	0.851
TCGA_49_4488_01A	316	0.958	105.002	33.228%	14.861	28.674%	0.13315	0.932
TCGA_49_4490_01A	54	0.819	45.126	83.567%	6.664	57.568%	0.61379	0.759
TCGA_49_4505_01A	245	0.88	125.097	51.06%	18.638	47.509%	0.25751	0.788
TCGA_49_4506_01A	121	0.782	87.594	72.392%	12.278	62.413%	0.4797	0.601
TCGA_49_4507_01A	230	0.864	133.999	58.26%	20.266	56.958%	0.35396	0.788
TCGA_49_6744_01A	240	0.894	122.887	51.203%	17.777	45.183%	0.25924	0.821
TCGA_49_6761_01A	205	0.91	128.55	62.707%	19.552	49.55%	0.57602	0.888
TCGA_49_6767_01A	536	0.922	228.383	42.609%	32.056	39.151%	0.18391	0.856
TCGA_50_5051_01A	120	0.823	83.48	69.567%	11.353	57.341%	0.49809	0.696
TCGA_50_5941_01A	420	0.931	170.428	40.578%	23.074	37.74%	0.16905	0.869
TCGA_50_5942_01A	65	0.767	50.523	77.728%	6.547	64.51%	0.55678	0.54
TCGA_50_6590_01A	981	0.956	334.259	34.073%	52.54	34.534%	0.12522	0.936
