Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J
TCGA_38_4628_01A	0.00E+00	4.90E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.56E-02	0.00E+00	1.00E-02
TCGA_49_AAQV_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-02	0.00E+00	0.00E+00	0.00E+00	1.00E-02	1.00E-02
TCGA_50_6591_01A	2.00E-02	0.00E+00	8.63E-02	2.81E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.35E-02	1.00E-02
TCGA_62_8394_01A	0.00E+00	4.88E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.29E-02	0.00E+00	0.00E+00
TCGA_62_8397_01A	2.39E-02	0.00E+00	2.19E-02	0.00E+00	0.00E+00	0.00E+00	3.49E-02	0.00E+00	0.00E+00	1.00E-02
TCGA_86_7953_01A	0.00E+00	4.92E-02	0.00E+00	1.00E-02	0.00E+00	0.00E+00	0.00E+00	4.41E-02	0.00E+00	0.00E+00
TCGA_86_8278_01A	0.00E+00	4.73E-02	0.00E+00	1.00E-02	0.00E+00	0.00E+00	0.00E+00	4.35E-02	0.00E+00	1.00E-02
TCGA_86_8280_01A	0.00E+00	0.00E+00	0.00E+00	3.02E-02	1.71E-02	2.39E-02	0.00E+00	0.00E+00	1.00E-02	0.00E+00
TCGA_97_8552_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.71E-02	2.19E-02	0.00E+00	0.00E+00	0.00E+00	1.41E-02
TCGA_99_8033_01A	1.31E-01	4.29E-02	4.77E-02	1.41E-02	0.00E+00	4.11E-02	1.14E-01	5.37E-02	1.10E-01	8.57E-02
