MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J
AC>CA	2.96E-04	5.06E-06	1.36E-04	6.16E-06	2.52E-06	2.21E-06	5.33E-06	1.66E-05	2.23E-04	2.89E-04
AC>CG	2.96E-04	5.06E-06	1.36E-04	6.15E-06	4.51E-06	2.74E-06	5.36E-06	1.42E-05	2.23E-04	2.99E-04
AC>CT	2.96E-04	5.05E-06	1.35E-04	6.09E-06	1.71E-06	1.92E-06	5.33E-06	1.17E-05	2.23E-04	2.93E-04
AC>GA	2.96E-04	5.06E-06	1.35E-04	6.02E-06	2.57E-06	2.31E-06	5.33E-06	5.05E-05	2.23E-04	2.89E-04
AC>GG	2.96E-04	5.06E-06	1.34E-04	6.26E-06	1.32E-06	2.23E-06	5.34E-06	2.26E-05	2.23E-04	2.89E-04
AC>GT	2.96E-04	5.09E-06	1.34E-04	6.15E-06	1.36E-06	2.01E-06	5.34E-06	2.17E-05	2.24E-04	2.88E-04
AC>TA	2.96E-04	5.06E-06	1.34E-04	6.20E-06	3.25E-06	2.71E-06	5.35E-06	1.08E-05	2.23E-04	2.92E-04
AC>TG	2.97E-04	2.42E-06	9.90E-03	2.86E-02	8.51E-03	1.52E-02	5.67E-06	9.85E-03	1.36E-02	9.89E-05
AC>TT	2.96E-04	5.08E-06	1.34E-04	6.08E-06	5.13E-06	1.98E-06	5.33E-06	2.33E-05	2.24E-04	2.89E-04
AT>CA	2.96E-04	5.07E-06	1.36E-04	6.14E-06	4.67E-06	1.77E-06	5.34E-06	1.69E-05	2.23E-04	2.91E-04
AT>CC	2.96E-04	5.10E-06	1.35E-04	6.05E-06	4.34E-06	1.82E-06	5.34E-06	1.40E-05	2.23E-04	2.88E-04
AT>CG	2.96E-04	5.05E-06	1.34E-04	6.08E-06	3.24E-06	2.64E-06	5.33E-06	2.72E-05	2.23E-04	2.89E-04
AT>GA	2.96E-04	5.07E-06	1.36E-04	6.16E-06	3.26E-06	2.74E-06	5.36E-06	1.55E-05	2.24E-04	2.93E-04
AT>GC	2.96E-04	5.08E-06	1.35E-04	6.07E-06	8.15E-06	2.67E-06	5.33E-06	1.67E-05	2.24E-04	2.92E-04
AT>TA	2.96E-04	5.07E-06	1.35E-04	6.21E-06	6.51E-06	1.87E-06	5.33E-06	1.85E-05	2.24E-04	2.91E-04
CC>AA	3.55E-02	4.06E-06	2.80E-02	1.09E-02	3.75E-06	7.21E-03	3.86E-04	3.23E-03	2.69E-02	3.01E-02
CC>AG	2.96E-04	5.05E-06	1.34E-04	6.15E-06	3.74E-06	2.25E-06	5.35E-06	2.27E-05	2.23E-04	2.97E-04
CC>AT	2.96E-04	5.06E-06	1.46E-04	6.04E-06	5.91E-06	2.02E-06	5.34E-06	2.88E-05	2.24E-04	2.90E-04
CC>GA	2.96E-04	5.06E-06	1.35E-04	6.10E-06	1.11E-06	1.66E-06	5.33E-06	1.25E-05	2.23E-04	2.89E-04
CC>GG	2.96E-04	5.06E-06	1.36E-04	6.12E-06	4.51E-06	3.94E-06	5.34E-06	1.93E-05	2.23E-04	2.88E-04
CC>GT	2.58E-02	3.44E-06	3.16E-02	1.00E-02	4.07E-06	9.97E-03	4.33E-06	3.55E-03	3.96E-02	2.18E-02
CC>TA	2.96E-04	5.06E-06	1.34E-04	6.10E-06	4.18E-06	2.36E-06	5.32E-06	2.02E-05	2.23E-04	2.90E-04
CC>TG	2.96E-04	5.06E-06	1.34E-04	6.21E-06	2.78E-06	3.14E-06	5.33E-06	1.08E-05	2.23E-04	2.88E-04
CC>TT	2.96E-04	5.07E-06	1.36E-04	6.08E-06	7.35E-07	1.92E-06	5.33E-06	2.92E-05	2.23E-04	2.89E-04
CG>AT	2.96E-04	5.09E-06	1.34E-04	6.08E-06	3.27E-06	1.68E-06	5.32E-06	1.08E-04	2.24E-04	2.90E-04
CG>GC	2.96E-04	5.07E-06	1.36E-04	6.03E-06	4.77E-06	1.96E-06	5.33E-06	2.15E-05	2.24E-04	2.89E-04
CG>GT	2.96E-04	5.06E-06	1.33E-04	6.14E-06	1.15E-06	2.68E-06	5.34E-06	1.09E-05	2.23E-04	2.89E-04
