MutationType	DBS78A
AC>CA	6.632702585193328e-05
AC>CG	6.632702577917371e-05
AC>CT	6.632702592469286e-05
AC>GA	6.632702585193328e-05
AC>GG	6.632702585193328e-05
AC>GT	6.632702577917371e-05
AC>TA	6.632702585193328e-05
AC>TG	0.06638672195374966
AC>TT	6.632702585193328e-05
AT>CA	6.632702577917371e-05
AT>CC	6.632702585193328e-05
AT>CG	6.632702585193328e-05
AT>GA	6.632702585193328e-05
AT>GC	6.632702577917371e-05
AT>TA	6.632702585193328e-05
CC>AA	0.2607180471718311
CC>AG	6.632702585193328e-05
CC>AT	6.632702592469286e-05
CC>GA	6.632702592469286e-05
CC>GG	6.632702585193328e-05
CC>GT	0.13735353598000075
CC>TA	6.632702577917371e-05
CC>TG	6.632702577917371e-05
CC>TT	6.632702585193328e-05
CG>AT	6.632702585193328e-05
CG>GC	6.632702585193328e-05
CG>GT	6.632702585193328e-05
CG>TA	6.632702592469286e-05
CG>TC	6.632702599745243e-05
CG>TT	6.632702592469286e-05
CT>AA	6.632702592469286e-05
CT>AC	6.632702570641413e-05
CT>AG	6.632702585193328e-05
CT>GA	6.632702599745243e-05
CT>GC	6.632702599745243e-05
CT>GG	0.05909271058102604
CT>TA	0.06638672158122062
CT>TC	0.06638672269880772
CT>TG	6.632702592469286e-05
GC>AA	0.33896631747484207
GC>AG	6.632702585193328e-05
GC>AT	6.632702585193328e-05
GC>CA	6.632702577917371e-05
GC>CG	6.632702599745243e-05
GC>TA	6.632702577917371e-05
TA>AT	6.632702585193328e-05
TA>CG	6.632702592469286e-05
TA>CT	6.632702585193328e-05
TA>GC	6.632702585193328e-05
TA>GG	6.632702585193328e-05
TA>GT	6.632702592469286e-05
TC>AA	6.632702585193328e-05
TC>AG	6.632702585193328e-05
TC>AT	6.632702599745243e-05
TC>CA	6.632702599745243e-05
TC>CG	6.632702592469286e-05
TC>CT	6.632702592469286e-05
TC>GA	6.632702592469286e-05
TC>GG	6.632702577917371e-05
TC>GT	6.632702599745243e-05
TG>AA	6.632702585193328e-05
TG>AC	6.632702607021202e-05
TG>AT	6.632702599745243e-05
TG>CA	6.632702577917371e-05
TG>CC	6.632702592469286e-05
TG>CT	6.632702592469286e-05
TG>GA	6.632702592469286e-05
TG>GC	6.632702585193328e-05
TG>GT	6.632702585193328e-05
TT>AA	6.632702599745243e-05
TT>AC	6.632702592469286e-05
TT>AG	6.632702577917371e-05
TT>CA	6.632702585193328e-05
TT>CC	6.632702585193328e-05
TT>CG	6.632702585193328e-05
TT>GA	6.632702592469286e-05
TT>GC	6.63270251970971e-05
TT>GG	6.632702512433752e-05
