Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_38_4628_01A	1	0.993	0.445	44.5%	0.241	24.1%	0.25162	0.993
TCGA_49_AAQV_01A	1	0.442	1.607	160.7%	0.897	89.7%	1.6262	0.43
TCGA_50_6591_01A	2	0.574	2.556	127.8%	1.161	82.095%	1.02622	0.559
TCGA_62_8394_01A	1	0.993	0.445	44.5%	0.241	24.1%	0.25162	0.993
TCGA_62_8397_01A	1	0.924	0.872	87.2%	0.495	49.5%	0.57278	0.925
TCGA_86_7953_01A	1	0.993	0.445	44.5%	0.241	24.1%	0.25162	0.993
TCGA_86_8278_01A	1	0.993	0.445	44.5%	0.241	24.1%	0.25162	0.993
TCGA_86_8280_01A	1	0.514	1.543	154.3%	0.861	86.1%	1.47606	0.505
TCGA_97_8552_01A	1	0.454	1.597	159.7%	0.891	89.1%	1.60083	0.442
TCGA_99_8033_01A	5	0.984	1.804	36.08%	0.843	25.417%	0.20228	0.984
