Samples	DBS78A	DBS78B	DBS78C	DBS78D
TCGA_38_4628_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_49_AAQV_01A	2.56E-02	3.68E-02	4.94E-02	3.86E-02
TCGA_50_6591_01A	3.55E-02	5.86E-02	1.00E-02	6.83E-02
TCGA_62_8394_01A	1.00E-02	0.00E+00	0.00E+00	1.00E-02
TCGA_62_8397_01A	1.71E-02	1.71E-02	0.00E+00	0.00E+00
TCGA_86_7953_01A	1.00E-02	0.00E+00	0.00E+00	1.00E-02
TCGA_86_8278_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_86_8280_01A	3.68E-02	3.02E-02	4.98E-02	4.65E-02
TCGA_97_8552_01A	3.14E-02	3.38E-02	5.03E-02	4.41E-02
TCGA_99_8033_01A	1.09E-01	1.48E-01	4.98E-02	9.18E-02
