Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
TCGA_38_4628_01A	1.71E-02	0.00E+00	0.00E+00	1.41E-02	1.00E-02	0.00E+00
TCGA_49_AAQV_01A	1.71E-02	0.00E+00	2.19E-02	0.00E+00	2.73E-02	3.68E-02
TCGA_50_6591_01A	0.00E+00	0.00E+00	4.58E-02	2.39E-02	2.81E-02	2.97E-02
TCGA_62_8394_01A	1.97E-02	0.00E+00	0.00E+00	1.41E-02	1.00E-02	1.00E-02
TCGA_62_8397_01A	0.00E+00	1.97E-02	0.00E+00	1.00E-02	1.00E-02	1.41E-02
TCGA_86_7953_01A	1.97E-02	0.00E+00	0.00E+00	1.00E-02	1.41E-02	1.00E-02
TCGA_86_8278_01A	1.71E-02	0.00E+00	0.00E+00	1.41E-02	1.00E-02	1.00E-02
TCGA_86_8280_01A	1.00E-02	1.00E-02	1.97E-02	0.00E+00	2.39E-02	0.00E+00
TCGA_97_8552_01A	1.41E-02	0.00E+00	2.19E-02	4.88E-02	3.78E-02	3.49E-02
TCGA_99_8033_01A	8.90E-02	1.60E-01	1.05E-01	1.58E-01	7.88E-02	1.22E-01
