MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
AC>CA	0.0006021866432875957	8.717445670907154e-05	8.233443215672086e-05	4.743488209794314e-05	0.0002247541128743484	9.512726014359208e-05	0.00023108181434054132	0.0005073513249864159
AC>CG	0.0006020339438989869	8.74205458258892e-05	8.243065869011673e-05	4.7630795318232e-05	0.00022509638411270027	9.59690180902923e-05	0.00023108210628379312	0.0004913214438158908
AC>CT	0.0006029698727999125	8.730197509938975e-05	8.236330646799108e-05	4.765704276224964e-05	0.00022839102827919755	9.568252067057332e-05	0.00023105232734678792	0.0004969452165163865
AC>GA	0.0006016958205132803	8.731285647442633e-05	8.251528493155153e-05	4.844565392510143e-05	0.0002246432907944897	9.558752821184075e-05	0.00023108305270397978	0.0004955600993304016
AC>GG	0.0006014864966944833	8.734796566441717e-05	8.252586194783703e-05	4.775692860460777e-05	0.00022493293334827725	9.565382083119273e-05	0.0002310832746888991	0.0004953256011446229
AC>GT	0.0006019499635693479	8.73327427277637e-05	8.242767356166077e-05	4.7210396735167685e-05	0.00022988094611924666	9.587298151625845e-05	0.00023108004369078118	0.0004954652040069219
AC>TA	0.0006030780712670387	8.743639152360316e-05	8.22839096415005e-05	4.817751562118428e-05	0.00022462452451132306	9.577622505889754e-05	0.00023108268705072986	0.0004958208383194308
AC>TG	0.009797393968704732	0.0020039959828503017	1.5089672443932946e-05	1.7675024989610126e-05	4.4275090112548796e-05	0.9067547067999842	4.516949130805997e-05	0.019691803299028525
AC>TT	0.0006023748503612542	8.738246473312117e-05	8.233806649596844e-05	4.7610830101945427e-05	0.0002274639715147999	9.547167542886863e-05	0.0002310828352437966	0.0004968703689838383
AT>CA	0.0006017850142052872	8.741986129807699e-05	8.241215522926822e-05	4.7004291214019085e-05	0.00022676385198428948	9.525218329855062e-05	0.00023108064738607936	0.0004992610724645683
AT>CC	0.0006019463276123759	8.735716611493416e-05	8.244650773559889e-05	4.698673282310023e-05	0.00022829496884757452	9.519209535666234e-05	0.00023108059524474812	0.0005017823184185732
