NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.267	19.912	0.189	14.145	0.149	0.933	20000.0
2	0.2	19.847	0.141	14.14	0.137	0.941	40000.0
3	0.2	19.847	0.141	14.14	0.137	0.941	20000.0
4	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
5	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
6	0.003	0.13	0.001	0.064	0.0	1.0	30000.0
7	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
8	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
9	0.067	3.993	0.047	2.895	0.019	0.998	30000.0
10	0.2	19.847	0.141	14.14	0.137	0.941	20000.0
11	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
12	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
13	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
14	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
15	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
16	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
17	0.067	3.993	0.047	2.895	0.019	0.998	20000.0
18	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
19	0.267	19.913	0.163	13.93	0.149	0.938	40000.0
20	0.2	19.847	0.141	14.14	0.137	0.941	30000.0
21	0.0	0.0	0.0	0.0	0.0	1.0	80000.0
22	0.32	31.755	0.226	22.63	0.248	0.911	30000.0
23	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
24	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
25	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
26	0.267	19.912	0.189	14.145	0.149	0.933	40000.0
27	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
28	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
29	0.2	19.847	0.141	14.14	0.137	0.941	20000.0
30	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
31	0.2	19.847	0.141	14.14	0.137	0.941	20000.0
32	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
33	0.001	0.083	0.001	0.052	0.0	1.0	20000.0
34	0.2	19.847	0.141	14.14	0.137	0.941	30000.0
35	0.001	0.083	0.001	0.052	0.0	1.0	20000.0
36	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
37	0.267	19.913	0.163	13.93	0.149	0.938	40000.0
38	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
39	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
40	0.0	0.0	0.0	0.0	0.0	1.0	60000.0
41	0.267	19.868	0.189	14.145	0.149	0.933	260000.0
42	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
43	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
44	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
45	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
46	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
47	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
48	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
49	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
50	0.2	19.847	0.141	14.14	0.137	0.941	30000.0
51	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
52	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
53	0.2	19.847	0.141	14.14	0.137	0.941	40000.0
54	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
55	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
56	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
57	0.0	0.0	0.0	0.0	0.0	1.0	50000.0
58	0.2	19.847	0.141	14.14	0.137	0.941	30000.0
59	0.267	19.912	0.189	14.145	0.149	0.933	40000.0
60	0.0	0.0	0.0	0.0	0.0	1.0	50000.0
61	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
62	0.0	0.0	0.0	0.0	0.0	1.0	70000.0
63	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
64	0.2	19.847	0.141	14.14	0.137	0.941	30000.0
65	0.2	19.847	0.141	14.14	0.137	0.941	20000.0
66	0.001	0.083	0.001	0.052	0.0	1.0	40000.0
67	0.0	0.0	0.0	0.0	0.0	1.0	90000.0
68	0.0	0.0	0.0	0.0	0.0	1.0	60000.0
69	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
