MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I
AC>CA	4.96E-06	4.39E-06	3.08E-04	1.92E-04	1.36E-04	1.33E-04	1.41E-06	3.78E-05	2.47E-04
AC>CG	4.96E-06	4.38E-06	3.09E-04	1.92E-04	1.36E-04	1.33E-04	1.30E-06	8.38E-05	2.45E-04
AC>CT	4.96E-06	4.38E-06	3.09E-04	2.03E-04	1.36E-04	1.33E-04	1.16E-06	1.79E-05	2.46E-04
AC>GA	4.96E-06	4.38E-06	3.08E-04	1.91E-04	1.36E-04	1.33E-04	1.20E-06	4.10E-05	2.47E-04
AC>GG	4.96E-06	4.38E-06	3.08E-04	1.91E-04	1.36E-04	1.33E-04	1.14E-06	8.77E-05	2.49E-04
AC>GT	4.96E-06	4.38E-06	3.09E-04	1.90E-04	1.36E-04	1.33E-04	1.15E-06	9.14E-05	2.50E-04
AC>TA	4.96E-06	4.38E-06	3.09E-04	1.92E-04	1.36E-04	1.33E-04	1.37E-06	2.10E-05	2.44E-04
AC>TG	9.18E-06	2.50E-06	1.39E-02	8.97E-03	2.85E-02	1.78E-04	1.27E-02	9.93E-03	1.92E-02
AC>TT	4.96E-06	4.37E-06	3.09E-04	1.90E-04	1.36E-04	1.33E-04	1.22E-06	5.10E-05	2.43E-04
AT>CA	4.96E-06	4.38E-06	3.09E-04	1.91E-04	1.36E-04	1.33E-04	1.17E-06	6.28E-05	2.48E-04
AT>CC	4.96E-06	4.38E-06	3.09E-04	1.96E-04	1.36E-04	1.33E-04	1.25E-06	7.62E-05	2.44E-04
AT>CG	4.96E-06	4.39E-06	3.09E-04	1.90E-04	1.36E-04	1.33E-04	1.24E-06	8.37E-05	2.47E-04
AT>GA	4.96E-06	4.40E-06	3.09E-04	1.90E-04	1.36E-04	1.33E-04	1.20E-06	6.83E-05	2.49E-04
AT>GC	4.96E-06	4.40E-06	3.09E-04	1.94E-04	1.36E-04	1.33E-04	1.15E-06	3.41E-05	2.51E-04
AT>TA	4.96E-06	4.38E-06	3.08E-04	1.92E-04	1.36E-04	1.33E-04	1.20E-06	2.51E-05	2.46E-04
CC>AA	3.08E-06	3.15E-04	1.36E-02	2.28E-02	9.52E-03	1.57E-02	3.91E-06	1.22E-02	3.79E-02
CC>AG	4.96E-06	4.39E-06	3.09E-04	1.90E-04	1.36E-04	1.33E-04	1.37E-06	4.87E-05	2.44E-04
CC>AT	4.96E-06	4.38E-06	3.09E-04	1.90E-04	1.36E-04	1.33E-04	1.21E-06	8.31E-05	2.45E-04
CC>GA	4.96E-06	4.41E-06	3.09E-04	1.90E-04	1.36E-04	1.33E-04	1.19E-06	6.85E-05	2.50E-04
CC>GG	4.96E-06	4.39E-06	3.09E-04	1.91E-04	1.36E-04	1.33E-04	1.46E-06	1.88E-05	2.47E-04
CC>GT	5.90E-06	4.29E-06	2.96E-02	4.22E-02	2.56E-03	2.60E-03	3.99E-06	1.75E-02	1.80E-02
CC>TA	4.96E-06	4.37E-06	3.09E-04	1.90E-04	1.36E-04	1.33E-04	1.18E-06	1.08E-04	2.45E-04
CC>TG	4.96E-06	4.37E-06	3.09E-04	1.94E-04	1.36E-04	1.34E-04	1.44E-06	1.53E-05	2.47E-04
CC>TT	4.96E-06	4.41E-06	3.08E-04	1.88E-04	1.36E-04	1.33E-04	1.15E-06	9.53E-05	2.48E-04
CG>AT	4.96E-06	4.39E-06	3.09E-04	1.90E-04	1.36E-04	1.33E-04	1.14E-06	1.12E-04	2.47E-04
CG>GC	4.96E-06	4.40E-06	3.09E-04	1.89E-04	1.36E-04	1.33E-04	1.18E-06	7.06E-05	2.46E-04
CG>GT	4.96E-06	4.38E-06	3.09E-04	1.94E-04	1.36E-04	1.33E-04	1.15E-06	1.63E-05	2.46E-04
CG>TA	4.96E-06	4.39E-06	3.09E-04	1.94E-04	1.36E-04	1.33E-04	1.22E-06	5.21E-05	2.46E-04
CG>TC	4.96E-06	4.38E-06	3.08E-04	1.92E-04	1.36E-04	1.33E-04	1.24E-06	9.76E-05	2.46E-04
CG>TT	4.96E-06	4.38E-06	3.09E-04	1.91E-04	1.36E-04	1.33E-04	1.38E-06	2.04E-05	2.45E-04
CT>AA	4.96E-06	4.39E-06	3.09E-04	1.90E-04	1.36E-04	1.33E-04	1.27E-06	2.69E-05	2.49E-04
CT>AC	4.96E-06	4.41E-06	3.09E-04	1.88E-04	1.36E-04	1.33E-04	1.47E-06	5.72E-05	2.47E-04
CT>AG	4.96E-06	4.39E-06	3.09E-04	1.91E-04	1.36E-04	1.33E-04	1.14E-06	6.09E-05	2.44E-04
CT>GA	4.96E-06	4.39E-06	3.09E-04	1.89E-04	1.36E-04	1.33E-04	1.16E-06	1.14E-05	2.46E-04
CT>GC	4.96E-06	4.41E-06	3.09E-04	1.89E-04	1.36E-04	1.33E-04	1.21E-06	7.06E-05	2.46E-04
CT>GG	4.99E-06	4.36E-06	3.62E-02	7.86E-03	9.76E-03	4.96E-03	3.94E-06	9.97E-03	4.68E-03
CT>TA	5.80E-06	2.62E-06	2.13E-04	1.85E-02	1.98E-02	3.02E-02	1.09E-02	9.38E-06	5.39E-05
CT>TC	3.25E-06	3.21E-06	1.97E-04	9.79E-03	6.54E-06	1.36E-05	1.62E-02	1.39E-02	3.16E-04
CT>TG	4.96E-06	4.40E-06	3.09E-04	1.89E-04	1.36E-04	1.33E-04	1.45E-06	7.07E-05	2.47E-04
GC>AA	3.53E-04	4.48E-06	2.88E-02	3.51E-02	1.06E-02	2.36E-02	3.92E-06	2.87E-02	3.08E-02
GC>AG	4.96E-06	4.38E-06	3.09E-04	1.90E-04	1.36E-04	1.33E-04	1.15E-06	1.42E-05	2.44E-04
GC>AT	4.96E-06	4.38E-06	3.08E-04	1.95E-04	1.36E-04	1.33E-04	1.20E-06	1.13E-05	2.49E-04
GC>CA	4.96E-06	4.38E-06	3.09E-04	1.89E-04	1.36E-04	1.33E-04	1.28E-06	9.29E-05	2.46E-04
GC>CG	4.96E-06	4.37E-06	3.09E-04	1.91E-04	1.36E-04	1.33E-04	1.23E-06	4.77E-05	2.46E-04
GC>TA	4.96E-06	4.38E-06	3.08E-04	1.89E-04	1.36E-04	1.33E-04	1.16E-06	1.25E-04	2.46E-04
TA>AT	4.96E-06	4.38E-06	3.09E-04	1.90E-04	1.36E-04	1.33E-04	1.23E-06	5.16E-05	2.47E-04
TA>CG	4.96E-06	4.38E-06	3.09E-04	1.89E-04	1.36E-04	1.33E-04	1.17E-06	1.19E-04	2.44E-04
TA>CT	4.96E-06	4.40E-06	3.08E-04	1.89E-04	1.36E-04	1.33E-04	1.16E-06	4.58E-05	2.48E-04
TA>GC	4.96E-06	4.38E-06	3.08E-04	1.94E-04	1.36E-04	1.33E-04	1.46E-06	2.91E-05	2.44E-04
TA>GG	4.96E-06	4.38E-06	3.09E-04	1.89E-04	1.36E-04	1.33E-04	1.25E-06	8.25E-05	2.46E-04
TA>GT	4.96E-06	4.38E-06	3.09E-04	1.92E-04	1.36E-04	1.33E-04	1.17E-06	6.82E-05	2.44E-04
TC>AA	4.96E-06	4.38E-06	3.09E-04	1.93E-04	1.36E-04	1.33E-04	1.27E-06	1.06E-04	2.48E-04
TC>AG	4.96E-06	4.39E-06	3.09E-04	1.90E-04	1.36E-04	1.33E-04	1.16E-06	5.08E-05	2.48E-04
TC>AT	4.96E-06	4.41E-06	3.08E-04	1.89E-04	1.36E-04	1.33E-04	1.16E-06	9.52E-05	2.45E-04
TC>CA	4.96E-06	4.40E-06	3.09E-04	1.92E-04	1.36E-04	1.33E-04	1.21E-06	7.21E-05	2.52E-04
TC>CG	4.96E-06	4.40E-06	3.09E-04	1.92E-04	1.36E-04	1.33E-04	1.18E-06	3.19E-05	2.46E-04
TC>CT	4.96E-06	4.38E-06	3.08E-04	1.92E-04	1.36E-04	1.33E-04	1.20E-06	4.16E-05	2.46E-04
TC>GA	4.96E-06	4.40E-06	3.08E-04	1.90E-04	1.36E-04	1.33E-04	1.26E-06	5.77E-05	2.51E-04
TC>GG	4.96E-06	4.40E-06	3.08E-04	1.92E-04	1.36E-04	1.33E-04	1.38E-06	1.71E-05	2.47E-04
TC>GT	4.96E-06	4.38E-06	3.08E-04	1.92E-04	1.36E-04	1.33E-04	1.44E-06	2.50E-05	2.47E-04
TG>AA	4.96E-06	4.38E-06	3.09E-04	1.91E-04	1.36E-04	1.33E-04	1.26E-06	5.30E-05	2.48E-04
TG>AC	4.96E-06	4.38E-06	3.09E-04	1.91E-04	1.36E-04	1.33E-04	1.16E-06	9.20E-05	2.44E-04
TG>AT	4.96E-06	4.40E-06	3.09E-04	1.91E-04	1.36E-04	1.33E-04	1.17E-06	6.35E-05	2.45E-04
TG>CA	4.97E-06	4.38E-06	3.09E-04	1.91E-04	1.36E-04	1.33E-04	1.40E-06	2.64E-04	2.47E-04
TG>CC	4.96E-06	4.38E-06	3.09E-04	1.93E-04	1.36E-04	1.33E-04	1.30E-06	4.51E-05	2.46E-04
TG>CT	4.96E-06	4.39E-06	3.09E-04	1.91E-04	1.36E-04	1.33E-04	1.21E-06	1.14E-05	2.46E-04
TG>GA	4.96E-06	4.39E-06	3.08E-04	1.89E-04	1.36E-04	1.33E-04	1.26E-06	3.84E-05	2.46E-04
TG>GC	4.96E-06	4.39E-06	3.09E-04	1.91E-04	1.36E-04	1.33E-04	1.26E-06	4.93E-05	2.49E-04
TG>GT	4.96E-06	4.40E-06	3.09E-04	1.92E-04	1.36E-04	1.33E-04	1.31E-06	2.17E-05	2.47E-04
TT>AA	4.96E-06	4.38E-06	3.08E-04	1.93E-04	1.36E-04	1.33E-04	1.49E-06	4.28E-05	2.46E-04
