Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_38_4628_01A	1	0.725	1.322	132.2%	0.735	73.5%	1.08185	0.724
TCGA_49_AAQV_01A	1	0.142	1.867	186.7%	1.042	104.2%	2.71226	0.119
TCGA_50_6591_01A	2	0.297	3.214	160.7%	1.445	102.177%	1.71378	0.27
TCGA_62_8394_01A	1	0.725	1.322	132.2%	0.735	73.5%	1.08185	0.724
TCGA_62_8397_01A	1	0.558	1.479	147.9%	0.835	83.5%	1.34432	0.55
TCGA_86_7953_01A	1	0.725	1.322	132.2%	0.735	73.5%	1.08185	0.724
TCGA_86_8278_01A	1	0.725	1.322	132.2%	0.735	73.5%	1.08185	0.724
TCGA_86_8280_01A	1	0.142	1.867	186.7%	1.042	104.2%	2.71226	0.119
TCGA_97_8552_01A	1	0.142	1.867	186.7%	1.042	104.2%	2.71226	0.119
TCGA_99_8033_01A	5	0.812	4.019	80.38%	1.969	59.368%	0.46973	0.806
