MutationType	ID83A
1:Del:C:0	2.19E-12
1:Del:C:1	1.40E-03
1:Del:C:2	8.33E-04
1:Del:C:3	5.85E-04
1:Del:C:4	4.14E-04
1:Del:C:5	3.62E-04
1:Del:T:0	2.18E-12
1:Del:T:1	1.16E-03
1:Del:T:2	4.77E-04
1:Del:T:3	6.50E-04
1:Del:T:4	5.04E-04
1:Del:T:5	3.77E-04
1:Ins:C:0	5.77E-04
1:Ins:C:1	8.72E-04
1:Ins:C:2	4.81E-04
1:Ins:C:3	3.34E-04
1:Ins:C:4	3.01E-04
1:Ins:C:5	3.37E-04
1:Ins:T:0	8.95E-04
1:Ins:T:1	1.21E-03
1:Ins:T:2	6.18E-04
1:Ins:T:3	2.19E-12
1:Ins:T:4	3.27E-04
1:Ins:T:5	8.22E-04
2:Del:R:0	6.41E-04
2:Del:R:1	2.19E-12
2:Del:R:2	2.19E-12
2:Del:R:3	2.18E-12
2:Del:R:4	2.19E-12
2:Del:R:5	2.19E-12
3:Del:R:0	4.94E-04
3:Del:R:1	2.19E-12
3:Del:R:2	2.19E-12
3:Del:R:3	2.19E-12
3:Del:R:4	2.19E-12
3:Del:R:5	2.19E-12
4:Del:R:0	2.68E-04
4:Del:R:1	2.18E-12
4:Del:R:2	2.18E-12
4:Del:R:3	2.19E-12
4:Del:R:4	2.19E-12
4:Del:R:5	2.19E-12
5:Del:R:0	1.71E-03
5:Del:R:1	2.19E-12
5:Del:R:2	2.19E-12
5:Del:R:3	2.20E-12
5:Del:R:4	2.19E-12
5:Del:R:5	2.19E-12
2:Ins:R:0	1.36E-03
2:Ins:R:1	2.18E-12
2:Ins:R:2	2.19E-12
2:Ins:R:3	3.32E-04
2:Ins:R:4	2.19E-12
2:Ins:R:5	2.19E-12
3:Ins:R:0	1.00E-03
3:Ins:R:1	3.62E-04
3:Ins:R:2	2.19E-12
3:Ins:R:3	2.19E-12
3:Ins:R:4	2.19E-12
3:Ins:R:5	2.19E-12
4:Ins:R:0	8.13E-04
4:Ins:R:1	2.19E-12
4:Ins:R:2	2.19E-12
4:Ins:R:3	2.18E-12
4:Ins:R:4	2.19E-12
4:Ins:R:5	2.19E-12
5:Ins:R:0	2.33E-03
5:Ins:R:1	7.85E-04
5:Ins:R:2	2.19E-12
5:Ins:R:3	2.19E-12
5:Ins:R:4	2.20E-12
5:Ins:R:5	2.19E-12
2:Del:M:1	7.83E-04
3:Del:M:1	3.84E-04
3:Del:M:2	2.19E-12
4:Del:M:1	4.83E-04
4:Del:M:2	3.29E-04
4:Del:M:3	2.18E-12
5:Del:M:1	1.16E-03
5:Del:M:2	5.65E-04
5:Del:M:3	3.77E-04
5:Del:M:4	2.16E-12
5:Del:M:5	2.16E-12
