Samples	ID83A	ID83B
TCGA_05_4402_01A	1.79E-01	1.79E-01
TCGA_05_5715_01A	2.56E-01	2.56E-01
TCGA_38_4628_01A	2.24E-01	2.24E-01
TCGA_38_6178_01A	1.29E-01	1.29E-01
TCGA_44_2661_01A	1.29E-01	1.29E-01
TCGA_44_2665_01A	7.87E-02	7.87E-02
TCGA_44_3919_01A	1.37E-01	1.37E-01
TCGA_49_4501_01A	2.12E-01	2.13E-01
TCGA_49_4512_01A	1.35E-01	1.35E-01
TCGA_49_AAQV_01A	5.79E-02	5.79E-02
TCGA_50_6591_01A	2.32E-01	2.32E-01
TCGA_55_6986_01A	1.55E-01	1.55E-01
TCGA_55_7816_01A	0.00E+00	0.00E+00
TCGA_55_8087_01A	8.53E-02	8.53E-02
TCGA_55_8619_01A	3.68E-02	3.68E-02
TCGA_62_8394_01A	1.12E-01	1.12E-01
TCGA_62_8397_01A	1.83E-01	1.83E-01
TCGA_62_8402_01A	7.42E-02	7.42E-02
TCGA_62_A46U_01A	1.64E-01	1.64E-01
TCGA_62_A46Y_01A	8.66E-02	8.66E-02
TCGA_67_6215_01A	3.68E-02	3.68E-02
TCGA_67_6216_01A	1.32E-01	1.32E-01
TCGA_71_8520_01A	1.78E-01	1.78E-01
TCGA_78_7540_01A	4.69E-02	4.69E-02
TCGA_86_7953_01A	2.32E-01	2.32E-01
TCGA_86_8075_01A	1.89E-01	1.89E-01
TCGA_86_8278_01A	7.72E-02	7.72E-02
TCGA_86_8280_01A	5.92E-02	5.92E-02
TCGA_86_8668_01A	9.85E-02	9.85E-02
TCGA_86_8671_01A	0.00E+00	0.00E+00
TCGA_86_A4P7_01A	2.28E-01	2.28E-01
TCGA_91_8496_01A	1.89E-01	1.89E-01
TCGA_97_8177_01A	9.57E-02	9.57E-02
TCGA_97_8552_01A	0.00E+00	0.00E+00
TCGA_97_A4M6_01A	1.12E-01	1.12E-01
TCGA_99_8033_01A	2.99E-01	2.99E-01
TCGA_J2_8192_01A	1.57E-01	1.57E-01
