NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	7.731	158.923	3.024	91.808	2.063	0.349	30000.0
2	7.473	152.895	2.986	90.243	1.929	0.398	30000.0
3	7.171	153.476	2.862	91.204	2.085	0.379	40000.0
4	6.714	151.297	2.464	86.553	1.928	0.432	30000.0
5	6.625	149.029	2.506	86.274	1.868	0.433	30000.0
6	6.635	145.617	2.552	86.294	1.849	0.445	20000.0
7	7.156	152.933	2.74	87.82	1.915	0.402	30000.0
8	6.58	146.135	2.518	86.183	1.878	0.431	30000.0
9	7.103	150.646	2.67	88.133	1.914	0.406	30000.0
10	7.146	151.662	2.714	89.099	2.013	0.405	40000.0
11	7.514	150.678	2.912	88.66	1.858	0.417	20000.0
12	6.863	151.624	2.655	88.424	1.934	0.422	20000.0
13	6.699	148.301	2.614	87.346	1.93	0.431	20000.0
14	6.922	153.649	2.679	88.887	1.917	0.404	20000.0
15	6.878	148.403	2.653	87.206	1.893	0.427	20000.0
16	7.38	146.28	2.745	86.408	1.914	0.431	30000.0
17	7.036	147.141	2.674	87.583	1.836	0.434	20000.0
18	7.285	156.724	2.754	88.912	2.052	0.386	30000.0
19	6.807	146.994	2.614	87.486	1.821	0.439	20000.0
20	7.017	149.296	2.688	86.945	1.891	0.422	20000.0
21	7.113	151.925	2.711	89.138	1.983	0.396	20000.0
22	6.843	150.156	2.568	87.54	1.862	0.43	20000.0
23	6.875	149.307	2.587	88.666	1.953	0.418	20000.0
24	7.201	148.012	2.698	85.597	1.761	0.462	20000.0
25	7.376	147.765	2.842	89.385	1.913	0.412	30000.0
26	7.05	151.037	2.832	89.436	1.917	0.398	20000.0
27	6.909	149.29	2.704	88.241	1.955	0.421	30000.0
28	7.289	153.493	2.738	88.254	1.935	0.402	20000.0
29	7.095	149.269	2.703	87.813	1.93	0.415	20000.0
30	6.748	148.903	2.507	86.077	1.918	0.438	30000.0
31	7.65	150.752	3.02	88.141	1.884	0.42	20000.0
32	6.451	143.105	2.405	83.654	1.812	0.476	20000.0
33	7.364	153.084	2.707	87.959	2.008	0.405	30000.0
34	6.311	145.093	2.377	84.159	1.82	0.468	40000.0
35	6.745	146.906	2.608	87.214	1.916	0.429	20000.0
36	6.706	149.051	2.521	86.783	1.88	0.441	20000.0
37	7.265	149.21	2.838	89.188	1.846	0.412	20000.0
38	6.798	153.194	2.542	87.835	1.961	0.401	20000.0
39	7.762	150.593	2.994	88.864	1.77	0.435	20000.0
40	6.402	148.281	2.43	85.567	1.884	0.437	30000.0
41	6.345	142.591	2.351	84.424	1.75	0.476	20000.0
42	6.839	148.036	2.648	86.68	1.909	0.44	20000.0
43	6.719	146.854	2.689	86.213	1.92	0.441	30000.0
44	6.621	145.494	2.636	86.212	1.793	0.449	30000.0
45	6.528	146.599	2.468	85.537	1.863	0.44	20000.0
46	6.71	146.911	2.581	87.509	1.832	0.433	20000.0
47	6.912	150.849	2.711	89.025	1.962	0.401	20000.0
48	6.728	147.883	2.504	84.952	1.861	0.453	20000.0
49	7.307	146.409	2.935	87.722	1.859	0.421	30000.0
50	7.074	150.747	2.804	89.553	1.924	0.409	30000.0
51	6.88	146.915	2.636	85.544	1.895	0.46	50000.0
52	7.058	147.238	2.881	87.138	1.922	0.427	20000.0
53	7.882	150.408	2.965	86.683	1.765	0.461	20000.0
54	6.625	147.731	2.532	85.929	1.836	0.444	20000.0
55	6.9	145.593	2.711	86.178	1.808	0.467	20000.0
56	6.774	148.28	2.562	87.09	1.87	0.421	20000.0
57	7.251	152.987	2.719	89.025	1.944	0.415	20000.0
58	7.233	149.532	2.789	88.595	1.917	0.417	30000.0
59	7.529	154.408	2.933	90.154	1.945	0.376	30000.0
60	6.301	142.73	2.455	85.606	1.791	0.463	30000.0
61	6.668	146.942	2.528	86.314	1.849	0.443	30000.0
62	6.588	146.824	2.566	86.724	1.834	0.433	20000.0
63	7.147	149.395	2.781	89.557	1.923	0.404	30000.0
64	7.479	152.775	2.932	88.709	1.916	0.398	60000.0
65	7.252	157.898	2.832	90.669	2.138	0.365	20000.0
66	6.309	141.348	2.424	84.155	1.752	0.48	20000.0
67	6.486	145.903	2.489	85.488	1.81	0.448	20000.0
68	6.521	142.541	2.471	85.599	1.793	0.461	20000.0
69	6.505	145.343	2.461	85.163	1.857	0.452	20000.0
70	7.202	155.681	2.732	90.295	2.008	0.373	30000.0
71	6.717	151.632	2.492	87.492	1.849	0.412	20000.0
72	7.071	151.864	2.808	88.603	1.986	0.404	20000.0
73	7.118	152.367	2.695	89.488	1.851	0.409	30000.0
74	6.554	154.078	2.463	87.14	1.974	0.407	20000.0
75	7.449	151.368	2.781	88.423	1.898	0.421	20000.0
76	7.168	151.517	2.861	89.588	1.963	0.401	30000.0
77	6.697	149.33	2.413	85.533	1.882	0.439	50000.0
78	6.772	148.31	2.579	86.831	1.911	0.438	40000.0
79	6.747	147.33	2.555	85.7	1.84	0.453	20000.0
80	7.174	148.801	2.731	89.319	1.915	0.421	20000.0
81	6.199	142.087	2.429	83.923	1.759	0.479	20000.0
82	6.968	153.998	2.613	89.078	2.026	0.384	20000.0
83	6.911	155.417	2.53	86.023	2.097	0.408	20000.0
84	7.104	153.123	2.66	88.417	2.022	0.402	20000.0
85	7.029	151.791	2.647	87.972	1.933	0.414	20000.0
86	6.826	149.282	2.478	86.165	1.828	0.445	30000.0
87	6.745	149.886	2.593	87.413	1.863	0.429	30000.0
88	6.919	147.262	2.704	87.231	1.863	0.424	40000.0
89	7.039	148.795	2.619	87.554	1.868	0.43	40000.0
90	7.411	149.975	3.033	88.419	1.787	0.414	20000.0
91	7.149	146.808	2.727	85.922	1.833	0.457	30000.0
92	7.183	157.205	2.72	89.537	2.049	0.379	20000.0
93	7.235	152.304	2.802	89.563	1.952	0.397	30000.0
94	7.347	153.056	2.823	88.68	2.0	0.396	30000.0
95	7.292	154.254	2.862	89.447	1.989	0.389	30000.0
96	7.553	147.228	3.064	88.7	1.909	0.426	20000.0
97	7.183	153.058	2.817	89.481	1.967	0.41	20000.0
98	6.96	150.098	2.669	87.021	1.892	0.423	40000.0
99	6.591	148.418	2.472	86.328	1.881	0.439	30000.0
100	6.806	149.27	2.556	87.526	1.814	0.44	20000.0
