Samples	ID83A	ID83B	ID83C
TCGA_05_4402_01A	0.00E+00	2.70E-01	2.70E-01
TCGA_05_5715_01A	1.26E-01	3.93E-01	3.81E-01
TCGA_38_4628_01A	0.00E+00	2.55E-01	2.55E-01
TCGA_38_6178_01A	0.00E+00	1.72E-01	1.72E-01
TCGA_44_2661_01A	3.55E-02	1.74E-01	1.74E-01
TCGA_44_2665_01A	2.00E-02	1.01E-01	1.01E-01
TCGA_44_3919_01A	4.11E-02	2.09E-01	2.07E-01
TCGA_49_4501_01A	1.88E-01	1.17E-01	1.96E-01
TCGA_49_4512_01A	6.97E-02	1.66E-01	1.57E-01
TCGA_49_AAQV_01A	3.55E-02	7.96E-02	8.26E-02
TCGA_50_6591_01A	1.69E-01	1.75E-01	2.18E-01
TCGA_55_6986_01A	7.87E-02	1.63E-01	1.58E-01
TCGA_55_7816_01A	2.97E-02	2.23E-02	2.00E-02
TCGA_55_8087_01A	4.82E-02	1.28E-01	1.22E-01
TCGA_55_8619_01A	1.00E-02	4.88E-02	4.85E-02
TCGA_62_8394_01A	5.49E-02	1.40E-01	1.41E-01
TCGA_62_8397_01A	9.57E-02	2.09E-01	2.02E-01
TCGA_62_8402_01A	3.12E-02	7.63E-02	7.95E-02
TCGA_62_A46U_01A	1.64E-01	1.11E-01	1.29E-01
TCGA_62_A46Y_01A	1.00E-02	1.65E-01	1.64E-01
TCGA_67_6215_01A	2.39E-02	4.94E-02	4.79E-02
TCGA_67_6216_01A	1.04E-01	1.41E-01	1.30E-01
TCGA_71_8520_01A	1.44E-01	2.44E-01	2.43E-01
TCGA_78_7540_01A	2.39E-02	4.79E-02	4.94E-02
TCGA_86_7953_01A	1.74E-01	2.08E-01	2.22E-01
TCGA_86_8075_01A	1.22E-01	1.73E-01	1.47E-01
TCGA_86_8278_01A	5.51E-02	9.90E-02	9.78E-02
TCGA_86_8280_01A	3.55E-02	8.26E-02	8.49E-02
TCGA_86_8668_01A	8.46E-02	9.98E-02	9.10E-02
TCGA_86_8671_01A	3.43E-02	3.43E-02	0.00E+00
TCGA_86_A4P7_01A	1.51E-01	2.78E-01	2.68E-01
TCGA_91_8496_01A	1.78E-01	1.90E-01	1.89E-01
TCGA_97_8177_01A	0.00E+00	1.56E-01	1.55E-01
TCGA_97_8552_01A	1.86E-01	0.00E+00	1.86E-01
TCGA_97_A4M6_01A	4.08E-02	8.35E-02	9.02E-02
TCGA_99_8033_01A	2.41E-01	3.46E-01	3.17E-01
TCGA_J2_8192_01A	1.01E-01	1.59E-01	1.74E-01
