Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
TCGA_05_4402_01A	0.00E+00	2.38E-01	1.11E-01	4.00E-02	2.55E-01	8.73E-02
TCGA_05_5715_01A	0.00E+00	2.23E-01	3.58E-01	3.84E-01	2.71E-01	2.45E-01
TCGA_38_4628_01A	0.00E+00	2.73E-01	1.42E-01	2.20E-01	2.42E-01	7.65E-02
TCGA_38_6178_01A	0.00E+00	1.74E-01	3.00E-02	1.35E-01	1.59E-01	3.00E-02
TCGA_44_2661_01A	0.00E+00	1.43E-01	1.48E-01	7.11E-02	1.30E-01	8.30E-02
TCGA_44_2665_01A	2.00E-02	9.48E-02	5.07E-02	8.32E-02	6.33E-02	3.51E-02
TCGA_44_3919_01A	0.00E+00	1.43E-01	1.10E-01	1.65E-01	1.69E-01	9.39E-02
TCGA_49_4501_01A	9.80E-02	1.78E-01	7.35E-02	7.88E-02	8.97E-02	1.98E-01
TCGA_49_4512_01A	1.00E-02	7.34E-02	1.16E-01	1.48E-01	7.47E-02	7.26E-02
TCGA_49_AAQV_01A	0.00E+00	8.04E-02	6.01E-02	6.09E-02	3.89E-02	4.79E-02
TCGA_50_6591_01A	8.91E-02	1.94E-01	1.46E-01	1.37E-01	9.41E-02	9.31E-02
TCGA_55_6986_01A	0.00E+00	7.99E-02	1.32E-01	1.72E-01	1.11E-01	1.23E-01
TCGA_55_7816_01A	8.10E-02	0.00E+00	2.00E-02	2.00E-02	2.23E-02	7.55E-02
TCGA_55_8087_01A	3.59E-02	5.32E-02	1.28E-01	1.15E-01	9.26E-02	7.90E-02
TCGA_55_8619_01A	0.00E+00	2.73E-02	1.00E-02	3.68E-02	2.56E-02	0.00E+00
TCGA_62_8394_01A	2.00E-02	1.05E-01	1.03E-01	6.72E-02	1.33E-01	9.36E-02
TCGA_62_8397_01A	4.00E-02	1.04E-01	1.84E-01	1.54E-01	2.03E-01	1.30E-01
TCGA_62_8402_01A	0.00E+00	9.17E-02	7.68E-02	5.07E-02	3.55E-02	6.13E-02
TCGA_62_A46U_01A	2.58E-01	1.65E-01	1.18E-01	1.48E-01	4.38E-02	2.15E-01
TCGA_62_A46Y_01A	3.00E-02	9.08E-02	1.05E-01	8.90E-02	1.49E-01	3.67E-02
TCGA_67_6215_01A	0.00E+00	2.88E-02	4.88E-02	3.49E-02	3.59E-02	0.00E+00
TCGA_67_6216_01A	4.22E-02	6.09E-02	1.33E-01	9.48E-02	8.37E-02	9.17E-02
TCGA_71_8520_01A	1.27E-01	2.02E-01	1.67E-01	1.10E-01	2.22E-01	1.15E-01
TCGA_78_7540_01A	1.97E-02	4.76E-02	4.02E-02	4.02E-02	3.02E-02	3.27E-02
TCGA_86_7953_01A	1.30E-01	1.63E-01	1.26E-01	2.00E-01	9.80E-02	1.55E-01
TCGA_86_8075_01A	9.80E-02	5.92E-02	1.50E-01	1.76E-01	1.17E-01	1.02E-01
TCGA_86_8278_01A	2.00E-02	6.83E-02	8.81E-02	7.78E-02	8.06E-02	7.55E-02
TCGA_86_8280_01A	0.00E+00	8.04E-02	6.59E-02	5.74E-02	6.24E-02	4.72E-02
TCGA_86_8668_01A	2.81E-02	4.47E-02	9.47E-02	8.06E-02	6.86E-02	7.90E-02
TCGA_86_8671_01A	8.10E-02	0.00E+00	2.00E-02	1.00E-02	0.00E+00	7.98E-02
TCGA_86_A4P7_01A	0.00E+00	1.21E-01	2.46E-01	2.68E-01	1.94E-01	1.78E-01
TCGA_91_8496_01A	1.60E-01	7.90E-02	1.89E-01	1.13E-01	1.50E-01	1.72E-01
TCGA_97_8177_01A	0.00E+00	1.48E-01	1.11E-01	9.68E-02	1.51E-01	7.19E-02
TCGA_97_8552_01A	2.01E+00	2.61E-01	0.00E+00	9.32E-01	1.38E+00	1.23E+00
TCGA_97_A4M6_01A	2.81E-02	9.31E-02	5.26E-02	4.79E-02	4.77E-02	5.13E-02
TCGA_99_8033_01A	8.77E-02	2.19E-01	1.47E-01	1.95E-01	3.24E-01	3.37E-01
TCGA_J2_8192_01A	0.00E+00	1.65E-01	1.43E-01	1.20E-01	8.95E-02	1.36E-01
