MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
1:Del:C:1	1.01E-03	8.85E-03	2.22E-02	7.20E-03	7.42E-03	5.82E-03	4.96E-03	6.02E-03
1:Del:C:2	6.49E-07	2.34E-06	4.03E-03	8.91E-03	6.76E-03	1.99E-02	4.06E-03	9.71E-03
1:Del:C:3	5.38E-04	2.80E-03	8.72E-03	5.94E-03	5.96E-03	7.36E-03	7.41E-03	7.85E-03
1:Del:C:4	4.13E-07	1.20E-03	2.92E-03	3.07E-03	5.29E-03	2.11E-03	3.22E-03	2.71E-03
1:Del:C:5	3.21E-07	9.62E-04	4.05E-03	1.68E-03	4.76E-03	2.15E-03	1.72E-03	2.54E-03
1:Del:T:0	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
1:Del:T:1	2.04E-03	4.20E-03	1.48E-03	9.65E-03	4.31E-03	5.11E-03	2.32E-02	5.69E-03
1:Del:T:2	2.92E-07	7.88E-04	2.09E-03	4.78E-03	2.04E-03	7.26E-03	4.91E-03	5.13E-03
1:Del:T:3	2.04E-03	3.98E-03	5.31E-03	6.70E-03	5.88E-03	8.81E-03	5.85E-03	9.04E-03
1:Del:T:4	2.96E-07	1.40E-03	2.61E-03	3.17E-03	5.87E-03	3.80E-03	8.56E-03	5.62E-03
1:Del:T:5	3.95E-07	1.20E-03	1.25E-03	1.82E-03	9.98E-04	4.30E-03	2.00E-03	3.80E-03
1:Ins:C:0	1.45E-03	5.28E-07	5.27E-07	5.10E-04	1.40E-03	7.55E-07	4.16E-04	2.22E-04
1:Ins:C:1	6.81E-04	6.63E-03	6.00E-03	5.95E-03	6.96E-03	7.76E-03	2.16E-02	5.23E-03
1:Ins:C:2	9.00E-04	3.73E-04	2.14E-03	1.81E-03	1.29E-03	4.63E-03	2.07E-03	3.13E-03
1:Ins:C:3	4.43E-07	9.85E-04	2.79E-03	3.10E-03	3.04E-03	4.47E-03	2.51E-03	1.92E-03
1:Ins:C:4	2.79E-07	3.42E-03	2.05E-03	3.68E-03	5.88E-03	4.98E-03	4.81E-03	2.72E-03
1:Ins:C:5	3.77E-07	7.38E-07	1.16E-03	8.26E-04	2.98E-03	5.14E-03	2.92E-03	2.15E-03
1:Ins:T:0	2.51E-03	2.60E-03	4.61E-03	7.61E-03	1.58E-02	5.07E-03	6.40E-03	4.29E-03
1:Ins:T:1	8.03E-04	2.66E-03	9.26E-03	8.49E-03	5.33E-03	5.65E-03	4.03E-03	2.57E-02
1:Ins:T:2	3.25E-07	3.12E-03	5.26E-03	3.51E-03	4.71E-03	8.41E-03	7.22E-03	6.11E-03
1:Ins:T:3	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
1:Ins:T:4	8.87E-05	1.68E-03	2.47E-03	2.68E-03	3.25E-03	3.37E-03	2.17E-03	1.05E-03
1:Ins:T:5	4.31E-07	6.39E-03	9.03E-03	6.94E-03	9.96E-03	1.04E-02	1.27E-02	1.95E-02
2:Del:R:0	8.95E-04	1.79E-03	3.13E-03	1.02E-02	8.93E-03	7.59E-03	4.33E-03	5.96E-03
2:Del:R:1	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
2:Del:R:2	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
2:Del:R:3	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
2:Del:R:4	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
2:Del:R:5	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
3:Del:R:0	3.44E-07	1.22E-03	1.81E-03	4.39E-03	6.54E-03	6.20E-03	4.98E-03	5.51E-03
3:Del:R:1	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
3:Del:R:2	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
3:Del:R:3	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
3:Del:R:4	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
3:Del:R:5	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
4:Del:R:0	4.28E-07	9.84E-04	1.23E-03	2.61E-03	2.78E-03	2.84E-03	3.11E-03	2.37E-03
4:Del:R:1	4.70E-07	5.40E-07	5.53E-07	7.28E-07	1.12E-06	7.09E-07	8.89E-07	8.32E-07
