Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
TCGA_05_4402_01A	0.00E+00	1.85E-01	7.06E-02	2.15E-01	4.32E-02	6.72E-02	1.04E-01	5.51E-02	1.71E-02
TCGA_05_5715_01A	0.00E+00	9.85E-02	6.00E-02	1.94E-01	1.71E-01	3.72E-01	2.65E-01	1.44E-01	3.53E-01
TCGA_38_4628_01A	0.00E+00	2.19E-01	8.56E-02	2.31E-01	1.24E-01	3.15E-02	2.09E-01	3.15E-02	7.35E-02
TCGA_38_6178_01A	0.00E+00	1.57E-01	4.00E-02	1.34E-01	7.11E-02	6.67E-02	1.40E-01	4.98E-02	2.23E-02
TCGA_44_2661_01A	0.00E+00	1.27E-01	3.39E-02	9.05E-02	7.93E-02	8.20E-02	2.78E-02	1.57E-01	4.56E-02
TCGA_44_2665_01A	0.00E+00	9.16E-02	2.00E-02	3.99E-02	2.78E-02	2.61E-02	5.00E-02	8.22E-02	5.88E-02
TCGA_44_3919_01A	0.00E+00	1.16E-01	2.23E-02	1.43E-01	1.04E-01	1.21E-01	1.62E-01	8.65E-02	8.05E-02
TCGA_49_4501_01A	3.15E-02	1.67E-01	1.83E-01	4.98E-02	1.07E-01	6.87E-02	5.88E-02	7.95E-02	7.48E-02
TCGA_49_4512_01A	0.00E+00	4.98E-02	1.41E-02	7.19E-02	1.03E-01	4.56E-02	1.42E-01	9.79E-02	7.43E-02
TCGA_49_AAQV_01A	0.00E+00	8.00E-02	2.00E-02	1.41E-02	4.79E-02	6.37E-02	4.18E-02	3.12E-02	5.56E-02
TCGA_50_6591_01A	9.05E-02	1.94E-01	7.44E-02	6.46E-02	1.88E-01	7.83E-02	7.73E-02	8.36E-02	5.10E-02
TCGA_55_6986_01A	2.00E-02	4.32E-02	7.44E-02	6.82E-02	8.89E-02	1.11E-01	1.48E-01	7.57E-02	1.56E-01
TCGA_55_7816_01A	8.82E-02	0.00E+00	8.45E-02	0.00E+00	3.94E-02	0.00E+00	2.23E-02	2.81E-02	4.04E-02
TCGA_55_8087_01A	0.00E+00	4.85E-02	2.97E-02	6.09E-02	5.00E-02	1.41E-02	6.36E-02	1.25E-01	1.14E-01
TCGA_55_8619_01A	0.00E+00	1.97E-02	0.00E+00	1.71E-02	0.00E+00	1.00E-02	2.88E-02	0.00E+00	1.00E-02
TCGA_62_8394_01A	0.00E+00	8.47E-02	5.49E-02	1.24E-01	6.82E-02	8.05E-02	3.71E-02	9.48E-02	6.47E-02
TCGA_62_8397_01A	0.00E+00	4.29E-02	3.00E-02	1.63E-01	7.66E-02	1.89E-01	7.61E-02	6.72E-02	1.95E-01
TCGA_62_8402_01A	0.00E+00	8.75E-02	2.61E-02	3.67E-02	8.41E-02	3.94E-02	4.85E-02	2.61E-02	3.12E-02
TCGA_62_A46U_01A	2.96E-01	1.57E-01	1.53E-01	4.64E-02	1.55E-01	1.11E-01	1.80E-01	2.31E-01	1.05E-01
TCGA_62_A46Y_01A	0.00E+00	7.05E-02	3.59E-02	1.29E-01	4.56E-02	2.61E-02	5.20E-02	1.15E-01	5.20E-02
TCGA_67_6215_01A	0.00E+00	3.14E-02	1.41E-02	2.39E-02	3.02E-02	1.00E-02	2.19E-02	4.96E-02	2.56E-02
TCGA_67_6216_01A	0.00E+00	6.36E-02	3.39E-02	5.39E-02	1.22E-01	6.75E-02	7.56E-02	1.13E-01	6.67E-02
TCGA_71_8520_01A	1.34E-01	1.97E-01	8.57E-02	1.85E-01	1.28E-01	6.14E-02	7.23E-02	1.84E-01	8.03E-02
TCGA_78_7540_01A	1.41E-02	4.35E-02	1.71E-02	3.38E-02	3.38E-02	3.86E-02	2.56E-02	2.73E-02	3.14E-02
TCGA_86_7953_01A	1.20E-01	1.46E-01	3.12E-02	0.00E+00	1.12E-01	1.80E-01	1.78E-01	1.05E-01	8.18E-02
TCGA_86_8075_01A	8.53E-02	2.23E-02	1.00E-02	6.37E-02	7.04E-02	4.73E-02	1.34E-01	1.11E-01	1.73E-01
TCGA_86_8278_01A	2.00E-02	4.04E-02	3.55E-02	5.20E-02	5.00E-02	9.89E-02	5.20E-02	4.04E-02	7.20E-02
TCGA_86_8280_01A	0.00E+00	7.45E-02	0.00E+00	2.78E-02	2.61E-02	7.43E-02	3.07E-02	3.12E-02	6.56E-02
TCGA_86_8668_01A	0.00E+00	3.67E-02	3.67E-02	3.55E-02	9.75E-02	5.57E-02	7.26E-02	6.68E-02	4.56E-02
TCGA_86_8671_01A	8.72E-02	2.00E-02	8.61E-02	0.00E+00	3.12E-02	0.00E+00	2.00E-02	1.00E-02	4.14E-02
TCGA_86_A4P7_01A	0.00E+00	9.18E-02	4.45E-02	1.08E-01	2.24E-01	1.97E-01	2.35E-01	1.31E-01	1.73E-01
TCGA_91_8496_01A	1.52E-01	6.77E-02	1.68E-01	5.25E-02	1.51E-01	3.71E-02	8.39E-02	1.93E-01	1.47E-01
TCGA_97_8177_01A	0.00E+00	1.26E-01	0.00E+00	1.44E-01	6.26E-02	9.95E-02	6.72E-02	7.96E-02	8.54E-02
TCGA_97_8552_01A	3.48E+00	2.75E-01	2.62E+00	6.96E-02	1.33E+00	1.35E+00	1.81E-01	7.12E-02	2.57E+00
TCGA_97_A4M6_01A	0.00E+00	8.56E-02	1.41E-02	4.61E-02	3.07E-02	5.00E-02	3.62E-02	2.56E-02	5.81E-02
TCGA_99_8033_01A	0.00E+00	6.00E-02	3.11E-01	3.03E-01	1.44E-01	1.32E-01	4.45E-02	2.31E-01	1.15E-01
TCGA_J2_8192_01A	1.00E-02	1.42E-01	3.71E-02	6.82E-02	1.59E-01	1.28E-01	9.84E-02	8.78E-02	9.46E-02
