Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_05_4402_01A	7	0.957	3.727	53.243%	1.162	30.003%	0.43058	0.955
TCGA_05_5715_01A	9	0.759	8.67	96.333%	1.959	65.3%	0.8347	0.724
TCGA_38_4628_01A	9	0.952	6.111	67.9%	1.581	36.271%	0.49162	0.951
TCGA_38_6178_01A	5	0.895	3.449	68.98%	1.184	44.751%	0.75754	0.891
TCGA_44_2661_01A	4	0.73	4.085	102.125%	1.373	68.65%	0.98468	0.714
TCGA_44_2665_01A	3	0.919	2.547	84.9%	1.002	44.811%	0.71158	0.918
TCGA_44_3919_01A	6	0.838	5.776	96.267%	1.441	58.829%	0.7696	0.831
TCGA_49_4501_01A	5	0.899	3.615	72.3%	1.194	45.129%	0.61608	0.895
TCGA_49_4512_01A	4	0.892	4.462	111.55%	1.411	57.604%	0.84715	0.897
TCGA_49_AAQV_01A	2	0.738	2.289	114.45%	0.98	69.296%	1.34663	0.732
TCGA_50_6591_01A	6	0.926	4.198	69.967%	1.18	41.719%	0.59838	0.923
TCGA_55_6986_01A	4	0.698	4.364	109.1%	1.432	71.6%	1.36645	0.679
TCGA_55_7816_01A	2	0.936	1.484	74.2%	0.623	44.053%	0.50349	0.936
TCGA_55_8087_01A	3	0.913	3.197	106.567%	0.992	57.273%	0.77419	0.924
TCGA_55_8619_01A	1	0.982	0.922	92.2%	0.473	47.3%	0.61811	0.985
TCGA_62_8394_01A	3	0.647	3.485	116.167%	1.33	76.788%	1.36972	0.631
TCGA_62_8397_01A	5	0.742	5.912	118.24%	1.559	69.721%	1.16448	0.729
TCGA_62_8402_01A	2	0.811	2.013	100.65%	0.874	61.801%	0.91395	0.807
TCGA_62_A46U_01A	9	0.963	4.23	47.0%	1.445	26.833%	0.553	0.962
TCGA_62_A46Y_01A	4	0.957	3.55	88.75%	1.135	46.336%	0.59075	0.963
TCGA_67_6215_01A	1	0.76	1.468	146.8%	0.768	76.8%	1.32371	0.769
TCGA_67_6216_01A	3	0.657	4.123	137.433%	1.343	77.538%	1.31908	0.646
TCGA_71_8520_01A	9	0.953	5.281	58.678%	1.323	34.16%	0.44394	0.951
TCGA_78_7540_01A	1	0.13	1.933	193.3%	1.0	100.0%	3.39394	0.092
TCGA_86_7953_01A	6	0.753	5.742	95.7%	1.612	65.81%	1.0062	0.73
TCGA_86_8075_01A	5	0.919	4.869	97.38%	1.351	51.063%	0.71834	0.924
TCGA_86_8278_01A	2	0.608	3.11	155.5%	1.174	83.014%	1.93925	0.606
TCGA_86_8280_01A	2	0.837	2.059	102.95%	0.855	60.458%	0.92919	0.836
TCGA_86_8668_01A	2	0.614	2.872	143.6%	1.138	80.469%	1.56399	0.604
TCGA_86_8671_01A	2	0.936	1.484	74.2%	0.623	44.053%	0.50349	0.936
TCGA_86_A4P7_01A	6	0.634	7.013	116.883%	1.9	77.567%	1.25515	0.597
TCGA_91_8496_01A	7	0.857	6.466	92.371%	1.606	53.533%	0.763	0.848
TCGA_97_8177_01A	4	0.729	3.977	99.425%	1.37	68.5%	1.21879	0.713
TCGA_97_8552_01A	98	0.997	16.464	16.8%	4.725	8.149%	0.0805	0.997
TCGA_97_A4M6_01A	3	0.904	1.883	62.767%	0.991	44.319%	0.8627	0.901
TCGA_99_8033_01A	8	0.809	7.109	88.862%	2.037	58.803%	0.72405	0.794
TCGA_J2_8192_01A	4	0.62	5.131	128.275%	1.572	78.6%	1.52895	0.594
