Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_05_4402_01A	7	0.653	9.658	137.971%	3.009	77.692%	1.20055	0.639
TCGA_05_5715_01A	9	0.362	12.838	142.644%	3.343	111.433%	2.25147	0.282
TCGA_38_4628_01A	9	0.77	9.07	100.778%	2.789	63.984%	1.26262	0.756
TCGA_38_6178_01A	5	0.751	5.288	105.76%	1.748	66.068%	1.17852	0.738
TCGA_44_2661_01A	4	0.491	4.876	121.9%	1.846	92.3%	1.65538	0.459
TCGA_44_2665_01A	3	0.541	4.543	151.433%	1.881	84.121%	2.09551	0.526
TCGA_44_3919_01A	6	0.583	7.412	123.533%	2.209	90.182%	1.70064	0.549
TCGA_49_4501_01A	5	0.459	7.549	150.98%	2.475	93.546%	3.03499	0.427
TCGA_49_4512_01A	4	0.592	5.632	140.8%	1.979	80.792%	2.06694	0.574
TCGA_49_AAQV_01A	2	0.433	3.026	151.3%	1.288	91.075%	2.63503	0.411
TCGA_50_6591_01A	6	0.59	7.844	130.733%	2.318	81.954%	1.87777	0.56
TCGA_55_6986_01A	4	0.363	5.933	148.325%	2.054	102.7%	3.95074	0.323
TCGA_55_7816_01A	2	0.822	1.607	80.35%	0.816	57.7%	0.78225	0.817
TCGA_55_8087_01A	3	0.437	4.526	150.867%	1.572	90.759%	1.74203	0.404
TCGA_55_8619_01A	1	0.706	1.439	143.9%	0.772	77.2%	1.27038	0.707
TCGA_62_8394_01A	3	0.387	4.695	156.5%	1.625	93.819%	3.19806	0.35
TCGA_62_8397_01A	5	0.543	6.151	123.02%	1.921	85.91%	2.98661	0.504
TCGA_62_8402_01A	2	0.427	3.039	151.95%	1.293	91.429%	3.09136	0.405
TCGA_62_A46U_01A	9	0.935	6.781	75.344%	1.952	36.248%	0.74669	0.933
TCGA_62_A46Y_01A	4	0.613	5.775	144.375%	1.946	79.445%	1.43991	0.597
TCGA_67_6215_01A	1	0.081	1.948	194.8%	1.026	102.6%	3.64271	0.047
TCGA_67_6216_01A	3	0.098	5.668	188.933%	1.901	109.754%	2.93765	0.037
TCGA_71_8520_01A	9	0.693	10.273	114.144%	2.792	72.089%	1.18993	0.666
TCGA_78_7540_01A	1	0.022	1.986	198.6%	1.044	104.4%	4.94703	-0.016
TCGA_86_7953_01A	6	0.679	5.862	97.7%	1.83	74.709%	1.87487	0.649
TCGA_86_8075_01A	5	0.6	6.494	129.88%	2.122	80.204%	1.4319	0.575
TCGA_86_8278_01A	2	0.029	3.934	196.7%	1.602	113.279%	4.125	-0.014
TCGA_86_8280_01A	2	0.44	3.009	150.45%	1.281	90.58%	2.33931	0.419
TCGA_86_8668_01A	2	0.064	3.884	194.2%	1.518	107.339%	3.5399	0.012
TCGA_86_8671_01A	2	0.822	1.607	80.35%	0.816	57.7%	0.78225	0.817
TCGA_86_A4P7_01A	6	0.335	9.447	157.45%	2.788	113.82%	2.34607	0.282
TCGA_91_8496_01A	7	0.728	8.05	115.0%	2.5	83.333%	1.62399	0.713
TCGA_97_8177_01A	4	0.387	5.993	149.825%	1.917	95.85%	3.77174	0.341
TCGA_97_8552_01A	98	0.996	25.618	26.141%	8.831	15.23%	0.10142	0.997
TCGA_97_A4M6_01A	3	0.536	4.569	152.3%	1.888	84.434%	2.81988	0.521
TCGA_99_8033_01A	8	0.505	10.564	132.05%	3.106	89.662%	1.65365	0.461
TCGA_J2_8192_01A	4	0.31	6.027	150.675%	2.135	106.75%	3.44565	0.266
