MutationType	ID83A	ID83B
1:Del:C:0	0.00002440	0.00000662
1:Del:C:1	0.13525544	0.01484239
1:Del:C:2	0.05144838	0.00770368
1:Del:C:3	0.02156117	0.00378309
1:Del:C:4	0.00687320	0.00276967
1:Del:C:5	0.00538488	0.00218695
1:Del:T:0	0.00002440	0.00000662
1:Del:T:1	0.03686855	0.02972627
1:Del:T:2	0.01525110	0.00223708
1:Del:T:3	0.03097596	0.00263273
1:Del:T:4	0.01027884	0.00584030
1:Del:T:5	0.00843941	0.00091380
1:Ins:C:0	0.00001881	0.01482922
1:Ins:C:1	0.03534698	0.01587445
1:Ins:C:2	0.00760019	0.00893099
1:Ins:C:3	0.00591680	0.00190324
1:Ins:C:4	0.01193072	0.00452383
1:Ins:C:5	0.00524191	0.00212958
1:Ins:T:0	0.01047484	0.03307516
1:Ins:T:1	0.07155800	0.01351015
1:Ins:T:2	0.02517206	0.00146897
1:Ins:T:3	0.00002440	0.00000662
1:Ins:T:4	0.00489467	0.00211678
1:Ins:T:5	0.05370920	0.00677833
2:Del:R:0	0.01218897	0.01004504
2:Del:R:1	0.00002440	0.00000662
2:Del:R:2	0.00002440	0.00000662
2:Del:R:3	0.00002440	0.00000662
2:Del:R:4	0.00002440	0.00000662
2:Del:R:5	0.00002440	0.00000662
3:Del:R:0	0.01427419	0.00312937
3:Del:R:1	0.00002440	0.00000662
3:Del:R:2	0.00002440	0.00000662
3:Del:R:3	0.00002440	0.00000662
3:Del:R:4	0.00002440	0.00000662
3:Del:R:5	0.00002440	0.00000662
4:Del:R:0	0.00541144	0.00151040
4:Del:R:1	0.00002440	0.00000662
4:Del:R:2	0.00002440	0.00000662
4:Del:R:3	0.00002440	0.00000662
4:Del:R:4	0.00002440	0.00000662
4:Del:R:5	0.00002440	0.00000662
5:Del:R:0	0.19500962	0.06097573
5:Del:R:1	0.00002440	0.00000662
5:Del:R:2	0.00002440	0.00000662
5:Del:R:3	0.00002440	0.00000662
5:Del:R:4	0.00002440	0.00000662
5:Del:R:5	0.00002440	0.00000662
2:Ins:R:0	0.00172765	0.10630530
2:Ins:R:1	0.00002440	0.00000662
2:Ins:R:2	0.00002440	0.00000662
2:Ins:R:3	0.00658420	0.00202313
2:Ins:R:4	0.00002440	0.00000662
2:Ins:R:5	0.00002440	0.00000662
3:Ins:R:0	0.00001562	0.04550287
3:Ins:R:1	0.00625779	0.00304535
3:Ins:R:2	0.00002440	0.00000662
3:Ins:R:3	0.00002440	0.00000662
3:Ins:R:4	0.00002440	0.00000662
3:Ins:R:5	0.00002440	0.00000662
4:Ins:R:0	0.00001652	0.03360333
4:Ins:R:1	0.00002440	0.00000662
4:Ins:R:2	0.00002440	0.00000662
4:Ins:R:3	0.00002440	0.00000662
4:Ins:R:4	0.00002440	0.00000662
4:Ins:R:5	0.00002440	0.00000662
5:Ins:R:0	0.00000319	0.49196502
5:Ins:R:1	0.04062625	0.00425115
5:Ins:R:2	0.00002440	0.00000662
5:Ins:R:3	0.00002440	0.00000662
5:Ins:R:4	0.00002440	0.00000662
5:Ins:R:5	0.00002440	0.00000662
2:Del:M:1	0.01908561	0.01378087
3:Del:M:1	0.00798051	0.00103512
3:Del:M:2	0.00002440	0.00000662
4:Del:M:1	0.01438803	0.00268085
4:Del:M:2	0.00598309	0.00141939
4:Del:M:3	0.00002440	0.00000662
5:Del:M:1	0.09030162	0.03203707
5:Del:M:2	0.02291415	0.00339643
5:Del:M:3	0.00195696	0.00522570
5:Del:M:4	0.00002440	0.00000662
5:Del:M:5	0.00002440	0.00000662
