Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA_05_4402_01A	4.88E+00	4.51E-01	2.02E-01	6.55E-01	2.13E-01	3.35E-01	8.79E-01	5.36E+00	9.19E-01	0.00E+00
TCGA_05_5715_01A	2.66E+00	5.16E-01	9.11E-01	1.27E+00	1.45E-01	1.28E+00	3.60E-01	2.54E+00	1.02E+00	0.00E+00
TCGA_38_4628_01A	7.27E-01	2.27E+00	1.20E+00	1.21E+00	4.92E+00	1.85E+00	2.16E+00	3.06E+00	1.16E+00	3.76E-01
TCGA_38_6178_01A	3.49E-01	1.58E+00	1.63E+00	1.36E+00	1.25E+00	1.54E+00	1.37E+00	1.48E+00	6.86E-01	0.00E+00
TCGA_44_2661_01A	1.65E-01	1.48E+00	8.76E-01	1.37E+00	7.19E-01	9.29E-01	7.01E-01	6.70E-01	3.03E-01	6.42E-01
TCGA_44_2665_01A	6.91E-01	4.54E-01	1.17E+00	7.98E-01	1.01E+00	5.32E-01	1.14E+00	1.46E+00	2.51E-01	9.08E-01
TCGA_44_3919_01A	7.47E-01	7.57E-01	6.54E-01	1.27E+00	1.17E+00	3.57E-01	7.33E-01	1.05E+00	1.18E+00	1.11E-01
TCGA_49_4501_01A	2.24E-01	5.10E-01	2.52E+00	7.02E-01	7.80E-01	1.64E+00	8.78E-01	7.36E-01	1.59E+00	0.00E+00
TCGA_49_4512_01A	7.61E-01	2.36E-01	5.51E-01	1.01E+00	2.85E-01	1.37E+00	8.90E-01	1.15E+00	7.07E-01	2.77E-01
TCGA_49_AAQV_01A	1.54E+00	2.07E-01	1.74E+00	2.11E-01	1.08E+00	8.07E-01	1.65E+00	2.04E+00	8.95E-01	4.00E-02
TCGA_50_6591_01A	5.52E-01	9.99E-01	5.67E-01	1.80E+00	9.62E-01	1.28E+00	1.10E+00	9.27E-01	3.88E-01	5.58E-01
TCGA_55_6986_01A	7.06E-02	1.74E-01	1.82E-01	7.95E-01	8.42E-01	5.48E-01	5.91E-01	5.17E-01	4.13E-01	4.43E-01
TCGA_55_7816_01A	0.00E+00	1.00E-02	5.07E-02	5.51E-02	4.93E-02	9.46E-02	5.26E-02	4.64E-02	5.88E-02	3.43E-02
TCGA_55_8087_01A	3.97E-01	2.84E-01	8.10E-01	1.07E+00	5.43E-01	7.35E-01	5.18E-01	3.50E-01	6.87E-01	6.40E-02
TCGA_55_8619_01A	1.29E-01	1.79E-01	7.06E-01	6.98E-01	3.01E-01	1.02E+00	2.56E-01	1.94E-01	7.36E-01	0.00E+00
TCGA_62_8394_01A	1.76E+00	2.55E+00	1.21E+00	1.70E+00	4.95E-01	1.35E+00	5.72E+00	7.16E-01	7.58E-01	8.08E-01
TCGA_62_8397_01A	5.06E-02	3.44E-01	9.59E-01	6.21E-01	2.94E-01	1.01E+00	4.69E-01	3.12E-01	8.92E-01	2.03E-01
TCGA_62_8402_01A	2.16E-01	2.20E-01	1.67E+00	1.52E+00	1.74E+00	2.29E+00	1.71E+00	9.39E-01	1.60E+00	1.34E-01
TCGA_62_A46U_01A	3.83E-01	8.30E-01	1.74E+00	9.47E-01	7.63E-01	1.49E+00	2.12E-01	1.13E+00	1.69E+00	2.00E-02
TCGA_62_A46Y_01A	2.00E-02	4.38E-01	9.31E-01	1.03E+00	1.08E+00	1.29E+00	5.73E-01	5.05E-01	7.12E-01	9.04E-01
TCGA_67_6215_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_67_6216_01A	5.28E-01	2.54E-01	6.31E-01	5.94E-01	9.77E-01	4.91E-01	7.75E-01	8.42E-01	5.83E-01	0.00E+00
TCGA_71_8520_01A	7.73E-01	9.06E-01	3.38E+00	3.15E+00	2.14E+00	1.20E+00	1.00E+00	1.66E+00	2.87E+00	1.63E-01
TCGA_78_7540_01A	4.98E-02	4.80E-01	1.03E+00	1.30E+00	4.64E-01	1.24E+00	3.47E-01	1.00E-02	6.11E-01	0.00E+00
TCGA_86_7953_01A	2.26E-01	9.08E-01	1.29E+00	3.99E-01	2.00E+00	1.43E+00	1.16E+00	1.95E+00	1.17E+00	5.80E-02
TCGA_86_8075_01A	4.11E-02	1.68E-01	7.93E-01	1.38E+00	1.08E+00	1.72E+00	1.39E+00	1.01E+00	3.87E-01	1.43E-01
TCGA_86_8278_01A	1.93E+00	0.00E+00	3.04E-01	4.61E-01	1.68E-01	3.03E-01	0.00E+00	1.85E+00	3.00E-02	1.72E-01
TCGA_86_8280_01A	1.09E-01	3.28E-01	1.45E+00	7.98E-01	1.28E+00	8.17E-01	7.66E-01	6.38E-01	1.85E+00	0.00E+00
TCGA_86_8668_01A	2.33E-01	5.00E-02	1.08E+00	7.52E-01	7.65E-01	1.64E+00	5.85E-01	1.24E+00	7.36E-01	1.54E-01
TCGA_86_8671_01A	3.05E-01	0.00E+00	1.09E+00	9.34E-01	8.93E-01	8.96E-01	8.72E-01	6.10E-01	1.01E+00	2.15E-01
TCGA_86_A4P7_01A	1.17E+00	3.85E-01	9.80E-01	1.22E+00	1.29E+00	1.15E+00	1.36E+00	1.37E+00	5.40E-01	0.00E+00
TCGA_91_8496_01A	1.45E-01	4.26E-01	9.00E-01	1.28E+00	7.54E-01	1.28E+00	9.28E-01	7.78E-01	7.06E-01	3.59E-02
TCGA_97_8177_01A	2.88E-01	3.22E-01	1.49E+00	4.85E-01	9.75E-01	7.52E-01	1.28E+00	1.14E+00	1.25E+00	4.99E-01
TCGA_97_8552_01A	2.36E-01	2.52E-01	4.93E-01	3.74E-01	9.81E-01	7.47E-01	4.48E-01	8.26E-01	1.84E+00	4.85E-01
TCGA_97_A4M6_01A	2.49E-01	5.95E-01	1.25E+00	8.51E-01	1.26E+00	7.50E-01	7.73E-01	6.70E-01	1.25E+00	3.88E-01
TCGA_99_8033_01A	3.36E-01	2.60E+00	8.54E-01	1.19E+00	1.52E+00	2.15E-01	1.06E+00	9.00E-01	4.00E-02	0.00E+00
TCGA_J2_8192_01A	2.01E-01	7.61E-01	9.71E-01	2.68E+00	9.19E-01	1.48E+00	9.61E-01	1.55E+00	1.11E+00	0.00E+00
