Samples	SBS96A	SBS96B
TCGA_05_4402_01A	0	132
TCGA_05_5715_01A	0	129
TCGA_38_4628_01A	109	29
TCGA_38_6178_01A	52	9
TCGA_44_2661_01A	36	9
TCGA_44_2665_01A	12	28
TCGA_44_3919_01A	22	26
TCGA_49_4501_01A	51	10
TCGA_49_4512_01A	27	18
TCGA_49_AAQV_01A	12	57
TCGA_50_6591_01A	49	8
TCGA_55_6986_01A	23	2
TCGA_55_7816_01A	2	0
TCGA_55_8087_01A	23	9
TCGA_55_8619_01A	25	0
TCGA_62_8394_01A	75	86
TCGA_62_8397_01A	29	1
TCGA_62_8402_01A	62	5
TCGA_62_A46U_01A	42	10
TCGA_62_A46Y_01A	39	0
TCGA_67_6215_01A	101	18
TCGA_67_6216_01A	15	19
TCGA_71_8520_01A	69	26
TCGA_78_7540_01A	33	0
TCGA_86_7953_01A	42	13
TCGA_86_8075_01A	47	1
TCGA_86_8278_01A	0	123
TCGA_86_8280_01A	47	2
TCGA_86_8668_01A	34	7
TCGA_86_8671_01A	32	4
TCGA_86_A4P7_01A	23	46
TCGA_91_8496_01A	35	3
TCGA_97_8177_01A	29	13
TCGA_97_8552_01A	46	5
TCGA_97_A4M6_01A	32	6
TCGA_99_8033_01A	180	10
TCGA_J2_8192_01A	72	7
