Samples	SBS96A	SBS96B
TCGA_05_4402_01A	4.69E-01	4.69E-01
TCGA_05_5715_01A	1.08E+00	1.08E+00
TCGA_38_4628_01A	2.09E+00	2.09E+00
TCGA_38_6178_01A	1.60E+00	1.60E+00
TCGA_44_2661_01A	9.28E-01	9.28E-01
TCGA_44_2665_01A	1.28E+00	1.28E+00
TCGA_44_3919_01A	1.03E+00	1.03E+00
TCGA_49_4501_01A	1.80E+00	1.80E+00
TCGA_49_4512_01A	1.20E+00	1.20E+00
TCGA_49_AAQV_01A	1.63E+00	1.63E+00
TCGA_50_6591_01A	1.41E+00	1.41E+00
TCGA_55_6986_01A	6.94E-01	6.94E-01
TCGA_55_7816_01A	7.18E-02	7.18E-02
TCGA_55_8087_01A	9.72E-01	9.71E-01
TCGA_55_8619_01A	7.29E-01	7.29E-01
TCGA_62_8394_01A	2.60E+00	2.60E+00
TCGA_62_8397_01A	8.15E-01	8.15E-01
TCGA_62_8402_01A	1.75E+00	1.75E+00
TCGA_62_A46U_01A	1.19E+00	1.19E+00
TCGA_62_A46Y_01A	9.05E-01	9.05E-01
TCGA_67_6215_01A	5.68E+00	5.68E+00
TCGA_67_6216_01A	9.80E-01	9.81E-01
TCGA_71_8520_01A	1.72E+00	1.72E+00
TCGA_78_7540_01A	7.68E-01	7.71E-01
TCGA_86_7953_01A	1.09E+00	1.09E+00
TCGA_86_8075_01A	1.28E+00	1.28E+00
TCGA_86_8278_01A	7.77E-02	7.77E-02
TCGA_86_8280_01A	1.62E+00	1.62E+00
TCGA_86_8668_01A	1.10E+00	1.10E+00
TCGA_86_8671_01A	1.14E+00	1.14E+00
TCGA_86_A4P7_01A	1.38E+00	1.38E+00
TCGA_91_8496_01A	1.01E+00	1.01E+00
TCGA_97_8177_01A	1.16E+00	1.16E+00
TCGA_97_8552_01A	1.14E+00	1.14E+00
TCGA_97_A4M6_01A	8.88E-01	8.89E-01
TCGA_99_8033_01A	4.75E+00	4.75E+00
TCGA_J2_8192_01A	2.13E+00	2.13E+00
