Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_05_4402_01A	132	0.939	69.615	52.739%	12.176	35.566%	0.30512	0.929
TCGA_05_5715_01A	129	0.969	60.488	46.89%	10.201	29.314%	0.25439	0.968
TCGA_38_4628_01A	138	0.822	84.745	61.409%	12.909	57.388%	0.37289	0.688
TCGA_38_6178_01A	61	0.768	52.413	85.923%	7.053	64.118%	0.69934	0.631
TCGA_44_2661_01A	45	0.644	49.637	110.304%	6.999	76.824%	0.94437	0.472
TCGA_44_2665_01A	40	0.675	45.592	113.98%	6.979	74.396%	1.0894	0.578
TCGA_44_3919_01A	48	0.695	47.856	99.7%	6.879	73.33%	0.77541	0.555
TCGA_49_4501_01A	61	0.761	58.562	96.003%	9.571	66.523%	0.76168	0.714
TCGA_49_4512_01A	45	0.739	43.46	96.578%	6.569	67.397%	0.81259	0.647
TCGA_49_AAQV_01A	69	0.853	54.591	79.117%	8.33	52.164%	0.57292	0.814
TCGA_50_6591_01A	57	0.772	49.505	86.851%	6.999	63.627%	0.64776	0.663
TCGA_55_6986_01A	25	0.576	31.903	127.612%	5.362	81.77%	1.18744	0.462
TCGA_55_7816_01A	2	0.249	3.795	189.75%	1.371	96.944%	3.15996	0.21
TCGA_55_8087_01A	32	0.767	34.151	106.722%	5.43	66.839%	0.89579	0.74
TCGA_55_8619_01A	25	0.686	34.179	136.716%	6.494	77.07%	1.37313	0.696
TCGA_62_8394_01A	161	0.853	105.671	65.634%	14.61	53.455%	0.40684	0.765
TCGA_62_8397_01A	30	0.726	31.999	106.663%	4.585	69.121%	0.96021	0.637
TCGA_62_8402_01A	67	0.796	55.866	83.382%	8.105	60.921%	0.65825	0.713
TCGA_62_A46U_01A	52	0.76	48.958	94.15%	7.235	65.503%	0.76349	0.677
TCGA_62_A46Y_01A	39	0.677	41.395	106.141%	6.547	73.66%	1.01725	0.57
TCGA_67_6215_01A	119	0.41	130.704	109.835%	29.215	92.156%	1.09927	0.213
TCGA_67_6216_01A	34	0.748	35.189	103.497%	4.967	66.374%	0.96414	0.662
TCGA_71_8520_01A	95	0.817	76.94	80.989%	10.32	57.781%	0.56869	0.728
TCGA_78_7540_01A	33	0.757	38.021	115.215%	6.778	70.285%	0.94514	0.766
TCGA_86_7953_01A	55	0.708	52.601	95.638%	7.278	71.026%	0.82421	0.543
TCGA_86_8075_01A	48	0.757	49.747	103.64%	7.567	66.883%	0.8174	0.705
TCGA_86_8278_01A	123	0.945	71.152	57.847%	17.91	43.631%	0.31148	0.952
TCGA_86_8280_01A	49	0.691	50.051	102.145%	7.83	72.388%	0.84955	0.58
TCGA_86_8668_01A	41	0.657	48.024	117.132%	7.032	75.391%	1.08067	0.538
TCGA_86_8671_01A	36	0.715	37.208	103.356%	5.141	69.96%	0.9586	0.59
TCGA_86_A4P7_01A	69	0.87	49.007	71.025%	7.4	49.554%	0.49513	0.83
TCGA_91_8496_01A	38	0.694	41.266	108.595%	6.391	72.364%	0.93448	0.604
TCGA_97_8177_01A	42	0.697	44.293	105.46%	6.729	71.731%	0.8977	0.593
TCGA_97_8552_01A	51	0.597	58.448	114.604%	8.173	81.324%	1.00149	0.382
TCGA_97_A4M6_01A	38	0.687	39.934	105.089%	6.268	72.864%	0.94453	0.583
TCGA_99_8033_01A	190	0.746	126.028	66.331%	20.483	68.892%	0.39297	0.532
TCGA_J2_8192_01A	79	0.813	62.189	78.72%	8.607	58.428%	0.58399	0.719
