Samples	SBS96A	SBS96B	SBS96C
TCGA_05_4402_01A	1.38E+00	1.58E+00	8.17E-01
TCGA_05_5715_01A	1.45E+00	1.58E+00	8.06E-01
TCGA_38_4628_01A	3.76E+00	1.59E+00	3.76E+00
TCGA_38_6178_01A	1.88E+00	8.73E-01	1.73E+00
TCGA_44_2661_01A	1.53E+00	6.07E-01	1.53E+00
TCGA_44_2665_01A	1.15E+00	1.19E+00	1.19E+00
TCGA_44_3919_01A	1.18E+00	8.78E-01	1.23E+00
TCGA_49_4501_01A	1.91E+00	6.86E-01	1.84E+00
TCGA_49_4512_01A	1.24E+00	9.26E-01	1.06E+00
TCGA_49_AAQV_01A	1.59E+00	1.59E+00	1.01E+00
TCGA_50_6591_01A	1.66E+00	9.35E-01	1.59E+00
TCGA_55_6986_01A	9.24E-01	4.20E-01	9.41E-01
TCGA_55_7816_01A	9.67E-02	2.97E-02	9.67E-02
TCGA_55_8087_01A	1.10E+00	7.89E-01	8.78E-01
TCGA_55_8619_01A	7.93E-01	2.41E-01	7.91E-01
TCGA_62_8394_01A	3.53E+00	2.31E+00	3.46E+00
TCGA_62_8397_01A	9.80E-01	3.38E-01	9.15E-01
TCGA_62_8402_01A	2.05E+00	1.07E+00	1.94E+00
TCGA_62_A46U_01A	1.60E+00	8.84E-01	1.45E+00
TCGA_62_A46Y_01A	1.28E+00	5.54E-01	1.39E+00
TCGA_67_6215_01A	2.08E+00	4.15E+00	4.61E+00
TCGA_67_6216_01A	9.88E-01	8.56E-01	7.84E-01
TCGA_71_8520_01A	2.53E+00	1.03E+00	2.37E+00
TCGA_78_7540_01A	1.00E+00	1.81E-01	1.00E+00
TCGA_86_7953_01A	1.81E+00	6.34E-01	1.74E+00
TCGA_86_8075_01A	1.73E+00	7.84E-01	1.69E+00
TCGA_86_8278_01A	0.00E+00	2.49E-01	2.53E-01
TCGA_86_8280_01A	1.61E+00	4.30E-01	1.58E+00
TCGA_86_8668_01A	1.25E+00	5.39E-01	1.39E+00
TCGA_86_8671_01A	1.28E+00	7.05E-01	1.14E+00
TCGA_86_A4P7_01A	1.48E+00	1.19E+00	1.29E+00
TCGA_91_8496_01A	1.43E+00	6.79E-01	1.42E+00
TCGA_97_8177_01A	1.34E+00	8.71E-01	1.35E+00
TCGA_97_8552_01A	1.58E+00	6.80E-01	1.58E+00
TCGA_97_A4M6_01A	1.33E+00	4.66E-01	1.32E+00
TCGA_99_8033_01A	8.55E+00	2.50E+00	8.56E+00
TCGA_J2_8192_01A	2.36E+00	1.24E+00	2.27E+00
