Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA_05_4402_01A	94	0	0	0	38	0	0	0	0
TCGA_05_5715_01A	91	30	0	0	0	2	6	0	0
TCGA_38_4628_01A	7	0	107	13	0	0	0	9	2
TCGA_38_6178_01A	2	15	0	25	0	12	0	7	0
TCGA_44_2661_01A	0	2	0	18	15	2	0	0	8
TCGA_44_2665_01A	7	0	0	5	22	0	0	2	4
TCGA_44_3919_01A	13	0	24	5	0	0	6	0	0
TCGA_49_4501_01A	2	59	0	0	0	0	0	0	0
TCGA_49_4512_01A	0	0	0	0	28	15	0	0	2
TCGA_49_AAQV_01A	11	0	0	0	55	0	0	3	0
TCGA_50_6591_01A	0	0	26	7	8	10	0	0	6
TCGA_55_6986_01A	0	0	19	0	0	0	0	4	2
TCGA_55_7816_01A	0	0	0	0	0	2	0	0	0
TCGA_55_8087_01A	1	19	4	0	7	0	1	0	0
TCGA_55_8619_01A	0	2	0	0	0	23	0	0	0
TCGA_62_8394_01A	13	0	0	0	0	0	0	144	4
TCGA_62_8397_01A	0	27	0	2	0	0	0	0	1
TCGA_62_8402_01A	0	0	0	0	0	28	22	17	0
TCGA_62_A46U_01A	4	31	0	0	0	0	17	0	0
TCGA_62_A46Y_01A	0	0	0	4	0	29	0	0	6
TCGA_67_6215_01A	0	0	0	0	0	0	0	0	119
TCGA_67_6216_01A	10	0	20	0	0	0	4	0	0
TCGA_71_8520_01A	12	50	11	9	1	0	10	0	2
TCGA_78_7540_01A	0	24	0	0	0	9	0	0	0
TCGA_86_7953_01A	0	0	6	9	25	0	15	0	0
TCGA_86_8075_01A	0	0	0	0	0	31	0	17	0
TCGA_86_8278_01A	116	3	0	0	0	0	0	0	4
TCGA_86_8280_01A	0	0	0	0	0	0	49	0	0
TCGA_86_8668_01A	4	0	0	0	0	37	0	0	0
TCGA_86_8671_01A	0	8	8	0	0	4	8	8	0
TCGA_86_A4P7_01A	17	0	23	0	25	0	0	4	0
TCGA_91_8496_01A	0	0	0	0	14	24	0	0	0
TCGA_97_8177_01A	5	8	0	0	0	0	23	4	2
TCGA_97_8552_01A	1	0	0	0	0	0	50	0	0
TCGA_97_A4M6_01A	2	0	0	8	0	5	16	5	2
TCGA_99_8033_01A	0	0	0	190	0	0	0	0	0
TCGA_J2_8192_01A	0	25	49	0	5	0	0	0	0
