NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	45.742	88.104	8.647	62.482	0.714	0.699	30000.0
2	44.436	87.149	8.448	61.297	0.684	0.725	20000.0
3	44.218	87.576	8.517	62.878	0.713	0.692	30000.0
4	44.242	85.996	8.375	61.033	0.697	0.72	20000.0
5	44.793	87.959	8.336	62.532	0.718	0.692	30000.0
6	44.705	86.724	8.507	61.584	0.67	0.72	20000.0
7	42.657	83.788	8.077	60.537	0.675	0.718	30000.0
8	45.078	84.772	8.702	60.775	0.657	0.739	20000.0
9	43.357	84.785	8.262	61.275	0.679	0.708	20000.0
10	44.017	84.028	8.338	59.354	0.665	0.735	30000.0
11	43.581	84.734	8.276	60.813	0.654	0.727	30000.0
12	44.105	84.458	8.272	60.361	0.673	0.727	20000.0
13	44.073	86.413	8.491	62.08	0.726	0.7	20000.0
14	45.297	86.574	8.372	61.769	0.686	0.71	20000.0
15	44.92	84.777	8.583	61.778	0.659	0.717	20000.0
16	43.271	84.194	8.352	60.805	0.674	0.718	20000.0
17	44.426	83.079	8.177	58.46	0.637	0.754	30000.0
18	43.85	85.673	8.241	61.958	0.696	0.701	20000.0
19	44.523	88.001	8.605	62.145	0.731	0.702	20000.0
20	41.835	83.467	7.913	59.343	0.676	0.73	50000.0
21	44.299	85.149	8.318	61.905	0.679	0.704	50000.0
22	45.069	87.428	8.605	62.509	0.689	0.705	20000.0
23	43.294	87.567	8.38	62.423	0.751	0.69	30000.0
24	43.518	84.669	8.318	60.263	0.681	0.73	40000.0
25	45.84	86.506	8.447	61.443	0.692	0.713	20000.0
26	45.522	89.381	8.61	62.591	0.725	0.695	30000.0
27	42.222	82.386	8.086	58.818	0.649	0.744	20000.0
28	44.447	86.912	8.218	61.025	0.692	0.715	20000.0
29	44.187	86.699	8.393	61.321	0.691	0.717	40000.0
30	46.364	86.224	8.864	62.037	0.685	0.72	30000.0
31	44.21	86.258	8.289	61.59	0.693	0.7	20000.0
32	47.913	89.44	9.059	64.896	0.694	0.685	20000.0
33	44.889	84.875	8.367	59.958	0.648	0.736	30000.0
34	43.78	85.282	8.181	59.824	0.681	0.728	70000.0
35	46.154	87.573	8.686	61.636	0.707	0.719	30000.0
36	44.691	83.459	8.436	60.53	0.641	0.731	20000.0
37	43.421	83.536	8.112	60.153	0.654	0.726	20000.0
38	43.949	84.577	8.227	60.306	0.657	0.722	20000.0
39	43.918	85.724	8.256	59.97	0.708	0.727	20000.0
40	43.817	84.479	8.11	60.108	0.653	0.725	20000.0
41	44.584	84.575	8.509	61.175	0.666	0.721	30000.0
42	44.51	86.215	8.473	62.109	0.681	0.711	20000.0
43	43.709	86.274	8.425	61.778	0.684	0.712	30000.0
44	45.644	88.995	8.579	62.48	0.715	0.701	30000.0
45	45.486	86.428	8.516	61.688	0.703	0.71	30000.0
46	45.308	84.602	8.489	61.581	0.656	0.722	20000.0
47	44.07	82.411	8.307	59.249	0.641	0.748	20000.0
