MutationType	DBS78A
AC>CA	1.3222238594607916e-05
AC>CG	1.3222238585512969e-05
AC>CT	1.3222238603702863e-05
AC>GA	1.322223861279781e-05
AC>GG	1.3222238576418022e-05
AC>GT	1.3222238594607916e-05
AC>TA	0.008166434527011006
AC>TG	1.322223861279781e-05
AC>TT	0.007064619996799593
AT>CA	1.3222238621892756e-05
AT>CC	1.3222238594607916e-05
AT>CG	1.322223861279781e-05
AT>GA	1.3222238603702863e-05
AT>GC	1.3222238567323075e-05
AT>TA	0.007578796817406328
CC>AA	0.4641020408272743
CC>AG	0.07317242689430714
CC>AT	0.07662419741041958
CC>GA	0.014777128335836096
CC>GG	1.322223861279781e-05
CC>GT	0.0073584202839901995
CC>TA	0.013748722090622324
CC>TG	1.322223854913318e-05
CC>TT	0.04401126955635846
CG>AT	0.007211512142621359
CG>GC	0.007872585912746217
CG>GT	0.008607141470038186
CG>TA	1.3222238594607916e-05
CG>TC	1.3222238594607916e-05
CG>TT	0.03644548553042114
CT>AA	0.0362250167876482
CT>AC	1.3222238603702863e-05
CT>AG	0.015291225049422793
CT>GA	1.3222238594607916e-05
CT>GC	1.3222238594607916e-05
CT>GG	1.3222238558228127e-05
CT>TA	0.01543820000649248
CT>TC	1.3222238576418022e-05
CT>TG	1.322223861279781e-05
GC>AA	0.03145103423390538
GC>AG	1.3222238540038233e-05
GC>AT	1.3222238603702863e-05
GC>CA	0.00596280610172471
GC>CG	1.3222238603702863e-05
GC>TA	1.322223861279781e-05
TA>AT	1.3222238603702863e-05
TA>CG	1.3222238540038233e-05
TA>CT	1.3222238594607916e-05
TA>GC	1.3222238594607916e-05
TA>GG	1.322223861279781e-05
TA>GT	1.3222238603702863e-05
TC>AA	0.012940761106237915
TC>AG	0.007138055005461865
TC>AT	0.007946031611518266
TC>CA	0.0075053257615854815
TC>CG	1.3222238585512969e-05
TC>CT	0.009268226962612971
TC>GA	1.3222238603702863e-05
TC>GG	1.322223861279781e-05
TC>GT	1.3222238585512969e-05
TG>AA	0.016393046735229292
TG>AC	1.3222238594607916e-05
TG>AT	0.021020429457730642
TG>CA	1.3222238594607916e-05
TG>CC	1.3222238630987703e-05
TG>CT	0.02917368821558739
TG>GA	1.3222238594607916e-05
TG>GC	1.3222238594607916e-05
TG>GT	1.322223861279781e-05
TT>AA	1.322223861279781e-05
TT>AC	1.322223854913318e-05
TT>AG	0.006844265133640875
TT>CA	1.3222238567323075e-05
TT>CC	1.3222238540038233e-05
TT>CG	1.3222238603702863e-05
TT>GA	1.3222238603702863e-05
TT>GC	1.3222238731032121e-05
TT>GG	1.3222238685557386e-05
