NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	7.226	102.275	2.714	64.036	1.046	0.756	20000.0
2	7.469	106.496	2.836	67.131	1.181	0.714	20000.0
3	8.48	119.738	3.145	74.042	1.31	0.663	20000.0
4	7.294	101.316	2.719	62.801	1.122	0.772	20000.0
5	7.248	100.746	2.713	62.453	1.095	0.771	20000.0
6	7.187	103.991	2.799	64.806	1.212	0.74	20000.0
7	7.444	106.23	2.837	67.129	1.079	0.718	40000.0
8	8.025	119.403	3.081	72.792	1.451	0.633	20000.0
9	7.387	109.414	2.796	65.479	1.29	0.719	20000.0
10	7.403	108.133	2.801	65.82	1.207	0.723	20000.0
11	7.486	107.503	2.835	67.902	1.258	0.697	20000.0
12	7.238	107.086	2.804	67.542	1.221	0.703	20000.0
13	7.006	100.813	2.666	60.028	1.138	0.762	20000.0
14	7.664	106.446	2.88	66.699	1.211	0.739	20000.0
15	7.416	105.772	2.727	63.878	1.19	0.736	20000.0
16	8.405	119.894	3.18	74.91	1.369	0.634	20000.0
17	7.2	100.394	2.714	62.187	1.072	0.768	20000.0
18	7.637	111.171	3.027	68.169	1.337	0.694	20000.0
19	7.84	116.531	2.854	69.029	1.341	0.67	20000.0
20	6.941	99.242	2.645	61.753	1.078	0.759	30000.0
21	7.931	109.055	2.839	66.09	1.211	0.732	20000.0
22	7.762	113.805	3.001	72.334	1.295	0.658	20000.0
23	7.335	100.706	2.754	61.88	1.083	0.783	20000.0
24	7.905	111.684	2.932	68.675	1.244	0.709	20000.0
25	7.247	101.512	2.662	63.661	1.104	0.749	20000.0
26	7.263	105.447	2.662	67.627	1.255	0.709	20000.0
27	8.457	118.15	3.129	70.658	1.348	0.678	20000.0
28	7.474	104.136	2.779	63.806	1.163	0.759	20000.0
29	7.702	115.223	3.006	69.197	1.356	0.648	20000.0
30	7.793	114.914	3.035	70.495	1.349	0.658	20000.0
