MutationType	DBS78A	DBS78B	DBS78C
AC>CA	2.07E-07	1.95E-07	3.29E-07
AC>CG	2.07E-07	1.95E-07	3.29E-07
AC>CT	2.07E-07	1.95E-07	3.29E-07
AC>GA	2.07E-07	1.95E-07	3.29E-07
AC>GG	2.07E-07	1.95E-07	3.29E-07
AC>GT	2.07E-07	1.95E-07	3.29E-07
AC>TA	1.11E-03	2.04E-03	2.86E-03
AC>TG	2.07E-07	1.95E-07	3.29E-07
AC>TT	1.79E-03	9.82E-04	1.92E-03
AT>CA	2.07E-07	1.95E-07	3.29E-07
AT>CC	2.07E-07	1.95E-07	3.29E-07
AT>CG	2.07E-07	1.95E-07	3.29E-07
AT>GA	2.07E-07	1.95E-07	3.29E-07
AT>GC	2.07E-07	1.95E-07	3.29E-07
AT>TA	9.62E-04	1.20E-03	4.47E-03
CC>AA	1.55E-02	1.49E-02	1.68E-02
CC>AG	3.42E-03	9.73E-03	1.28E-02
CC>AT	8.18E-03	3.82E-03	7.14E-03
CC>GA	2.27E-03	2.11E-03	5.16E-03
CC>GG	2.07E-07	1.95E-07	3.29E-07
CC>GT	6.79E-04	2.04E-03	2.53E-03
CC>TA	2.68E-03	2.19E-03	3.73E-03
CC>TG	2.07E-07	1.95E-07	3.29E-07
CC>TT	2.27E-03	3.89E-03	1.18E-02
CG>AT	1.67E-03	1.33E-03	2.93E-03
CG>GC	1.37E-03	9.95E-04	4.25E-03
CG>GT	2.07E-03	2.36E-03	2.71E-03
CG>TA	2.07E-07	1.95E-07	3.29E-07
CG>TC	2.07E-07	1.95E-07	3.29E-07
CG>TT	4.78E-03	4.82E-03	6.22E-03
CT>AA	5.56E-03	3.63E-03	4.51E-03
CT>AC	2.07E-07	1.95E-07	3.29E-07
CT>AG	2.10E-03	3.07E-03	5.53E-03
CT>GA	2.07E-07	1.95E-07	3.29E-07
CT>GC	2.07E-07	1.95E-07	3.29E-07
CT>GG	2.07E-07	1.95E-07	3.29E-07
CT>TA	7.04E-04	1.88E-03	5.92E-03
CT>TC	2.07E-07	1.95E-07	3.29E-07
CT>TG	2.07E-07	1.95E-07	3.29E-07
GC>AA	4.29E-03	4.75E-03	7.85E-03
GC>AG	2.07E-07	1.95E-07	3.29E-07
GC>AT	2.07E-07	1.95E-07	3.29E-07
GC>CA	1.85E-03	1.03E-03	1.74E-03
GC>CG	2.07E-07	1.95E-07	3.29E-07
GC>TA	2.07E-07	1.95E-07	3.29E-07
TA>AT	2.07E-07	1.95E-07	3.29E-07
TA>CG	2.07E-07	1.95E-07	3.29E-07
TA>CT	2.07E-07	1.95E-07	3.29E-07
TA>GC	2.07E-07	1.95E-07	3.29E-07
TA>GG	2.07E-07	1.95E-07	3.29E-07
TA>GT	2.07E-07	1.95E-07	3.29E-07
TC>AA	2.40E-03	2.48E-03	3.49E-03
TC>AG	4.78E-04	1.74E-03	2.80E-03
TC>AT	1.79E-03	1.72E-03	2.60E-03
TC>CA	1.41E-03	1.79E-03	3.77E-03
TC>CG	2.07E-07	1.95E-07	3.29E-07
TC>CT	1.68E-03	2.05E-03	1.81E-03
TC>GA	2.07E-07	1.95E-07	3.29E-07
TC>GG	2.07E-07	1.95E-07	3.29E-07
TC>GT	2.07E-07	1.95E-07	3.29E-07
TG>AA	3.46E-03	2.67E-03	4.58E-03
TG>AC	2.07E-07	1.95E-07	3.29E-07
TG>AT	1.79E-03	2.67E-03	6.05E-03
TG>CA	2.07E-07	1.95E-07	3.29E-07
TG>CC	2.07E-07	1.95E-07	3.29E-07
TG>CT	3.93E-03	4.06E-03	8.12E-03
TG>GA	2.07E-07	1.95E-07	3.29E-07
TG>GC	2.07E-07	1.95E-07	3.29E-07
TG>GT	2.07E-07	1.95E-07	3.29E-07
TT>AA	2.07E-07	1.95E-07	3.29E-07
TT>AC	2.07E-07	1.95E-07	3.29E-07
TT>AG	1.63E-03	1.46E-03	1.35E-03
TT>CA	2.07E-07	1.95E-07	3.29E-07
TT>CC	2.07E-07	1.95E-07	3.29E-07
TT>CG	2.07E-07	1.95E-07	3.29E-07
TT>GA	2.07E-07	1.95E-07	3.29E-07
TT>GC	2.07E-07	1.95E-07	3.29E-07
TT>GG	2.07E-07	1.95E-07	3.29E-07
