Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
TCGA_44_A479_01A	3.54E-01	5.00E-02	3.02E-01	1.99E-01	2.68E-01	1.10E-01	1.64E-01	0.00E+00
TCGA_49_AARE_01A	3.45E-01	5.79E-01	2.62E-01	1.23E-01	1.00E-02	4.09E-01	2.87E-01	1.98E-01
TCGA_49_AARN_01A	1.43E-01	2.83E-01	7.21E-02	5.00E-02	5.80E-02	1.11E-01	3.21E-01	1.47E-01
TCGA_49_AARO_01A	4.80E-01	2.47E-01	8.00E-02	5.58E-01	3.05E-01	4.34E-01	9.99E-02	0.00E+00
TCGA_49_AARQ_01A	4.25E-01	3.98E-01	5.21E-01	1.46E-01	2.00E-02	2.93E-01	2.61E-01	2.68E-01
TCGA_4B_A93V_01A	1.05E-01	1.00E-02	3.59E-02	8.59E-02	1.30E-01	5.98E-02	2.00E-02	3.83E-02
TCGA_55_7913_01B	2.11E-01	3.00E-02	6.08E-02	2.20E-01	8.44E-02	6.01E-02	6.11E-02	4.86E-02
TCGA_55_8508_01A	1.87E-01	2.57E-01	8.45E-02	8.29E-02	5.63E-02	3.01E-01	9.14E-02	7.47E-02
TCGA_55_8514_01A	0.00E+00	1.00E-02	1.00E-02	0.00E+00	0.00E+00	4.64E-02	7.25E-02	8.54E-02
TCGA_69_A59K_01A	2.36E-01	5.00E-02	3.40E-01	3.41E-01	2.61E-01	2.30E-01	9.33E-02	5.00E-02
TCGA_86_7714_01A	3.59E-02	1.71E-02	1.71E-02	2.56E-02	1.00E-02	1.00E-02	0.00E+00	0.00E+00
TCGA_99_8025_01A	2.05E-01	4.98E-02	2.63E-01	1.16E-01	2.26E-01	1.60E-01	1.37E-01	6.11E-02
TCGA_99_8028_01A	2.66E-01	1.86E-01	9.27E-02	6.46E-02	1.91E-01	8.12E-02	4.52E-02	0.00E+00
TCGA_99_AA5R_01A	7.97E-02	4.64E-02	5.57E-02	6.33E-02	5.14E-02	5.45E-02	7.78E-02	5.32E-02
TCGA_L9_A5IP_01A	1.01E-01	1.68E-01	4.73E-02	7.78E-02	3.15E-02	1.47E-01	1.18E-01	6.87E-02
TCGA_L9_A8F4_01A	2.90E-01	0.00E+00	4.12E-01	3.82E-01	4.19E-01	9.40E-02	3.61E-01	6.67E-02
TCGA_NJ_A4YF_01A	1.89E-01	7.04E-02	1.51E-01	1.29E-01	2.27E-01	2.59E-01	3.34E-01	2.18E-01
TCGA_S2_AA1A_01A	1.28E-01	5.93E-02	1.02E-01	1.82E-01	2.00E-01	9.36E-02	1.03E-01	2.43E-02
