Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_44_A479_01A	9	0.987	3.67	40.778%	1.109	17.758%	0.32594	0.986
TCGA_49_AARE_01A	14	0.983	5.616	40.114%	1.536	19.507%	0.31834	0.982
TCGA_49_AARN_01A	8	0.969	5.367	67.088%	1.532	36.11%	0.41922	0.972
TCGA_49_AARO_01A	15	0.989	5.722	38.147%	1.511	16.2%	0.2987	0.989
TCGA_49_AARQ_01A	13	0.969	6.195	47.654%	1.615	24.629%	0.41008	0.968
TCGA_4B_A93V_01A	3	0.835	1.925	64.167%	0.972	56.118%	0.68408	0.828
TCGA_55_7913_01B	5	0.962	2.775	55.5%	1.021	30.784%	0.45414	0.961
TCGA_55_8508_01A	7	0.972	3.848	54.971%	1.073	29.76%	0.35938	0.972
TCGA_55_8514_01A	5	0.977	2.451	49.02%	0.73	27.591%	0.29525	0.977
TCGA_69_A59K_01A	9	0.961	5.623	62.478%	1.462	31.903%	0.48989	0.96
TCGA_86_7714_01A	1	0.999	0.292	29.2%	0.151	15.1%	0.15801	0.999
TCGA_99_8025_01A	7	0.942	3.681	52.586%	1.228	34.059%	0.48365	0.939
TCGA_99_8028_01A	7	0.994	3.064	43.771%	1.379	26.539%	0.25204	0.995
TCGA_99_AA5R_01A	2	0.723	1.871	93.55%	0.982	69.438%	1.32896	0.714
TCGA_L9_A5IP_01A	4	0.786	3.266	81.65%	1.266	63.3%	0.79478	0.774
TCGA_L9_A8F4_01A	13	0.979	6.607	50.823%	1.681	25.059%	0.36116	0.979
TCGA_NJ_A4YF_01A	9	0.927	6.157	68.411%	1.551	40.047%	0.527	0.923
TCGA_S2_AA1A_01A	5	0.92	2.863	57.26%	1.069	40.404%	0.58207	0.916
