Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
TCGA_44_5645_01A	4.47E-02	2.97E-02	6.03E-02	0.00E+00	4.79E-02	4.24E-02	5.26E-02	9.30E-02	4.33E-02	1.97E-02
TCGA_44_A479_01A	2.37E-01	2.69E-01	2.18E-01	7.00E-02	5.17E-02	3.55E-01	4.24E-01	2.63E-01	4.02E-01	2.43E-01
TCGA_49_4510_01A	0.00E+00	6.86E-02	5.34E-02	7.44E-02	6.91E-02	1.77E-01	1.00E-01	9.36E-02	7.44E-02	1.80E-01
TCGA_49_AARE_01A	2.71E+00	8.82E-01	8.63E-01	2.02E-01	1.64E+00	2.38E-01	6.54E-01	7.11E-01	1.62E+00	3.71E-01
TCGA_49_AARN_01A	6.28E-01	4.88E-01	4.67E-01	1.49E-01	2.76E-01	3.58E-01	1.57E-01	7.54E-01	4.16E-01	3.38E-01
TCGA_49_AARO_01A	1.11E-01	2.37E-01	1.30E-01	3.59E-02	2.18E-01	6.56E-02	6.68E-02	2.36E-01	5.77E-02	1.48E-01
TCGA_49_AARQ_01A	2.79E-01	9.99E-02	4.09E-01	6.74E-02	2.34E-01	2.15E-01	1.91E-01	3.17E-01	3.61E-01	1.09E-01
TCGA_4B_A93V_01A	1.88E-01	2.72E-01	9.02E-02	1.10E-01	1.16E-01	1.42E-01	5.06E-02	2.80E-01	1.41E-01	1.57E-01
TCGA_50_8457_01A	0.00E+00	8.61E-02	4.00E-02	1.20E-01	1.16E-01	3.19E-01	9.33E-02	1.19E-01	1.38E-01	3.22E-01
TCGA_55_7910_01A	1.43E-01	1.74E-01	1.64E-01	1.22E-01	9.91E-02	0.00E+00	3.36E-01	2.89E-01	7.70E-02	1.00E-02
TCGA_55_7913_01B	2.51E-01	3.79E-01	1.43E-01	2.75E-01	3.03E-01	3.11E-01	1.43E-01	1.77E-01	2.18E-01	3.27E-01
TCGA_55_8508_01A	3.16E-01	2.09E-01	5.56E-01	2.09E-01	7.34E-02	1.52E-01	4.46E-01	1.30E-01	4.04E-01	2.16E-01
TCGA_55_8514_01A	4.40E-01	3.74E-01	2.74E-01	1.51E-01	4.00E-01	1.73E-01	8.00E-02	3.71E-01	3.43E-01	2.19E-01
TCGA_69_8253_01A	6.72E-02	5.14E-02	4.64E-02	7.39E-02	7.60E-02	1.36E-01	6.09E-02	7.33E-02	7.16E-02	1.10E-01
TCGA_69_A59K_01A	2.24E-01	1.33E-01	5.46E-01	3.00E-02	5.09E-01	4.06E-01	5.50E-01	1.64E-01	7.82E-01	4.46E-01
TCGA_86_7714_01A	1.35E-01	0.00E+00	0.00E+00	0.00E+00	1.22E-01	3.75E-01	1.04E-01	1.29E-01	8.69E-02	3.97E-01
TCGA_99_8025_01A	8.00E-02	1.20E-01	4.95E-01	1.00E-02	2.50E-01	2.69E-01	1.50E-01	9.35E-02	4.55E-01	1.71E-01
TCGA_99_8028_01A	3.21E-01	0.00E+00	3.00E-01	5.17E-02	4.17E-01	1.00E-01	5.08E-01	1.93E-01	1.54E-01	8.10E-02
TCGA_99_AA5R_01A	4.14E-02	8.97E-02	8.09E-02	0.00E+00	2.00E-02	0.00E+00	2.81E-02	1.00E-02	2.97E-02	1.00E-02
TCGA_L9_A5IP_01A	2.12E-01	0.00E+00	5.28E-01	0.00E+00	4.01E-01	2.00E-02	3.89E-01	3.58E-01	4.22E-01	1.17E-01
TCGA_L9_A8F4_01A	3.56E-01	2.19E-01	8.69E-02	7.12E-01	8.69E-02	1.74E-01	4.51E-01	1.52E-01	8.29E-02	2.00E-02
TCGA_NJ_A4YF_01A	6.99E-01	7.85E-01	4.22E-01	0.00E+00	7.75E-02	1.00E-02	1.13E-01	1.23E-01	2.03E-01	6.74E-02
TCGA_S2_AA1A_01A	4.93E-02	2.00E-02	2.97E-02	4.35E-02	9.13E-02	3.26E-02	4.04E-02	5.00E-02	4.56E-02	4.04E-02
