MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
1:Del:C:1	1.41E-02	1.47E-02	1.84E-02	7.86E-03	1.40E-02	5.75E-03	1.52E-02	1.13E-02	1.34E-02	5.16E-03
1:Del:C:2	1.05E-02	1.53E-02	4.38E-03	7.04E-03	4.72E-03	7.13E-03	4.48E-03	1.08E-02	4.67E-03	6.32E-03
1:Del:C:3	6.04E-03	4.22E-03	7.43E-03	3.06E-03	2.02E-02	3.85E-03	6.12E-03	8.84E-03	7.16E-03	5.41E-03
1:Del:C:4	3.65E-03	1.26E-03	7.09E-03	2.90E-03	3.70E-03	4.96E-03	9.32E-03	6.70E-03	8.35E-03	2.01E-03
1:Del:C:5	3.85E-03	1.55E-03	2.31E-03	1.90E-07	4.13E-03	9.83E-03	7.02E-03	4.22E-03	7.02E-03	8.29E-03
1:Del:T:0	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
1:Del:T:1	9.40E-03	9.15E-03	3.13E-03	7.55E-03	1.15E-02	3.28E-03	7.65E-03	1.73E-02	6.87E-03	7.98E-03
1:Del:T:2	5.82E-03	8.08E-04	5.12E-04	1.63E-04	5.50E-03	6.65E-03	2.33E-03	3.61E-03	4.27E-03	1.17E-02
1:Del:T:3	1.05E-03	2.79E-04	1.42E-03	2.04E-07	1.81E-03	2.27E-03	2.29E-03	9.08E-04	2.48E-03	1.88E-03
1:Del:T:4	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
1:Del:T:5	2.81E-03	1.08E-03	9.67E-04	8.90E-04	5.50E-03	5.20E-03	1.77E-03	1.68E-03	2.01E-03	2.00E-03
1:Ins:C:0	1.99E-03	8.70E-04	1.12E-03	1.44E-03	3.56E-03	1.44E-03	2.32E-03	2.88E-03	2.10E-03	1.15E-03
1:Ins:C:1	2.34E-03	9.50E-04	1.48E-03	3.24E-03	1.64E-03	1.69E-03	2.73E-04	2.28E-03	6.46E-04	1.47E-03
1:Ins:C:2	4.47E-07	1.09E-03	3.15E-07	1.06E-03	2.86E-04	3.53E-03	5.98E-04	1.96E-03	1.68E-03	6.27E-03
1:Ins:C:3	3.85E-07	1.79E-04	2.40E-03	5.00E-03	2.17E-03	4.95E-03	1.99E-03	1.50E-03	4.88E-03	7.55E-03
1:Ins:C:4	3.05E-03	6.50E-04	3.27E-03	7.79E-04	4.32E-03	4.71E-03	3.67E-03	3.13E-03	3.70E-03	2.74E-03
1:Ins:C:5	2.05E-03	2.40E-03	9.84E-04	2.25E-07	5.80E-07	5.73E-07	4.41E-07	6.56E-04	7.28E-04	4.76E-04
1:Ins:T:0	3.88E-03	8.82E-04	6.02E-03	3.27E-03	3.78E-03	3.26E-03	5.71E-03	6.78E-03	8.97E-03	3.29E-03
1:Ins:T:1	5.21E-03	4.77E-03	4.87E-03	4.08E-03	6.60E-03	4.07E-03	4.92E-03	1.94E-02	3.58E-03	1.75E-03
1:Ins:T:2	9.70E-03	4.99E-03	5.41E-03	8.22E-04	1.05E-02	6.29E-03	9.63E-03	2.29E-03	2.88E-03	6.02E-03
1:Ins:T:3	2.52E-03	7.01E-04	5.52E-04	1.09E-03	2.01E-03	5.80E-07	9.31E-04	6.84E-07	1.65E-03	8.15E-04
1:Ins:T:4	2.67E-03	2.69E-04	1.18E-03	3.64E-04	2.32E-03	5.51E-07	4.80E-04	3.52E-04	9.61E-04	1.07E-03
1:Ins:T:5	4.40E-03	3.38E-03	3.55E-03	1.16E-06	3.94E-03	3.85E-03	6.12E-03	4.05E-03	8.73E-03	3.59E-03
2:Del:R:0	1.61E-03	9.38E-04	8.68E-07	7.50E-03	5.00E-03	1.88E-03	1.54E-03	6.72E-04	1.94E-03	2.73E-03
2:Del:R:1	4.22E-07	2.76E-07	2.92E-07	3.06E-03	6.34E-07	2.87E-04	4.12E-04	5.20E-07	3.31E-07	5.40E-07
2:Del:R:2	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
2:Del:R:3	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
2:Del:R:4	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
2:Del:R:5	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
3:Del:R:0	9.37E-04	2.85E-07	3.09E-07	4.68E-03	5.75E-07	2.87E-04	9.68E-04	5.18E-07	3.36E-07	5.36E-07
3:Del:R:1	2.07E-03	8.83E-04	7.88E-04	2.00E-03	1.70E-03	2.16E-03	3.40E-03	3.33E-03	1.41E-03	3.51E-03
3:Del:R:2	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
3:Del:R:3	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
3:Del:R:4	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
3:Del:R:5	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
4:Del:R:0	4.52E-03	5.73E-04	2.18E-03	3.78E-03	7.16E-03	3.43E-03	3.32E-03	2.40E-03	3.03E-03	3.07E-03
4:Del:R:1	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
4:Del:R:2	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
4:Del:R:3	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
4:Del:R:4	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
4:Del:R:5	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
5:Del:R:0	6.19E-03	5.89E-03	4.82E-03	4.18E-03	5.23E-03	2.24E-02	6.63E-03	1.01E-02	1.16E-02	1.66E-02
5:Del:R:1	4.80E-07	2.74E-07	2.88E-07	2.92E-03	6.54E-07	2.87E-04	5.55E-04	5.32E-07	3.41E-07	5.04E-07
5:Del:R:2	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
5:Del:R:3	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
5:Del:R:4	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
5:Del:R:5	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
2:Ins:R:0	5.98E-04	1.14E-03	5.89E-03	1.41E-03	1.90E-03	2.78E-03	1.76E-03	4.68E-04	4.38E-03	3.07E-03
2:Ins:R:1	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
2:Ins:R:2	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
2:Ins:R:3	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
2:Ins:R:4	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
2:Ins:R:5	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
3:Ins:R:0	1.95E-03	5.14E-04	2.63E-03	7.11E-04	4.42E-03	5.39E-04	6.60E-03	4.13E-03	3.44E-03	8.74E-04
3:Ins:R:1	1.34E-03	4.50E-07	2.50E-03	1.86E-03	1.09E-03	5.34E-03	4.98E-03	4.17E-03	2.25E-03	8.17E-03
3:Ins:R:2	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
3:Ins:R:3	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
3:Ins:R:4	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
3:Ins:R:5	4.84E-07	2.71E-07	3.20E-07	1.95E-07	6.34E-07	4.95E-07	3.93E-07	5.23E-07	3.53E-07	5.15E-07
