Samples	ID83A	ID83B	ID83C
TCGA_44_5645_01A	1	0	1
TCGA_44_A479_01A	3	3	8
TCGA_49_4510_01A	0	0	4
TCGA_49_AARE_01A	29	26	8
TCGA_49_AARN_01A	15	2	8
TCGA_49_AARO_01A	8	0	0
TCGA_49_AARQ_01A	0	11	1
TCGA_4B_A93V_01A	6	0	2
TCGA_50_8457_01A	0	0	7
TCGA_55_7910_01A	5	4	0
TCGA_55_7913_01B	8	0	6
TCGA_55_8508_01A	1	14	0
TCGA_55_8514_01A	10	5	0
TCGA_69_8253_01A	0	0	3
TCGA_69_A59K_01A	0	14	5
TCGA_86_7714_01A	0	0	9
TCGA_99_8025_01A	0	10	2
TCGA_99_8028_01A	0	12	0
TCGA_99_AA5R_01A	2	0	0
TCGA_L9_A5IP_01A	0	14	0
TCGA_L9_A8F4_01A	29	2	1
TCGA_NJ_A4YF_01A	21	0	0
TCGA_S2_AA1A_01A	0	2	0
