MutationType	ID83A	ID83B	ID83C
1:Del:C:0	1.40E-07	1.84E-07	3.20E-07
1:Del:C:1	7.93E-03	8.94E-03	9.55E-03
1:Del:C:2	8.09E-03	4.90E-03	8.39E-03
1:Del:C:3	4.08E-03	6.41E-03	5.40E-03
1:Del:C:4	2.24E-03	3.39E-03	2.08E-03
1:Del:C:5	1.55E-03	2.03E-03	3.62E-03
1:Del:T:0	1.40E-07	1.84E-07	3.20E-07
1:Del:T:1	5.55E-03	4.65E-03	6.12E-03
1:Del:T:2	2.01E-03	2.15E-03	3.84E-03
1:Del:T:3	5.84E-04	8.40E-04	1.17E-03
1:Del:T:4	1.40E-07	1.84E-07	3.20E-07
1:Del:T:5	9.86E-04	8.78E-04	1.30E-03
1:Ins:C:0	1.13E-03	9.59E-04	1.31E-03
1:Ins:C:1	1.41E-03	1.26E-03	1.33E-03
1:Ins:C:2	5.37E-04	7.95E-04	1.25E-03
1:Ins:C:3	6.85E-04	1.12E-03	1.74E-03
1:Ins:C:4	1.27E-03	1.84E-03	1.47E-03
1:Ins:C:5	8.41E-04	3.43E-04	5.19E-04
1:Ins:T:0	1.88E-03	3.12E-03	3.01E-03
1:Ins:T:1	5.11E-03	3.90E-03	5.31E-03
1:Ins:T:2	3.13E-03	2.77E-03	3.68E-03
1:Ins:T:3	8.50E-04	1.12E-03	1.42E-03
1:Ins:T:4	8.03E-04	1.26E-03	1.11E-03
1:Ins:T:5	2.04E-03	2.71E-03	2.66E-03
2:Del:R:0	3.41E-03	2.95E-03	3.58E-03
2:Del:R:1	9.05E-04	9.64E-04	8.48E-04
2:Del:R:2	1.40E-07	1.84E-07	3.20E-07
2:Del:R:3	1.40E-07	1.84E-07	3.20E-07
2:Del:R:4	1.40E-07	1.84E-07	3.20E-07
2:Del:R:5	1.40E-07	1.84E-07	3.20E-07
3:Del:R:0	1.25E-03	1.34E-03	1.75E-03
3:Del:R:1	5.66E-04	8.19E-04	9.31E-04
3:Del:R:2	1.40E-07	1.84E-07	3.20E-07
3:Del:R:3	1.40E-07	1.84E-07	3.20E-07
3:Del:R:4	1.40E-07	1.84E-07	3.20E-07
3:Del:R:5	1.40E-07	1.84E-07	3.20E-07
4:Del:R:0	1.81E-03	1.57E-03	1.79E-03
4:Del:R:1	1.40E-07	1.84E-07	3.20E-07
4:Del:R:2	1.40E-07	1.84E-07	3.20E-07
4:Del:R:3	1.40E-07	1.84E-07	3.20E-07
4:Del:R:4	1.40E-07	1.84E-07	3.20E-07
4:Del:R:5	1.40E-07	1.84E-07	3.20E-07
5:Del:R:0	4.65E-03	4.77E-03	1.21E-02
5:Del:R:1	8.95E-04	5.19E-04	8.62E-04
5:Del:R:2	1.40E-07	1.84E-07	3.20E-07
5:Del:R:3	1.40E-07	1.84E-07	3.20E-07
5:Del:R:4	1.40E-07	1.84E-07	3.20E-07
5:Del:R:5	1.40E-07	1.84E-07	3.20E-07
2:Ins:R:0	7.68E-04	7.45E-04	1.73E-03
2:Ins:R:1	1.40E-07	1.84E-07	3.20E-07
2:Ins:R:2	1.40E-07	1.84E-07	3.20E-07
2:Ins:R:3	1.40E-07	1.84E-07	3.20E-07
2:Ins:R:4	1.40E-07	1.84E-07	3.20E-07
2:Ins:R:5	1.40E-07	1.84E-07	3.20E-07
3:Ins:R:0	1.15E-03	1.60E-03	1.77E-03
3:Ins:R:1	8.66E-04	1.30E-03	2.27E-03
3:Ins:R:2	1.40E-07	1.84E-07	3.20E-07
3:Ins:R:3	1.40E-07	1.84E-07	3.20E-07
3:Ins:R:4	1.40E-07	1.84E-07	3.20E-07
3:Ins:R:5	1.40E-07	1.84E-07	3.20E-07
4:Ins:R:0	6.53E-04	9.71E-04	1.26E-03
4:Ins:R:1	1.09E-03	8.14E-04	8.12E-04
4:Ins:R:2	1.40E-07	1.84E-07	3.20E-07
4:Ins:R:3	1.40E-07	1.84E-07	3.20E-07
4:Ins:R:4	1.40E-07	1.84E-07	3.20E-07
4:Ins:R:5	1.40E-07	1.84E-07	3.20E-07
5:Ins:R:0	3.26E-03	1.80E-03	5.01E-03
5:Ins:R:1	1.17E-03	2.35E-03	2.49E-03
5:Ins:R:2	1.40E-07	1.84E-07	3.20E-07
5:Ins:R:3	1.40E-07	1.84E-07	3.20E-07
5:Ins:R:4	1.40E-07	1.84E-07	3.20E-07
5:Ins:R:5	1.40E-07	1.84E-07	3.20E-07
2:Del:M:1	4.24E-03	5.35E-03	5.01E-03
3:Del:M:1	5.35E-04	7.76E-04	1.24E-03
3:Del:M:2	3.07E-04	7.49E-04	9.00E-04
4:Del:M:1	1.40E-07	1.84E-07	3.20E-07
4:Del:M:2	1.40E-07	1.84E-07	3.20E-07
4:Del:M:3	4.94E-04	9.81E-04	8.85E-04
5:Del:M:1	2.04E-03	3.17E-03	5.07E-03
5:Del:M:2	1.28E-03	1.19E-03	1.52E-03
5:Del:M:3	1.42E-03	1.32E-03	2.63E-03
5:Del:M:4	4.97E-04	6.31E-04	7.71E-04
5:Del:M:5	1.40E-07	1.84E-07	3.20E-07
