Samples	ID83A	ID83B	ID83C	ID83D
TCGA_44_5645_01A	0	0	2	0
TCGA_44_A479_01A	3	4	0	7
TCGA_49_4510_01A	0	0	0	4
TCGA_49_AARE_01A	21	27	7	8
TCGA_49_AARN_01A	1	10	8	6
TCGA_49_AARO_01A	0	5	3	0
TCGA_49_AARQ_01A	9	0	2	1
TCGA_4B_A93V_01A	0	5	2	1
TCGA_50_8457_01A	0	0	0	7
TCGA_55_7910_01A	3	1	5	0
TCGA_55_7913_01B	0	9	0	5
TCGA_55_8508_01A	13	2	0	0
TCGA_55_8514_01A	3	5	6	1
TCGA_69_8253_01A	0	0	0	3
TCGA_69_A59K_01A	15	0	0	4
TCGA_86_7714_01A	0	0	0	9
TCGA_99_8025_01A	10	0	0	2
TCGA_99_8028_01A	8	0	4	0
TCGA_99_AA5R_01A	0	2	0	0
TCGA_L9_A5IP_01A	14	0	0	0
TCGA_L9_A8F4_01A	0	0	32	0
TCGA_NJ_A4YF_01A	0	21	0	0
TCGA_S2_AA1A_01A	0	0	2	0
