Samples	ID83A	ID83B	ID83C	ID83D
TCGA_44_5645_01A	8.10E-02	9.11E-02	8.23E-02	7.46E-02
TCGA_44_A479_01A	4.97E-01	3.82E-01	3.19E-01	4.14E-01
TCGA_49_4510_01A	1.50E-01	1.11E-01	1.53E-01	1.91E-01
TCGA_49_AARE_01A	2.02E+00	2.07E+00	2.26E+00	1.55E+00
TCGA_49_AARN_01A	5.84E-01	8.59E-01	6.93E-01	6.11E-01
TCGA_49_AARO_01A	1.76E-01	3.09E-01	2.91E-01	2.04E-01
TCGA_49_AARQ_01A	4.91E-01	2.99E-01	3.80E-01	4.06E-01
TCGA_4B_A93V_01A	1.55E-01	3.41E-01	2.84E-01	2.42E-01
TCGA_50_8457_01A	2.54E-01	1.50E-01	1.98E-01	3.10E-01
TCGA_55_7910_01A	3.42E-01	2.96E-01	3.37E-01	2.08E-01
TCGA_55_7913_01B	2.75E-01	4.70E-01	3.96E-01	3.92E-01
TCGA_55_8508_01A	5.99E-01	4.34E-01	3.61E-01	3.39E-01
TCGA_55_8514_01A	4.50E-01	5.82E-01	5.67E-01	3.68E-01
TCGA_69_8253_01A	1.03E-01	8.49E-02	1.14E-01	1.40E-01
TCGA_69_A59K_01A	7.70E-01	5.54E-01	6.67E-01	6.06E-01
TCGA_86_7714_01A	2.28E-01	2.30E-01	2.29E-01	3.50E-01
TCGA_99_8025_01A	5.22E-01	3.72E-01	2.47E-01	4.13E-01
TCGA_99_8028_01A	4.86E-01	3.70E-01	4.06E-01	3.36E-01
TCGA_99_AA5R_01A	8.88E-02	9.18E-02	2.00E-02	3.55E-02
TCGA_L9_A5IP_01A	5.66E-01	4.19E-01	4.03E-01	2.85E-01
TCGA_L9_A8F4_01A	8.21E-01	1.14E+00	1.48E+00	8.35E-01
TCGA_NJ_A4YF_01A	5.47E-01	6.58E-01	4.00E-01	8.61E-02
TCGA_S2_AA1A_01A	7.53E-02	8.22E-02	9.02E-02	7.67E-02
