NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	9.444	86.702	3.065	57.438	0.777	0.775	20000.0
2	11.132	106.136	3.629	67.422	1.067	0.666	30000.0
3	10.501	96.818	3.729	65.078	0.888	0.716	20000.0
4	11.526	108.391	3.724	69.634	0.993	0.663	30000.0
5	10.359	101.687	3.454	65.633	1.017	0.669	20000.0
6	10.883	100.368	3.673	66.32	0.909	0.695	20000.0
7	11.781	108.248	3.776	69.129	1.036	0.658	40000.0
8	9.688	92.116	3.148	60.73	0.83	0.749	30000.0
9	11.193	105.641	3.634	69.585	1.016	0.663	30000.0
10	10.339	101.567	3.35	66.602	1.022	0.66	30000.0
11	11.069	96.902	3.626	64.115	0.87	0.734	40000.0
12	10.917	100.419	3.508	66.347	0.984	0.687	20000.0
13	11.047	104.236	3.558	65.769	1.013	0.682	20000.0
14	10.453	91.374	3.502	62.386	0.82	0.751	40000.0
15	11.593	108.802	3.671	70.892	1.051	0.638	30000.0
16	11.65	108.307	3.867	71.273	1.069	0.633	30000.0
17	10.931	100.804	3.541	67.564	0.935	0.688	20000.0
18	11.139	106.556	3.742	68.052	1.065	0.675	30000.0
19	11.414	105.884	3.828	68.603	0.998	0.692	30000.0
20	10.884	100.935	3.858	66.806	0.948	0.694	20000.0
21	11.369	109.93	3.753	70.499	1.067	0.637	20000.0
22	11.339	103.711	3.601	68.44	0.966	0.679	20000.0
23	11.473	104.809	3.73	67.853	0.974	0.688	20000.0
24	10.544	101.266	3.505	65.917	1.027	0.688	40000.0
25	10.383	93.985	3.272	60.746	0.898	0.739	20000.0
26	11.782	109.009	3.796	70.967	1.059	0.649	30000.0
27	10.31	102.573	3.526	65.511	0.987	0.69	30000.0
28	11.222	101.644	3.667	67.111	0.957	0.691	30000.0
29	10.576	96.25	3.519	64.924	0.92	0.705	20000.0
30	10.317	88.882	3.523	60.578	0.829	0.754	30000.0
31	10.608	100.572	3.582	65.98	0.937	0.695	30000.0
32	10.414	99.834	3.405	64.189	0.94	0.707	40000.0
33	10.99	104.254	3.55	68.007	1.012	0.683	30000.0
34	10.365	97.981	3.446	63.463	0.959	0.713	20000.0
35	10.799	99.374	3.572	65.421	0.867	0.707	20000.0
36	11.042	106.173	3.594	69.963	1.04	0.637	30000.0
37	10.782	100.521	3.667	67.664	0.945	0.677	30000.0
38	10.526	97.034	3.445	63.843	0.924	0.714	30000.0
39	10.839	100.261	3.655	66.438	0.93	0.698	30000.0
40	9.712	93.229	3.344	61.942	0.821	0.738	30000.0
41	11.117	100.037	3.522	66.334	0.938	0.715	20000.0
42	11.044	107.47	3.644	69.55	1.052	0.64	20000.0
43	11.275	107.871	3.679	71.347	1.04	0.631	20000.0
44	10.779	98.545	3.54	66.372	0.891	0.699	30000.0
45	10.981	103.551	3.689	69.622	1.015	0.645	20000.0
46	10.727	98.45	3.53	64.113	0.953	0.71	20000.0
47	10.82	98.819	3.549	64.603	0.928	0.713	30000.0
48	11.492	107.191	3.779	68.8	1.09	0.66	30000.0
49	10.817	97.056	3.517	65.229	0.922	0.696	30000.0
50	11.216	98.2	3.474	64.652	0.845	0.737	20000.0
51	10.679	96.166	3.494	62.797	0.859	0.726	40000.0
52	11.53	106.028	3.652	68.003	1.028	0.67	30000.0
53	10.239	97.123	3.382	63.735	0.923	0.705	20000.0
54	10.963	103.721	3.712	65.729	1.018	0.699	50000.0
55	10.211	94.269	3.403	60.792	0.885	0.775	20000.0
56	10.581	102.406	3.638	68.013	0.983	0.688	30000.0
57	11.302	105.111	3.649	67.914	0.992	0.691	30000.0
58	10.949	99.953	3.703	66.225	0.937	0.7	40000.0
59	10.803	104.71	3.624	67.349	1.026	0.668	20000.0
60	11.012	105.436	3.623	69.886	1.008	0.657	40000.0
61	11.336	106.081	3.895	69.768	1.035	0.652	40000.0
62	10.758	102.415	3.601	65.86	1.042	0.684	30000.0
63	11.679	107.401	3.761	68.678	1.077	0.658	20000.0
64	10.48	101.514	3.421	67.218	0.94	0.673	20000.0
