MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
1:Del:C:1	1.47E-02	1.62E-02	1.48E-02	1.38E-02	4.32E-03	8.52E-03	1.58E-02	1.07E-02
1:Del:C:2	1.39E-02	3.96E-03	1.06E-02	5.94E-03	2.47E-03	7.36E-03	3.70E-03	8.16E-03
1:Del:C:3	3.18E-03	8.05E-03	5.48E-03	1.31E-02	2.70E-03	3.54E-03	6.68E-03	8.99E-03
1:Del:C:4	2.23E-03	7.38E-03	5.15E-03	3.89E-03	9.30E-04	3.43E-03	5.03E-03	4.59E-03
1:Del:C:5	1.53E-03	2.87E-03	2.21E-03	4.26E-03	7.07E-03	4.94E-03	9.74E-03	5.99E-03
1:Del:T:0	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
1:Del:T:1	7.88E-03	5.71E-03	7.91E-03	8.25E-03	4.88E-03	9.32E-03	3.97E-03	1.38E-02
1:Del:T:2	2.03E-03	1.34E-03	6.68E-03	3.59E-03	8.06E-03	7.75E-04	2.73E-03	5.88E-03
1:Del:T:3	3.09E-04	1.23E-03	1.65E-03	2.34E-03	1.34E-03	5.03E-04	2.38E-03	6.55E-04
1:Del:T:4	2.56E-07	2.66E-07	4.75E-07	5.27E-07	4.56E-07	2.17E-07	3.69E-07	5.21E-07
1:Del:T:5	1.25E-03	1.81E-03	2.34E-03	1.21E-03	4.26E-03	1.52E-03	1.84E-03	2.13E-03
1:Ins:C:0	1.77E-03	1.46E-03	2.27E-03	1.75E-03	9.44E-04	1.03E-03	5.11E-04	2.96E-03
1:Ins:C:1	1.13E-03	8.06E-04	1.66E-03	1.68E-03	1.27E-03	3.28E-03	1.03E-03	2.13E-03
1:Ins:C:2	5.90E-04	6.95E-04	1.22E-03	1.67E-03	2.95E-03	1.59E-03	3.77E-03	1.95E-03
