Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_44_5645_01A	2	0.57	3.081	154.05%	1.186	83.863%	1.75414	0.559
TCGA_44_A479_01A	14	0.929	10.52	75.143%	2.312	42.211%	0.52406	0.926
TCGA_49_4510_01A	4	0.504	5.403	135.075%	2.214	90.386%	1.61376	0.483
TCGA_49_AARE_01A	63	0.971	21.261	33.748%	4.466	23.77%	0.17494	0.967
TCGA_49_AARN_01A	25	0.971	11.584	46.336%	2.376	27.436%	0.30076	0.97
TCGA_49_AARO_01A	8	0.914	5.531	69.138%	1.373	43.418%	0.47388	0.908
TCGA_49_AARQ_01A	12	0.937	7.173	59.775%	1.722	35.15%	0.49935	0.932
TCGA_4B_A93V_01A	8	0.902	5.824	72.8%	1.653	47.718%	0.52734	0.898
TCGA_50_8457_01A	7	0.752	7.771	111.014%	2.09	69.667%	1.12399	0.734
TCGA_55_7910_01A	9	0.863	8.363	92.922%	1.929	53.501%	0.72344	0.854
TCGA_55_7913_01B	14	0.918	8.326	59.471%	2.063	40.459%	0.50807	0.91
TCGA_55_8508_01A	15	0.956	8.992	59.947%	2.104	31.365%	0.48243	0.953
TCGA_55_8514_01A	15	0.926	9.623	64.153%	2.169	38.956%	0.55335	0.919
TCGA_69_8253_01A	3	0.589	3.806	126.867%	1.455	84.004%	1.9243	0.57
TCGA_69_A59K_01A	19	0.92	11.508	60.568%	2.645	39.429%	0.56767	0.911
TCGA_86_7714_01A	9	0.865	7.198	79.978%	2.103	51.005%	0.58538	0.856
TCGA_99_8025_01A	12	0.948	8.463	70.525%	1.947	33.391%	0.59676	0.946
TCGA_99_8028_01A	12	0.879	10.332	86.1%	2.506	51.154%	0.66312	0.872
TCGA_99_AA5R_01A	2	0.95	1.692	84.6%	0.655	46.315%	0.57241	0.954
TCGA_L9_A5IP_01A	14	0.949	8.658	61.843%	1.909	31.817%	0.49528	0.945
TCGA_L9_A8F4_01A	32	0.995	5.978	18.681%	1.211	12.626%	0.08961	0.995
TCGA_NJ_A4YF_01A	21	0.983	9.215	43.881%	2.417	21.973%	0.2887	0.983
TCGA_S2_AA1A_01A	2	0.587	2.964	148.2%	1.163	82.237%	1.94972	0.576
