MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
1:Del:C:1	1.46E-02	2.03E-02	1.09E-02	8.28E-03	1.52E-02	1.17E-02	1.66E-02	5.90E-03	4.69E-03
1:Del:C:2	1.55E-02	5.82E-03	1.12E-02	8.13E-03	4.97E-03	1.16E-02	4.94E-03	3.32E-03	6.12E-03
1:Del:C:3	2.56E-03	6.05E-03	6.45E-03	3.74E-03	1.62E-02	6.91E-03	4.90E-03	4.11E-03	5.53E-03
1:Del:C:4	1.35E-03	6.21E-03	3.73E-03	3.67E-03	4.53E-03	5.15E-03	7.72E-03	4.69E-03	2.59E-03
1:Del:C:5	2.05E-03	4.04E-03	2.91E-03	3.88E-03	3.32E-03	3.46E-03	6.59E-03	7.43E-03	4.77E-03
1:Del:T:0	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
1:Del:T:1	8.73E-03	4.29E-03	4.94E-03	7.32E-03	9.89E-03	1.50E-02	5.67E-03	5.95E-03	5.43E-03
1:Del:T:2	1.10E-03	2.20E-03	6.27E-03	2.70E-04	3.67E-03	2.79E-03	4.04E-04	5.51E-03	8.19E-03
1:Del:T:3	3.60E-07	1.48E-03	1.79E-03	9.43E-04	1.85E-03	5.43E-07	3.35E-03	1.49E-03	2.57E-03
1:Del:T:4	3.06E-07	3.01E-07	4.49E-07	2.29E-07	5.52E-07	5.34E-07	2.70E-07	4.38E-07	6.45E-07
1:Del:T:5	1.36E-03	1.48E-03	3.79E-03	1.15E-03	2.48E-03	1.89E-03	1.82E-03	4.14E-03	4.86E-03
1:Ins:C:0	1.19E-03	4.99E-04	2.09E-03	1.30E-03	2.59E-03	1.86E-03	1.14E-03	3.41E-03	2.82E-03
1:Ins:C:1	1.28E-03	5.47E-04	1.40E-03	3.40E-03	1.67E-03	2.33E-03	6.61E-04	1.84E-03	6.93E-04
1:Ins:C:2	2.98E-07	9.66E-04	2.40E-03	2.06E-03	2.17E-03	6.69E-04	1.82E-03	3.29E-03	3.58E-03
